,BCL2L2 (599)
ACH-000004,-0.16274346115921398
ACH-000005,-0.011934670140242827
ACH-000007,-0.19152439373369384
ACH-000009,-0.1922583840489484
ACH-000011,-0.25778687186572197
ACH-000012,-0.14759909370484625
ACH-000013,-0.11062394269190942
ACH-000014,-0.19830859837827505
ACH-000015,-0.5336997759002268
ACH-000017,-0.26279703629400114
ACH-000018,-0.13772496797654482
ACH-000019,-0.16014649855650184
ACH-000021,-0.17729439579453826
ACH-000022,-0.1797066326674937
ACH-000025,-0.21280668581536868
ACH-000028,-0.10542267790295208
ACH-000030,-0.275793542798462
ACH-000035,-0.15593016379354385
ACH-000036,-0.25192833739060605
ACH-000037,-0.20686772325738376
ACH-000039,-0.6094484023856489
ACH-000040,-0.29080960921359644
ACH-000041,-0.5803000292718691
ACH-000042,-0.157826099850381
ACH-000045,-0.09563946413022999
ACH-000047,-0.2191625581240155
ACH-000052,-0.6426105723508729
ACH-000053,-0.16315788997515135
ACH-000054,-0.34906094906665514
ACH-000055,-0.2936679238497175
ACH-000060,-0.3599901051857544
ACH-000067,-0.3720151019792727
ACH-000070,-0.2691562180411393
ACH-000075,-0.3809559908145245
ACH-000078,-0.3803872837477628
ACH-000082,-0.20468762151650696
ACH-000085,-0.2603069005877385
ACH-000086,-0.15325767030942195
ACH-000087,-0.6257655110867538
ACH-000092,-0.23774161044802106
ACH-000095,-0.3154998175248027
ACH-000097,-0.24364936813407145
ACH-000098,-0.30565830680008194
ACH-000099,-0.2387551482275741
ACH-000108,-0.10327973610756948
ACH-000113,-0.1128615407451619
ACH-000116,-0.28014367977736915
ACH-000118,-0.33531511323620583
ACH-000120,-0.4451526023935068
ACH-000123,-0.30269211395855683
ACH-000127,-0.2294408687142733
ACH-000128,-0.2776365186717421
ACH-000132,-0.11107774536798344
ACH-000133,-0.3034630262892947
ACH-000137,-0.3092746409416986
ACH-000138,-0.17129429350796746
ACH-000142,-0.11840250749167905
ACH-000143,-0.200173866812886
ACH-000146,-0.20788580666276896
ACH-000148,-0.252445394180405
ACH-000150,0.00623298359825425
ACH-000152,-0.3182704396126685
ACH-000153,-0.3378444110124644
ACH-000159,-0.1596858140109389
ACH-000160,-0.3539203431211381
ACH-000163,-0.24616765702699714
ACH-000167,-0.19177522516377668
ACH-000168,-0.10917995514116142
ACH-000169,-0.42506699264177056
ACH-000178,-0.2032563349962491
ACH-000183,-0.2639490752543713
ACH-000188,-0.3252663433299656
ACH-000189,-0.16699985783631474
ACH-000190,-0.1370507896556558
ACH-000198,-0.2570760870983549
ACH-000203,-0.0498784052775612
ACH-000204,-0.16062747227751273
ACH-000206,-0.10988917747566243
ACH-000207,-0.2599864253392328
ACH-000208,-0.19432420530141206
ACH-000210,-0.36430496767225373
ACH-000211,-0.3454352415385058
ACH-000215,-0.19543141674958867
ACH-000221,-0.489529350662887
ACH-000222,-0.15999025785536888
ACH-000223,-0.2318946875892543
ACH-000226,-0.2734532450344621
ACH-000227,-0.17495311708440958
ACH-000228,-0.17170527503028568
ACH-000231,-0.3312741015256479
ACH-000232,-0.24593358326569195
ACH-000233,-0.2496558914554073
ACH-000234,-0.22328927473116456
ACH-000235,-0.2445599596180664
ACH-000237,-0.07529612606322984
ACH-000238,-0.2510440968687672
ACH-000242,-0.328510310447658
ACH-000243,-0.2922422468392286
ACH-000244,-0.14938941972954906
ACH-000246,-0.3538473630346973
ACH-000248,-0.3364752571801285
ACH-000250,-0.22299684890947105
ACH-000251,0.07747802164794035
ACH-000252,-0.2558386038299614
ACH-000253,-0.10470305063485937
ACH-000255,-0.2412892549092401
ACH-000256,-0.17417538424807966
ACH-000257,-0.7480098666519142
ACH-000258,-0.5574070836722614
ACH-000259,-0.22016799964867506
ACH-000260,-0.2629802000225206
ACH-000261,-0.3442686755312821
ACH-000262,-0.1613901502457183
