,CDC42SE1 (56882)
ACH-000004,-0.044230746085671006
ACH-000005,-0.14631358038021033
ACH-000007,-0.024551632870194837
ACH-000009,-0.3391893460133121
ACH-000011,-0.10867889144800028
ACH-000012,-0.38086798237511904
ACH-000013,-0.33413713585678884
ACH-000014,-0.3227436351631974
ACH-000015,-0.2381192579260324
ACH-000017,-0.37104731280437203
ACH-000018,-0.37680130046663307
ACH-000019,-0.3448108653486823
ACH-000021,-0.4005680103699265
ACH-000022,-0.21439879341135956
ACH-000025,-0.3508525959340877
ACH-000028,-0.43424077400756667
ACH-000030,-0.2358433462086046
ACH-000035,-0.4654953315210401
ACH-000036,-0.25916219565010634
ACH-000037,-0.4818594404282896
ACH-000039,-0.5427490200406249
ACH-000040,-0.4292191979071654
ACH-000041,-0.3838111677266646
ACH-000042,-0.15794174248906656
ACH-000045,-0.3150398521442025
ACH-000047,-0.22623108901156005
ACH-000052,-0.43004944095565006
ACH-000053,-0.4474957211610527
ACH-000054,-0.1637628450785915
ACH-000055,-0.3627590521219023
ACH-000060,-0.15970045291493978
ACH-000067,-0.3977680613169623
ACH-000070,-0.3732750930135367
ACH-000075,-0.3840115644045638
ACH-000078,-0.2920681690147601
ACH-000082,-0.26370940009767063
ACH-000085,-0.4457851806770391
ACH-000086,-0.4513074534333032
ACH-000087,-0.11544772330705635
ACH-000092,-0.3043532737982612
ACH-000095,-0.3736428111906485
ACH-000097,-0.34097135801459644
ACH-000098,-0.3320928748419321
ACH-000099,-0.26381110688342074
ACH-000108,-0.2409405046632005
ACH-000113,-0.21963090194861612
ACH-000116,-0.3579164091955533
ACH-000118,-0.19433265647923145
ACH-000120,-0.427559755856874
ACH-000123,-0.2263682320558213
ACH-000127,-0.3430422869063325
ACH-000128,-0.2519808416749258
ACH-000132,-0.3327410556280932
ACH-000133,-0.4802670305516832
ACH-000137,-0.4049074953019005
ACH-000138,-0.12255633563531175
ACH-000142,-0.3824180976951468
ACH-000143,-0.20640611140429144
ACH-000146,-0.2625928087864278
ACH-000148,-0.3394221182410116
ACH-000150,-0.3988233601693552
ACH-000152,-0.2350033838282902
ACH-000153,-0.5129217683880233
ACH-000159,-0.3635865761682048
ACH-000160,-0.2126712886145785
ACH-000163,-0.23835425638633895
ACH-000167,-0.4516947191896727
ACH-000168,-0.646180437863311
ACH-000169,-0.3637706098137218
ACH-000178,-0.2481027710952676
ACH-000183,-0.247216165883818
ACH-000188,-0.32425431827723583
ACH-000189,-0.29765014804465345
ACH-000190,-0.29180935243034883
ACH-000198,-0.2423817045722125
ACH-000203,-0.1354614113134236
ACH-000204,-0.16817939035704987
ACH-000206,-0.2134709675444204
ACH-000207,-0.3560455500201527
ACH-000208,-0.4068396608959484
ACH-000210,-0.19325743145905225
ACH-000211,-0.21580556083344335
ACH-000215,-0.3522395027303298
ACH-000221,-0.31072653680523715
ACH-000222,-0.2196316375866052
ACH-000223,-0.3579589108003889
ACH-000226,-0.3423655241750366
ACH-000227,-0.2681330975305332
ACH-000228,-0.4086387657332146
ACH-000231,-0.359472281757665
ACH-000232,-0.2883251694008978
ACH-000233,-0.17793443826886873
ACH-000234,-0.4108023708882141
ACH-000235,-0.2710728689867401
ACH-000237,-0.5068641983001987
ACH-000238,-0.2965961522616767
ACH-000242,-0.2782557956093438
ACH-000243,-0.2278549683928541
ACH-000244,-0.30713791953593816
ACH-000246,-0.2566950072768926
ACH-000248,-0.29630596414453103
ACH-000250,-0.3557518575023628
ACH-000251,-0.09863211717371477
ACH-000252,-0.1392787951048582
ACH-000253,-0.33915996118917546
ACH-000255,-0.2942462814547694
ACH-000256,-0.3388674739339168
ACH-000257,-0.356175319116198
ACH-000258,-0.4195851993130453
ACH-000259,-0.2567765461687223
ACH-000260,-0.3811718088649209
ACH-000261,-0.24520655742611666
ACH-000262,-0.11787099088175368
ACH-000263,-0.41846751244003794
ACH-000264,-0.3511845609127199
ACH-000265,-0.09886508069204078
ACH-000266,-0.26925375349573016
ACH-000272,-0.3171019489961677
ACH-000274,-0.3502484127730963
ACH-000277,-0.1606315002739839
ACH-000278,-0.3856898509652878
ACH-000279,-0.32375578776925895
ACH-000280,-0.4475522197931088
ACH-000281,-0.318918784094726
ACH-000288,-0.5076562598929235
ACH-000291,-0.3605429469505558
ACH-000293,-0.2194063760190049
ACH-000294,-0.25185519902180104
ACH-000295,-0.17913270996635158
ACH-000296,-0.17804304426712436
ACH-000302,-0.24881369377273954
ACH-000304,-0.2362128247545005
ACH-000307,-0.2510322626580638
ACH-000308,-0.4079260908941555
ACH-000310,-0.400106872225291
ACH-000311,-0.4792495803332298
ACH-000312,-0.3127228689697055
ACH-000315,-0.25112704066969777
ACH-000316,-0.06917105425569342
ACH-000317,-0.08738202859783474
ACH-000318,-0.22512458212051625
ACH-000319,-0.2637025100748948
ACH-000320,-0.2260638097183369
ACH-000322,-0.5036963646082003
ACH-000323,-0.3266873546650214
ACH-000324,-0.3550873687148865
ACH-000329,-0.2829471788064984
ACH-000330,-0.4633064695320442
ACH-000331,-0.3655048488146958
ACH-000332,-0.3516607381453581
ACH-000334,-0.2494628110241151
ACH-000335,-0.16402617644003906
ACH-000336,-0.4702822769118312
ACH-000337,-0.8273828984209165
ACH-000338,-0.022015873014965742
ACH-000339,-0.2735623626665604
ACH-000341,-0.4155800164015698
ACH-000348,-0.34328956729248605
ACH-000350,-0.3150781192892012
ACH-000352,-0.18881880279240126
ACH-000356,-0.6411845351872657
ACH-000361,-0.3081795772671026
ACH-000362,-0.38617377071802617
ACH-000363,-0.3026083971255677
ACH-000364,-0.3044856367163154
ACH-000365,-0.3428326181993933
ACH-000366,-0.3337816898422332
ACH-000368,-0.12132785926991513
ACH-000374,-0.3683538134530057
ACH-000375,-0.16808552914900712
ACH-000376,-0.2422447453124212
ACH-000381,-0.4682970178835377
ACH-000383,-0.20545696173096847
ACH-000387,-0.1773447687151268
ACH-000389,-0.2542478697839285
ACH-000390,-0.3876488499630833
ACH-000393,-0.2489158755999445
ACH-000395,-0.3545910566698137
ACH-000396,-0.5715786463616953
ACH-000397,-0.25666454696044355
ACH-000401,-0.1821815635237923
ACH-000402,-0.5192464691080629
ACH-000403,-0.3093652912904018
ACH-000404,-0.5707565536954715
ACH-000406,-0.2360780269202603
ACH-000407,-0.133035048672875
ACH-000408,-0.2645017896151081
ACH-000410,-0.3956442640076898
ACH-000411,-0.29999270539968137
ACH-000414,-0.2136925274654019
ACH-000415,-0.30981091677573536
ACH-000416,-0.3832661594329062
ACH-000420,-0.029947980796349662
ACH-000421,-0.32167581423146363
ACH-000424,-0.4853399967639078
ACH-000425,-0.3595719369183507
ACH-000426,-0.6807424206682269
ACH-000427,-0.4885779646091546
ACH-000433,-0.5626065019153919
ACH-000435,-0.38655143767119854
ACH-000436,-0.3958397456629681
ACH-000444,-0.19859655075574212
ACH-000445,-0.06656321386166024
ACH-000448,-0.2937412171215334
ACH-000450,-0.25702597974432545
ACH-000452,-0.3232052723053608
ACH-000454,-0.2267599433383927
ACH-000458,-0.1971941489397676
ACH-000459,-0.058891222444916284
ACH-000460,-0.24425237529469696
ACH-000461,-0.4637110009320206
ACH-000463,-0.3952006910998232
ACH-000464,-0.34251865713642016
ACH-000466,-0.2975932825070702
ACH-000467,-0.325462770865245
ACH-000468,-0.3563634238642647
ACH-000469,-0.2990559489747465
ACH-000470,-0.28568459609961205
ACH-000471,-0.33354810596236434
ACH-000472,-0.2770445624490336
ACH-000473,-0.3283765196912957
ACH-000475,-0.2859635776732932
ACH-000476,-0.15511578332932074
