,PILRA (29992)
ACH-000004,0.10355646193676207
ACH-000005,0.06850783828878297
ACH-000007,0.02220136812045452
ACH-000009,-0.009040234819948416
ACH-000011,-0.23583707219032785
ACH-000012,-0.01981913041426251
ACH-000013,-0.029427917859700017
ACH-000014,-0.2696955244177177
ACH-000015,-0.09063363427466567
ACH-000017,-0.13790758075826534
ACH-000018,-0.1156896345830994
ACH-000019,-0.21840477945648956
ACH-000021,-0.16750297766178274
ACH-000022,0.04498373986243985
ACH-000025,0.04266340444660248
ACH-000028,-0.03733147368303106
ACH-000030,-0.01175446117869055
ACH-000035,0.02208684961823715
ACH-000036,-0.38173421545038616
ACH-000037,-0.07566186113008759
ACH-000039,0.13068926383116072
ACH-000040,0.0027539925019060807
ACH-000041,0.07241369889782573
ACH-000042,0.0012536166574223845
ACH-000045,-0.06764776342293398
ACH-000047,-0.1107630924974288
ACH-000052,0.021793930130414963
ACH-000053,-0.01207074326332545
ACH-000054,-0.039295982025160166
ACH-000055,0.06465223577280929
ACH-000060,-0.21396088190493254
ACH-000067,-0.10148104408408372
ACH-000070,-0.08306701521267434
ACH-000075,0.07074167673970216
ACH-000078,-0.1760766887309736
ACH-000082,-0.02526155604170973
ACH-000085,-0.09153700556458738
ACH-000086,0.06044948054644525
ACH-000087,0.09713799950847636
ACH-000092,-0.08911953077457456
ACH-000095,-0.06613542822875745
ACH-000097,-0.042615587973966425
ACH-000098,-0.09117671012468248
ACH-000099,-0.17357027658160282
ACH-000108,-0.1136999215492788
ACH-000113,0.04785373714297175
ACH-000116,-0.15683464487611987
ACH-000118,-0.1469690250886866
ACH-000120,0.06970765353910176
ACH-000123,0.042372807162499665
ACH-000127,-0.035175596026490404
ACH-000128,-0.09821888848922476
ACH-000132,-0.12656069377399848
ACH-000133,-0.0445492625387123
ACH-000137,-0.1749724958889065
ACH-000138,-0.0411888457692659
ACH-000142,-0.1455777972213337
ACH-000143,0.14270953340395198
ACH-000146,-0.005900470603138524
ACH-000148,0.06878582923191176
ACH-000150,-0.07866078060144252
ACH-000152,-0.2408583294180655
ACH-000153,-0.1938600018191946
ACH-000159,-0.18007051873474894
ACH-000160,-0.18628177505336396
ACH-000163,0.053032192886126685
ACH-000167,-0.4972013525546629
ACH-000168,-0.22590126664097826
ACH-000169,-0.02703218611228298
ACH-000178,-0.05625657115534037
ACH-000183,0.034928114431686516
ACH-000188,-0.0914179814114978
ACH-000189,-0.15243522015295416
ACH-000190,0.0798289668781245
ACH-000198,-0.12564080952725634
ACH-000203,-0.2437209186129792
ACH-000204,0.02019801663830141
ACH-000206,-0.1155635439563909
ACH-000207,0.053019554966739484
ACH-000208,-0.03022996909092925
ACH-000210,0.01720613558144326
ACH-000211,-0.0958150614848457
ACH-000215,0.017411485704040684
ACH-000221,-0.4838100303713696
ACH-000222,-0.24752917406032646
ACH-000223,-0.047370280598853634
ACH-000226,0.013276565711958472
ACH-000227,0.07841521450590291
ACH-000228,-0.01245689641008179
ACH-000231,-0.054675295699447436
ACH-000232,-0.13061665004333006
ACH-000233,-0.03552023341761169
ACH-000234,-0.0942788782867038
ACH-000235,-0.04606541465193057
ACH-000237,-0.16120135422937135
ACH-000238,-0.4822004358552507
ACH-000242,-0.21648432175154744
ACH-000243,-0.13247128360969693
ACH-000244,-0.16107569682676046
ACH-000246,-0.1523461737507602
ACH-000248,-0.0007721294614088101
ACH-000250,-0.2393502767009793
ACH-000251,0.20496068865022898
ACH-000252,0.02750092330710869
ACH-000253,-0.11143745544988214
ACH-000255,-0.07946179850269508
ACH-000256,-0.1671252388996556
ACH-000257,0.23421860277902234
ACH-000258,-0.5411181676970943
ACH-000259,-0.0975388033099679
ACH-000260,-0.1070560177187571
ACH-000261,-0.05919467518034944
ACH-000262,-0.2593220817215917
ACH-000263,-0.1065735479068796
ACH-000264,-0.0893525247780888
ACH-000265,-0.13684877765149553
ACH-000266,-0.17750165453080766
ACH-000272,-0.04588045120945845
ACH-000274,-0.12984062428544527
ACH-000277,-0.09003033237007889
ACH-000278,-0.09953619290533648
ACH-000279,-0.04643659489106466
ACH-000280,0.05962783513370696
