,MARC2 (54996)
ACH-000004,-0.010166520954333872
ACH-000005,0.07061235621962106
ACH-000007,-0.1311476262254957
ACH-000009,-0.1251934304073767
ACH-000011,-0.008912342135266501
ACH-000012,-0.01800211597212006
ACH-000013,0.0432676736302002
ACH-000014,0.2038818325747295
ACH-000015,0.050329291898913726
ACH-000017,-0.0013246886989038587
ACH-000018,-0.004237318086733125
ACH-000019,-0.0344848646944557
ACH-000021,-0.07503548325439673
ACH-000022,0.1109893612994972
ACH-000025,-0.21157376332639855
ACH-000028,0.109916516218431
ACH-000030,-0.02412028123816585
ACH-000035,0.026310565482595017
ACH-000036,-0.15718115007122144
ACH-000037,0.11021510793224423
ACH-000039,-0.035764338439449844
ACH-000040,0.014356659659440904
ACH-000041,0.04710675773188834
ACH-000042,0.08309060145750348
ACH-000045,-0.0025347260032234998
ACH-000047,-0.0036536220207649853
ACH-000052,-0.14380171275431264
ACH-000053,-0.00799447951936185
ACH-000054,-0.08017251357789476
ACH-000055,-0.13820665187293302
ACH-000060,0.09359552369477328
ACH-000067,0.008530009380638049
ACH-000070,-0.2471605048673227
ACH-000075,-0.06118836139900681
ACH-000078,-0.04336169144534858
ACH-000082,-0.14555190191508727
ACH-000085,-0.0016447908322669985
ACH-000086,0.033508389269879736
ACH-000087,0.0065926434402116246
ACH-000092,-0.08007341390831603
ACH-000095,-0.05920733930375075
ACH-000097,0.0025558842641659235
ACH-000098,0.0066425866970698045
ACH-000099,-0.013773052078078302
ACH-000108,0.02359012324606537
ACH-000113,-0.10437890156195684
ACH-000116,0.015922445719655332
ACH-000118,0.03730599578167285
ACH-000120,-0.12139223401927875
ACH-000123,-0.06784606983511794
ACH-000127,0.006473824017896289
ACH-000128,-0.06883352684821914
ACH-000132,-0.11829539641192499
ACH-000133,-0.07680516845580994
ACH-000137,-0.172053172186234
ACH-000138,-0.024228604495785924
ACH-000142,0.047485058070991626
ACH-000143,-0.06718502172381707
ACH-000146,-0.06941979192238645
ACH-000148,-0.08106149310476231
ACH-000150,-0.06037353790061285
ACH-000152,0.08132455512203254
