,CBLL1 (79872)
ACH-000004,-0.3793205200777167
ACH-000005,-0.2435341085722468
ACH-000007,-0.4747590345562549
ACH-000009,-0.6777295416933062
ACH-000011,-0.3078118913215561
ACH-000012,-0.3392958962441948
ACH-000013,-0.38178303851076617
ACH-000014,-0.6606662866885172
ACH-000015,-0.22764762483487255
ACH-000017,-0.2819734442390455
ACH-000018,-0.284353449207808
ACH-000019,-0.601994503435177
ACH-000021,-0.5181078552998454
ACH-000022,-0.5399352956809719
ACH-000025,-0.3435796247951681
ACH-000028,-0.5530577423954379
ACH-000030,-0.3177401624699066
ACH-000035,-0.3504917657708701
ACH-000036,-0.35719254910081266
ACH-000037,-0.4282248227082853
ACH-000039,-0.5975227060404665
ACH-000040,-0.18174844592635275
ACH-000041,-0.2305002854796648
ACH-000042,-0.4471085544282754
ACH-000045,-0.5266619955058036
ACH-000047,-0.3602382538190016
ACH-000052,-0.7156703988466825
ACH-000053,-0.5902811685016349
ACH-000054,-0.1946869746217976
ACH-000055,-0.6959122307389026
ACH-000060,-0.5110748496006233
ACH-000067,-0.5610174222751175
ACH-000070,-0.34063189671734856
ACH-000075,-0.2192830911914938
ACH-000078,-0.3725594662931852
ACH-000082,-0.6202517001207666
ACH-000085,-0.5953470700090674
ACH-000086,-0.3251957104148259
ACH-000087,-0.4978035728105012
ACH-000092,-0.39412120074704426
ACH-000095,-0.7051740881259649
ACH-000097,-0.6301537068547605
ACH-000098,-0.21963902320739495
ACH-000099,-0.5741293756561425
ACH-000108,-0.7011984571553505
ACH-000113,-0.6020817423940829
ACH-000116,-0.5062853212090997
ACH-000118,-0.3786439599619741
ACH-000120,-0.5093370330053593
ACH-000123,-0.3160752468860208
ACH-000127,-0.2861360930528195
ACH-000128,-0.8508542278536733
ACH-000132,-0.5996083233671631
ACH-000133,-0.6010827743352317
ACH-000137,-0.4179862273056792
ACH-000138,-0.5455720477149414
ACH-000142,-0.5189640336722311
ACH-000143,-0.6095688652407496
ACH-000146,-0.3964262266597423
ACH-000148,-0.2603033998510265
ACH-000150,-0.3203668113409491
ACH-000152,-0.6960248802103045
ACH-000153,-0.3285423121367782
ACH-000159,-0.4974543533512953
ACH-000160,-0.24692515790952946
ACH-000163,-0.27779440383819404
ACH-000167,-0.2986422945843447
ACH-000168,-0.6483250603213222
