,EVI2B (2124)
ACH-000004,0.2316985830873617
ACH-000005,0.0873248507858511
ACH-000007,0.12665967555373134
ACH-000009,0.023417403405942314
ACH-000011,0.08921872925760138
ACH-000012,0.05997179443642465
ACH-000013,-0.038001348709639234
ACH-000014,0.07906610012515017
ACH-000015,0.1834798232746688
ACH-000017,-0.011991908724316805
ACH-000018,0.10026479984411607
ACH-000019,0.10209060019411123
ACH-000021,0.015462831180578434
ACH-000022,0.004649863167567245
ACH-000025,0.15356007317296252
ACH-000028,-0.049734066630304864
ACH-000030,-0.010765123456432851
ACH-000035,-0.07357256128822996
ACH-000036,0.1561774470243324
ACH-000037,0.0831297470299199
ACH-000039,0.3613486871536667
ACH-000040,0.05439165426780305
ACH-000041,0.04177744518370286
ACH-000042,0.12305288204492384
ACH-000045,0.14414775175344566
ACH-000047,0.04275998266196078
ACH-000052,0.0886894589738908
ACH-000053,-0.0016467537719550831
ACH-000054,-0.02802608550311215
ACH-000055,-0.048993602542565184
ACH-000060,0.10976160933137584
ACH-000067,0.11187240106341896
ACH-000070,0.20423516469547767
ACH-000075,0.0046864283947328006
ACH-000078,0.17639392389718808
ACH-000082,0.07567328076892425
ACH-000085,0.1828128934559144
ACH-000086,0.08625113593332663
ACH-000087,0.022839413598124025
ACH-000092,0.22252661178590805
ACH-000095,0.05890655653677044
ACH-000097,0.058290781645703324
ACH-000098,0.06713656327518619
ACH-000099,0.13693460344236413
ACH-000108,0.1486013650096107
ACH-000113,0.07500105762808776
ACH-000116,-0.015930431107615942
ACH-000118,0.04593615150098005
ACH-000120,0.17656055472684135
ACH-000123,-0.02316993877498611
ACH-000127,0.01906419863882977
ACH-000128,0.008708428799566145
ACH-000132,0.06260439583636382
ACH-000133,0.0511780214410468
ACH-000137,0.02561982471854984
ACH-000138,0.09344809929116814
ACH-000142,-0.14340168997304392
ACH-000143,0.053089128913892836
ACH-000146,0.048862771545388616
ACH-000148,0.02192162081931425
ACH-000150,0.19253289452948802
ACH-000152,0.051314826458674086
ACH-000153,0.09869844491601823
ACH-000159,0.08113877681249353
ACH-000160,0.13652133380308
ACH-000163,0.16304295443511774
ACH-000167,-0.19277798030688328
ACH-000168,0.11280557546031733
ACH-000169,0.03722413726729575
ACH-000178,0.11978497026824225
ACH-000183,0.007259654689766184
ACH-000188,0.07886520114193075
ACH-000189,0.056375959075498236
ACH-000190,0.0557547718588405
ACH-000198,0.17316290906340295
ACH-000203,-0.0008847877428622797
ACH-000204,-0.014492806971731663
ACH-000206,0.1208756723547042
