,IL18BP (10068)
ACH-000004,0.056513024963280575
ACH-000005,0.14253310550692413
ACH-000007,-0.09602154802719784
ACH-000009,-0.2384270397117352
ACH-000011,-0.06338320344046103
ACH-000012,-0.015005767859952663
ACH-000013,-0.07250506860754634
ACH-000014,0.20305276493528465
ACH-000015,0.13172377480980765
ACH-000017,0.02437283174875136
ACH-000018,-0.09577988510896518
ACH-000019,-0.13231023871463998
ACH-000021,-0.046974092541270204
ACH-000022,-0.042710225069840055
ACH-000025,0.01623550518510121
ACH-000028,-0.20703808990914013
ACH-000030,-0.08237558883259803
ACH-000035,0.051253991370724915
ACH-000036,-0.059332601805810174
ACH-000037,-0.02007285874551189
ACH-000039,0.1959294722070294
ACH-000040,-0.07845396147232868
ACH-000041,-0.11853374572447367
ACH-000042,-0.15109086728811716
ACH-000045,-0.041651246012072776
ACH-000047,-0.1096341419488929
ACH-000052,0.020881280922533024
ACH-000053,-0.1201495068951546
ACH-000054,-0.0859413776060597
ACH-000055,-0.020848016198235352
ACH-000060,0.18761246525756167
ACH-000067,-0.03625638012992994
ACH-000070,-0.10292103341371547
ACH-000075,-0.20366719220284973
ACH-000078,-0.1447781051175004
ACH-000082,-0.09903451944015504
ACH-000085,-0.028779865814402686
ACH-000086,-0.2435693142502492
ACH-000087,0.2850575404879161
ACH-000092,-0.02553943164987101
ACH-000095,-0.09747773674262368
ACH-000097,-0.17215979650478322
ACH-000098,-0.020601379012675614
ACH-000099,-0.11728220643792225
ACH-000108,-0.05385962644016478
ACH-000113,0.013176767319593094
ACH-000116,-0.16595102616087087
ACH-000118,-0.1158043422823039
ACH-000120,-0.1288404984178609
ACH-000123,-0.06566946022614384
ACH-000127,-0.03599226028063054
ACH-000128,-0.19815892140816949
ACH-000132,-0.07171725622937399
ACH-000133,-0.14761115410054054
ACH-000137,-0.045488515085258065
ACH-000138,-0.14314841062625805
ACH-000142,0.010053722472942079
ACH-000143,-0.15428593974981986
ACH-000146,-0.09597955391348176
ACH-000148,0.01215855306709112
ACH-000150,-0.063330288082082
ACH-000152,-0.07426302985727701
ACH-000153,-0.1645204456203594
ACH-000159,-0.08818358034146484
ACH-000160,-0.29390787198965235
ACH-000163,-0.13033627887908086
ACH-000167,0.0671632933498182
ACH-000168,0.03415313865635825
ACH-000169,-0.07424856273614812
ACH-000178,0.011543880371151229
ACH-000183,-0.10134577739535504
ACH-000188,-0.17787480382439433
ACH-000189,0.14297924253784078
ACH-000190,0.019616516893492388
ACH-000198,-0.055036495438217495
ACH-000203,-1.1340736225582937
ACH-000204,-0.3212413490458944
ACH-000206,-0.07872444961974648
ACH-000207,-0.3608344553487449
ACH-000208,-0.16163889861203934
ACH-000210,0.2831691838227619
ACH-000211,-0.05698144343400854
ACH-000215,-0.07434031151644256
ACH-000221,0.037207125821168884
ACH-000222,-0.031035025203152905
ACH-000223,-0.1114171629515343
ACH-000226,-0.10828633273619684
ACH-000227,-0.17755902193204434
ACH-000228,-0.33246625522341994
ACH-000231,-0.133678901540112
ACH-000232,-0.1343631134240721
ACH-000233,-0.031465807984177516
ACH-000234,-0.060422991379627214
ACH-000235,-0.09575669269034913
ACH-000237,-0.1204701273888324
ACH-000238,-0.028254314107068575
ACH-000242,0.16664830895483776
ACH-000243,0.0007602227426297673
ACH-000244,0.027963120369507242
ACH-000246,-0.026617300887772977
ACH-000248,-0.06778310819121329
ACH-000250,-0.07967502521948859
ACH-000251,0.005507795628300671
ACH-000252,-0.3675428538727198
ACH-000253,-0.2642057376171665
ACH-000255,-0.082888667901369
ACH-000256,-0.30228474415719164
ACH-000257,-0.02209882660574939
ACH-000258,0.08198717960833947
ACH-000259,-0.0953387652143945
ACH-000260,-0.12084273877305768
ACH-000261,-0.21713387869955852
ACH-000262,-0.16298706219649267
ACH-000263,0.018638657149046226
ACH-000264,-0.07919110331721313
ACH-000265,-0.09085118931992796
ACH-000266,-0.09314179489019714
ACH-000272,0.05692547825315225
ACH-000274,0.03025509673859256
ACH-000277,-0.07346328486916898
ACH-000278,-0.34245532253948313
