,THRAP3 (9967)
ACH-000004,-0.031452921476270636
ACH-000005,0.14799112112397364
ACH-000007,-0.2426333586813577
ACH-000009,0.06175315153853364
ACH-000011,-0.007367492651265495
ACH-000012,-0.0600460291000035
ACH-000013,-0.061783765810331424
ACH-000014,-0.13044780516988305
ACH-000015,0.02554532371940807
ACH-000017,-0.07189334311534584
ACH-000018,-0.14638805672853686
ACH-000019,-0.14792689482247606
ACH-000021,-0.164458223700703
ACH-000022,-0.0675025532496513
ACH-000025,-0.17592319265245152
ACH-000028,0.11737462509574882
ACH-000030,0.062549841632338
ACH-000035,-0.23927408926696286
ACH-000036,-0.07826350466938847
ACH-000037,-0.12693608368517312
ACH-000039,-0.19453422768685286
ACH-000040,-0.18225138739186056
ACH-000041,0.028675651287648044
ACH-000042,-0.14626091652593862
ACH-000045,0.28089193149346425
ACH-000047,-0.07055058968596396
ACH-000052,0.00768603902891647
ACH-000053,0.0935201871694834
ACH-000054,0.11768113989704368
ACH-000055,-0.03968024714655148
ACH-000060,-0.3564063932108348
ACH-000067,-0.0663840965066087
ACH-000070,0.0855170425974982
ACH-000075,-0.17303794507282014
ACH-000078,-0.10637858010657164
ACH-000082,0.38493246512623663
ACH-000085,-0.1651389230121331
ACH-000086,-0.048543334210267526
ACH-000087,0.3380463749297309
ACH-000092,0.1294285753230843
ACH-000095,0.06540119484458799
ACH-000097,-0.130638863488115
ACH-000098,-0.07202211024046806
ACH-000099,0.046308129325888715
ACH-000108,-0.044215373001654464
ACH-000113,0.09097859059113976
ACH-000116,-0.06852523075831596
ACH-000118,-0.14617736812803994
ACH-000120,0.007020551541797746
ACH-000123,0.14359085396476792
ACH-000127,-0.08121519592246955
ACH-000128,-0.16261269206784434
ACH-000132,0.08552745421600515
ACH-000133,-0.014270567690019425
ACH-000137,-0.2139179690689684
ACH-000138,-0.030772284592951574
ACH-000142,0.05512640934554015
ACH-000143,-0.22790323715060284
ACH-000146,0.15085780655697922
ACH-000148,-0.2036286781732301
