,UAP1 (6675)
ACH-000004,-0.22479015442434336
ACH-000005,-0.3484088156905875
ACH-000007,-0.3059439831325003
ACH-000009,-0.28689292611834283
ACH-000011,-0.2586441506759018
ACH-000012,-0.5438393149130046
ACH-000013,-0.1992187841351328
ACH-000014,-0.1763899908021785
ACH-000015,-0.11971218092425308
ACH-000017,-0.13540313870872955
ACH-000018,-0.12618892827946662
ACH-000019,-0.1377726145369071
ACH-000021,-0.2377381813770444
ACH-000022,-0.4157338309450112
ACH-000025,-0.22507930792609845
ACH-000028,-0.16543985956742874
ACH-000030,-0.6166658319878601
ACH-000035,-0.4412005363078647
ACH-000036,-0.29819858352934864
ACH-000037,-0.21682286195477035
ACH-000039,-0.1889425197458536
ACH-000040,-0.2295502109460484
ACH-000041,-0.1200434698991556
ACH-000042,-0.7449758970451232
ACH-000045,-0.05050007331295522
ACH-000047,-0.6141582067886467
ACH-000052,-0.4115163460246351
ACH-000053,-0.2038609808367453
ACH-000054,-0.16464804952244258
ACH-000055,-0.2175233972491001
ACH-000060,-0.28133129825665
ACH-000067,-0.18930505977608528
ACH-000070,-0.6471214835051436
ACH-000075,-0.4272799269485218
ACH-000078,-0.20889244873886428
ACH-000082,-0.19109812952641506
ACH-000085,-0.2303921924228971
ACH-000086,-0.37348418230933056
ACH-000087,-0.2027505950009245
ACH-000092,-0.3761302154939581
ACH-000095,-0.1036563604987506
ACH-000097,0.013440016241719735
ACH-000098,-0.19095728029606185
ACH-000099,-0.25072168691272123
ACH-000108,-0.5537978219844136
ACH-000113,-0.25857777441198576
ACH-000116,-0.20601206898410326
ACH-000118,0.041124379427529764
ACH-000120,-0.2755494221419201
ACH-000123,-0.08911577402823136
ACH-000127,-0.04880939254633227
ACH-000128,-0.3413249836519792
ACH-000132,-0.2614179695198169
ACH-000133,-0.3093222873107913
ACH-000137,-0.235136531055212
ACH-000138,-0.3706072797535581
ACH-000142,-0.3449568641804296
ACH-000143,-0.2324537050184809
ACH-000146,-0.16686474606977256
ACH-000148,-0.4330574030226821
ACH-000150,-0.055884551130352005
ACH-000152,-0.24235987142057985
ACH-000153,-0.2479345057414349
ACH-000159,-0.2256535676617025
ACH-000160,-0.2490176390528034
ACH-000163,-0.3573615110971437
ACH-000167,-0.12187910827816673
ACH-000168,0.03504053819125757
ACH-000169,-0.2209726171887816
ACH-000178,-0.14301849696400404
ACH-000183,-0.2149563917151064
ACH-000188,-0.21263955540206725
ACH-000189,-0.4338905609433956
ACH-000190,-0.15626976743700466
ACH-000198,-0.4570521583350657
ACH-000203,0.16826334891574032
ACH-000204,-0.5034614908946448
ACH-000206,-0.11843497828550573
ACH-000207,-0.4277366838308999
ACH-000208,-0.3160584662044644
ACH-000210,0.03910009914499332
ACH-000211,-0.2323173578303033
ACH-000215,-0.1914349106936945
ACH-000221,-0.23771441917939976
ACH-000222,-0.5499674339444456
ACH-000223,-0.6460071344345816
ACH-000226,-0.24566111072239605
ACH-000227,-0.2917823896599914
ACH-000228,-0.14746543257397424
ACH-000231,-0.33089808558826195
ACH-000232,-0.2319164345913129
ACH-000233,-0.17203854431608406
ACH-000234,-0.7251209679109204
ACH-000235,-0.2537235395642306
ACH-000237,-0.2987166294605537
ACH-000238,-0.16141879129989006
ACH-000242,-0.3105624620632903
ACH-000243,-0.1743135016288154
ACH-000244,-0.26310486391171145
ACH-000246,-0.2360058853092205
ACH-000248,0.032317075059924795
ACH-000250,-0.320402187377212
ACH-000251,-0.20435902423838107
ACH-000252,-0.4088714154694943
ACH-000253,-0.5782216593823065
ACH-000255,-0.279976711533019
ACH-000256,-0.10197132288616877
ACH-000257,-0.2785930126278825
ACH-000258,-0.23377377039057576
ACH-000259,-0.2066168726177837
ACH-000260,-0.3494773375698011
ACH-000261,-0.18608465701317664
ACH-000262,-0.2129531330128755
ACH-000263,-0.11338874587150953
ACH-000264,-0.3398096002181988
ACH-000265,0.036790568272331764
ACH-000266,-0.2766509469370229
ACH-000272,-0.6547640379893959
ACH-000274,-0.4037382580669408
ACH-000277,-0.302719888327154
ACH-000278,-0.3565350561457969
ACH-000279,-0.2626118369500104
ACH-000280,-0.21429266996992125
ACH-000281,-0.4911375537378255
ACH-000288,-0.2253755477762336
