,MAP1LC3B (81631)
ACH-000004,-0.2779575508387093
ACH-000005,-0.3961334748026935
ACH-000007,-0.2577922485065316
ACH-000009,-0.3427495385046698
ACH-000011,-0.2346750567536849
ACH-000012,-0.3137182952246773
ACH-000013,-0.22491096763498614
ACH-000014,-0.4403184583676971
ACH-000015,-0.29457783345699057
ACH-000017,-0.20964640171532653
ACH-000018,-0.22474163782485515
ACH-000019,-0.4609554169716055
ACH-000021,-0.4350550570361483
ACH-000022,-0.2988225330069412
ACH-000025,-0.1284783914710288
ACH-000028,-0.2923910015971922
ACH-000030,-0.17884955166416658
ACH-000035,-0.3059745565590538
ACH-000036,-0.3682012645256147
ACH-000037,-0.2509750730043396
ACH-000039,-0.20841901446384226
ACH-000040,-0.3607624483553463
ACH-000041,-0.3001765348366909
ACH-000042,-0.3714788467014433
ACH-000045,-0.39595808110995456
ACH-000047,-0.24585210483086245
ACH-000052,-0.2000908470209897
ACH-000053,-0.1613010464180655
ACH-000054,-0.20817040480821056
ACH-000055,-0.23618499998186315
ACH-000060,-0.14494488534468766
ACH-000067,-0.25579157790793905
ACH-000070,-0.2397406431429189
ACH-000075,-0.6838211523036123
ACH-000078,-0.5312354240545306
ACH-000082,-0.3327050390054523
ACH-000085,-0.576648803596281
ACH-000086,-0.37847827847168103
ACH-000087,-0.3154321474906111
ACH-000092,-0.21622207679360855
ACH-000095,-0.2851119412117771
ACH-000097,-0.35621253377396034
ACH-000098,-0.3040167981738031
ACH-000099,-0.4050084340786604
ACH-000108,-0.3406602901928021
ACH-000113,-0.4276278712538981
ACH-000116,-0.2140383597618512
ACH-000118,-0.2641538268481473
ACH-000120,-0.2280890785380221
ACH-000123,-0.2388964935288197
ACH-000127,-0.3875363935740178
ACH-000128,-0.4859579137714953
ACH-000132,-0.282196192572099
ACH-000133,-0.33326244878411904
ACH-000137,-0.22116677263168805
ACH-000138,-0.4061805132531229
ACH-000142,-0.422579341391208
ACH-000143,-0.23168183248562965
ACH-000146,-0.20317786484503988
ACH-000148,-0.3776614897367183
ACH-000150,-0.3249596349930615
ACH-000152,-0.4127588974115132
ACH-000153,-0.3097263614041617
ACH-000159,-0.3069529178071089
ACH-000160,-0.3620177015046617
ACH-000163,-0.22645702993236666
ACH-000167,-0.15191193587961901
ACH-000168,-0.4789470425304839
ACH-000169,-0.4224047667086834
ACH-000178,-0.4922432982244019
ACH-000183,-0.4162635755247561
ACH-000188,-0.2152311614786784
ACH-000189,-0.22547893299264726
ACH-000190,-0.3058283186583647
ACH-000198,-0.39628475050970974
ACH-000203,-0.7681811340221548
ACH-000204,-0.28427569198922825
ACH-000206,-0.18441642360104815
ACH-000207,-0.2188665703894634
ACH-000208,-0.1414234464969118
ACH-000210,-0.27048257146891674
ACH-000211,-0.3578651921197631
ACH-000215,-0.38314860395911937
ACH-000221,-0.27666381774012155
ACH-000222,-0.15629973953663967
ACH-000223,-0.21290425309782507
ACH-000226,-0.2704707126503186
ACH-000227,-0.4547857203435
ACH-000228,-0.3132635259769723
ACH-000231,-0.24264818466844626
ACH-000232,-0.413582925603426
ACH-000233,-0.3041871684406816
ACH-000234,-0.1781225678365642
ACH-000235,-0.4081266114250669
ACH-000237,-0.3491441599719948
ACH-000238,-0.21039299883604054
ACH-000242,-0.1044528998822178
ACH-000243,-0.23573747039072795
ACH-000244,-0.2516796696443181
ACH-000246,-0.2285524123372856
ACH-000248,-0.3061300339800323
ACH-000250,-0.4222857732123592
ACH-000251,-0.1695437572039737
ACH-000252,-0.32711911077617783
ACH-000253,-0.26481268246620393
ACH-000255,-0.3468088822588175
ACH-000256,-0.2088630349770119
ACH-000257,-0.3816356317693381
ACH-000258,-0.27421373107595665
ACH-000259,-0.25790857171640696
ACH-000260,-0.21394428580428929
ACH-000261,-0.17812581165055397
ACH-000262,-0.16823283451761706
ACH-000263,-0.641663189071772
ACH-000264,-0.2506661179745224
ACH-000265,-0.1844298237099736
ACH-000266,-0.4425524438258672
ACH-000272,-0.12055124303919935
ACH-000274,-0.21750085123470075
ACH-000277,-0.5261888873995071
ACH-000278,-0.16879062755073193
ACH-000279,-0.30470763788499466
ACH-000280,-0.3109274094604173
ACH-000281,-0.5957763827043641
ACH-000288,-0.4086861338761809
ACH-000291,-0.2580652174601428
ACH-000293,-0.2444533932176517
ACH-000294,-0.42011793745788
ACH-000295,-0.3579000088326141
ACH-000296,-0.08695191763750214
ACH-000302,-0.21797059510525466
ACH-000304,-0.1801935898921104
ACH-000307,-0.4180682969414042
ACH-000308,-0.40100669576420417
ACH-000310,-0.5277433176186156
ACH-000311,-0.20368910317445288
ACH-000312,-0.5130280743639878
ACH-000315,-0.12805381164786672
ACH-000316,-0.3288396152166938
ACH-000317,-0.2900225816276565
ACH-000318,-0.19210507263332455
ACH-000319,-0.3790820135309565
ACH-000320,-0.3107833771267894
ACH-000322,-0.608037384631009
ACH-000323,-0.3487435220918362
ACH-000324,-0.41684744211368335
ACH-000329,-0.4751635911346258
ACH-000330,-0.1656143770454777
ACH-000331,-0.390303219920356
ACH-000332,-0.3700499884697389
ACH-000334,-0.2799365840876807
ACH-000335,-0.2347918309884865
ACH-000336,-0.4916303522393011
ACH-000337,-0.3657368143995508
ACH-000338,0.3237619708839463
ACH-000339,-0.350368938885485
ACH-000341,-0.4176574518801553
ACH-000348,-0.2566604202776804
ACH-000350,-0.3304020446699787
ACH-000352,-0.3775548962424026
ACH-000356,-0.3801812786860743
ACH-000361,-0.3817550520758144
ACH-000362,-0.3159815267908294
ACH-000363,-0.22208807107042236
ACH-000364,-0.2718510792368775
ACH-000365,-0.371737259955563
ACH-000366,-0.3874865806114613
ACH-000368,-0.4248601750333247
ACH-000374,-0.20531321344682488
ACH-000375,-0.29519616487781103
ACH-000376,-0.3368152189064828
ACH-000381,-0.4552150905577653
ACH-000383,-0.29207994058382003
ACH-000387,-0.4027033713366449
ACH-000389,-0.5665586413238322
ACH-000390,-0.3678813261664738
ACH-000393,-0.3141514252139648
ACH-000395,-0.3707330795532612
ACH-000396,-0.19933304974331492
ACH-000397,-0.2851999163935226
ACH-000401,-0.3970969693872206
ACH-000402,-0.26061948478688785
ACH-000403,-0.3967970824879797
ACH-000404,-0.15759397604176678
ACH-000406,-0.2819536940899137
ACH-000407,-0.5288043672102111
ACH-000408,-0.17268359700497593
ACH-000410,-0.24484209562700324
ACH-000411,-0.17891604769585076
ACH-000414,-0.16360799123276856
ACH-000415,-0.1835003343231988
ACH-000416,-0.3878698460773148
ACH-000420,-0.27023294287475585
ACH-000421,-0.31067748821265945
ACH-000424,-0.35254585614582346
ACH-000425,-0.30469581278874863
ACH-000426,-0.10431081140370883
ACH-000427,-0.4163168017255224
ACH-000433,-0.31457784865980104
ACH-000435,-0.4167592090764641
ACH-000436,-0.2799074886913833
ACH-000444,-0.2705999172628691
ACH-000445,-0.3359409355936671
ACH-000448,-0.30297491784607034
ACH-000450,-0.3320377647489548
ACH-000452,-0.2654786802243885
ACH-000454,-0.2627781581651244
ACH-000458,-0.2662009466692079
ACH-000459,-0.18143139806200825
ACH-000460,-0.2830862724548148
ACH-000461,-0.3011314256848263
ACH-000463,-0.3710885472247911
ACH-000464,-0.3456510583427934
ACH-000466,-0.2807422605491955
ACH-000467,-0.40626773902050617
ACH-000468,-0.5143983223795757
ACH-000469,-0.43133527283894224
ACH-000470,-0.1560310181938522
ACH-000471,-0.34053795289241306
ACH-000472,-0.2926848367038784
ACH-000473,-0.3144438140921373
ACH-000475,-0.3999367100223609
ACH-000476,-0.3239710657344313
ACH-000477,-0.3175349457295296
ACH-000479,-0.4855173435979919
ACH-000480,-0.4525383129733486
ACH-000481,-0.33920822038674225
ACH-000483,-0.3277542144812507
ACH-000484,-0.18609708336400144
ACH-000485,-0.4088907821516847
ACH-000486,-0.20113570283417254
ACH-000487,-0.26109115425247265
ACH-000488,-0.3521020749584509
ACH-000490,-0.2235960371735421
ACH-000491,-0.25194572709612256
ACH-000495,-0.1579705080241184
ACH-000496,-0.15638618255248762
ACH-000499,-0.3031927684728955
ACH-000500,-0.1722847246154911
ACH-000502,-0.3242916975120463
ACH-000503,-0.5663903352917019
ACH-000505,-0.3884303831137259
ACH-000507,-0.2877667116915788
ACH-000510,-0.2995119230498963
ACH-000511,-0.3007963880593342
ACH-000512,-0.22449714811165666
ACH-000516,-0.2736477399829869
ACH-000517,-0.22508899535860946
ACH-000518,-0.1883397701654691
ACH-000520,-0.23723946828827244
ACH-000521,-0.2583837943479847
ACH-000522,-0.3815292115470632
ACH-000524,-0.3056108996842076
ACH-000527,-0.28916065172339217
ACH-000528,-0.3405775652869647
ACH-000537,-0.44205703149197295
ACH-000541,-0.38418254462441337
ACH-000542,-0.3712212474017597
ACH-000544,-0.4307700858258857
ACH-000545,-0.3090673290556185
ACH-000547,-0.09785504295512773
ACH-000548,-0.3732195333735328
ACH-000549,-0.3499498103271596
ACH-000550,-0.22175868566041146
ACH-000552,-0.260271428293651
ACH-000556,-0.2889248850137966
ACH-000557,-0.3969266565736202
ACH-000569,-0.3486706498284607
ACH-000570,-0.30781190716402096
ACH-000571,-0.2766389381064306
ACH-000573,-0.417845958392371
ACH-000576,-0.2865461214625318
ACH-000579,-0.3812713995877805
ACH-000580,-0.2809483329397172
ACH-000584,-0.3319247428813452
ACH-000585,-0.4260787451897232
ACH-000588,-0.15460237356710482
ACH-000589,-0.4017245294180201
ACH-000591,-0.3154815390769747
ACH-000593,-0.2358897339469468
ACH-000600,-0.15161703239902455
ACH-000601,-0.3782355037910275
ACH-000605,-0.4212858644492559
ACH-000606,-0.17890258271052384
ACH-000608,-0.3004505126020678
ACH-000614,-0.2668797213148408
ACH-000616,-0.27211070989482145
ACH-000618,-0.36137824873210495
ACH-000619,-0.23647432509116215
ACH-000620,-0.38276281090077136
ACH-000621,-0.4676635376174227
ACH-000622,-0.26670032904153224
ACH-000623,-0.2596400729321888
ACH-000624,-0.3089932865435699
ACH-000627,-0.20196426039623785
ACH-000630,-0.3319744802422408
ACH-000631,-0.2678164794133958
ACH-000632,-0.26965376677556385
ACH-000633,-0.35182848903538744
ACH-000637,-0.30885307050552485
ACH-000638,-0.20148120232373087
ACH-000646,-0.1265230762410348
ACH-000647,-0.28861568011470856
ACH-000648,-0.20395604296456524
ACH-000649,-0.2779294903851157
ACH-000651,-0.4091188970233512
ACH-000652,-0.43268581264868733
ACH-000653,-0.310799526602424
ACH-000657,-0.4130520831356755
ACH-000658,-0.342372244762986
ACH-000661,-0.44947691913374893
ACH-000662,-0.5068746352164711
ACH-000663,-0.2184397830333276
ACH-000665,-0.17306104439309405
ACH-000671,-0.14932268100576307
ACH-000672,-0.39467567692295497
ACH-000673,-0.19501549570464702
ACH-000676,-0.2946446234869438
ACH-000677,-0.21281732163508124
ACH-000681,-0.2708815613124657
ACH-000683,-0.4772850287754039
