,AGRN (375790)
ACH-000004,-0.088573143705036
ACH-000005,-0.2924485011164408
ACH-000007,-0.2042598474268214
ACH-000009,-0.3101087467042388
ACH-000011,-0.1054924511682294
ACH-000012,-0.20690905338278354
ACH-000013,-0.1682238910556549
ACH-000014,-0.24317479149369156
ACH-000015,-0.2669938237593907
ACH-000017,-0.2965067477343113
ACH-000018,-0.15178930478942285
ACH-000019,-0.18055110346892184
ACH-000021,-0.2113259777146329
ACH-000022,-0.047527185971973016
ACH-000025,-0.2885374085953455
ACH-000028,-0.23866456765184765
ACH-000030,-0.17882089367247805
ACH-000035,-0.1600414400063079
ACH-000036,-0.13060882445092425
ACH-000037,-0.1867606640276621
ACH-000039,-0.2872540580838751
ACH-000040,-0.3545741219305225
ACH-000041,-0.170835247286309
ACH-000042,-0.2766346919043076
ACH-000045,-0.29613494965074616
ACH-000047,-0.12653278076285748
ACH-000052,-0.28230716329029243
ACH-000053,-0.19508411392268746
ACH-000054,-0.1867105634738068
ACH-000055,-0.3873265220861333
ACH-000060,-0.2298193167768433
ACH-000067,-0.13976350370748644
ACH-000070,-0.2318138768230088
ACH-000075,-0.18990348596824927
ACH-000078,-0.2438873519882588
ACH-000082,-0.10763299565867168
ACH-000085,-0.02765023010816613
ACH-000086,-0.2205118631982243
ACH-000087,-0.3621587581623397
ACH-000092,-0.2560366712888579
ACH-000095,-0.2633905882297326
ACH-000097,-0.25759421997980186
ACH-000098,-0.19390495749676187
ACH-000099,-0.29355198317642595
ACH-000108,-0.3423970344747533
ACH-000113,-0.0219391976617289
ACH-000116,-0.23349055576551306
ACH-000118,-0.06459521510731529
ACH-000120,-0.3292395154309676
ACH-000123,-0.25233817158329463
ACH-000127,-0.1562046874462236
ACH-000128,-0.1902047490478193
ACH-000132,-0.25515768723025073
ACH-000133,-0.09099853173224608
ACH-000137,-0.2058748261859848
ACH-000138,-0.24642627378616616
ACH-000142,-0.3926983677810838
ACH-000143,-0.126288711026446
ACH-000146,-0.1352436633726952
ACH-000148,-0.3891314162320381
ACH-000150,-0.5811339488591428
ACH-000152,-0.2633905774412796
ACH-000153,-0.23358232214317745
ACH-000159,-0.3274115835606148
ACH-000160,-0.1992824716942064
ACH-000163,-0.15169829582751407
ACH-000167,-0.09457167292564833
ACH-000168,-0.4345447808049752
ACH-000169,-0.2702405373192093
ACH-000178,-0.319783778561139
ACH-000183,-0.1202165767231452
ACH-000188,-0.2395043653469213
ACH-000189,-0.24825726723633254
ACH-000190,-0.15004922157006725
ACH-000198,-0.12825740017430967
ACH-000203,-0.027354527817295585
ACH-000204,-0.39417752876722606
ACH-000206,-0.2539551676721162
ACH-000207,-0.04185898197818938
ACH-000208,-0.3324938255774804
ACH-000210,-0.4059123442332364
ACH-000211,-0.2522273452834257
ACH-000215,-0.3133723391784736
ACH-000221,-0.04359344663003287
ACH-000222,-0.2435538463266443
ACH-000223,-0.16202631719498764
ACH-000226,-0.13114392191761468
ACH-000227,-0.12447353772097405
ACH-000228,-0.03959039199374751
ACH-000231,-0.26890599412098737
ACH-000232,-0.2106134214317558
ACH-000233,-0.1720564991053309
ACH-000234,-0.2096858080819716
ACH-000235,-0.17176919954726405
ACH-000237,-0.2675170778933917
ACH-000238,-0.3261245604443364
ACH-000242,0.024671924901789447
ACH-000243,-0.14246980393301611
ACH-000244,-0.12360052113796313
ACH-000246,-0.1763630807352687
ACH-000248,-0.2630690310562523
ACH-000250,-0.2158768660204627
ACH-000251,-0.16758264908345086
ACH-000252,-0.09127092106230694
ACH-000253,-0.32045970654768396
ACH-000255,-0.14630159379893284
ACH-000256,-0.3116591841464003
ACH-000257,-0.3349916179228709
ACH-000258,-0.4388994850869747
ACH-000259,-0.2992284966559845
ACH-000260,-0.16773444919490835
ACH-000261,-0.20959588139015134
ACH-000262,-0.22052788730165104
ACH-000263,-0.32083873246966904
ACH-000264,-0.19671065619852815
ACH-000265,-0.1418202575352209
ACH-000266,-0.2736351095555622
ACH-000272,-0.23944359670848395
ACH-000274,-0.28938392528410245
ACH-000277,-0.3369963477513278
ACH-000278,-0.32715120929376895
ACH-000279,-0.189122358360578
ACH-000280,-0.212599907322104
ACH-000281,-0.3238530054407279
ACH-000288,-0.3533314298975523
ACH-000291,-0.17980950161660764
ACH-000293,-0.16012176698000113
ACH-000294,-0.12848080892922134
ACH-000295,-0.3460348477804646
ACH-000296,-0.10539097653762028
ACH-000302,-0.24495542922332025
ACH-000304,-0.21645894351401535
ACH-000307,-0.15052721970723215
ACH-000308,-0.2730600314319433
ACH-000310,-0.19533530052002146
ACH-000311,-0.17622542242681669
ACH-000312,-0.3603644509157212
ACH-000315,-0.17575409182884516
ACH-000316,-0.2320958315891867
ACH-000317,-0.1898465596216472
ACH-000318,0.014533053155975915
ACH-000319,-0.18494850789442527
ACH-000320,-0.3050685421586881
ACH-000322,-0.20735987259625155
ACH-000323,-0.3252683276444194
ACH-000324,-0.28767064705709705
ACH-000329,-0.32302115158895145
ACH-000330,-0.16918862377762092
ACH-000331,-0.2407318564010159
ACH-000332,-0.332644456335284
ACH-000334,-0.1554539460002981
ACH-000335,-0.0921462151895942
ACH-000336,-0.18050459093835589
ACH-000337,-0.41598890758469226
ACH-000338,0.34327642948132825
ACH-000339,-0.22802283438240786
ACH-000341,-0.009987441955868679
ACH-000348,-0.1721534218371893
ACH-000350,-0.1865492853905663
ACH-000352,-0.2275990552419337
ACH-000356,-0.4016777038298104
ACH-000361,-0.05408920990990464
ACH-000362,-0.15190218952279858
ACH-000363,-0.18570998325135912
ACH-000364,-0.09086361703196293
ACH-000365,-0.2075031176041904
ACH-000366,-0.2649688810413773
ACH-000368,-0.2040423407306978
ACH-000374,-0.1864045849370573
ACH-000375,-0.2043950882051021
ACH-000376,-0.14305057998079948
ACH-000381,-0.0010889889267092108
ACH-000383,-0.15593533825431513
ACH-000387,-0.2865561625371453
ACH-000389,-0.5330635261050015
ACH-000390,-0.2320706038373841
ACH-000393,-0.2435507170226621
ACH-000395,-0.1479970126428517
ACH-000396,-0.5034186526047528
ACH-000397,-0.3058761114847406
ACH-000401,-0.18138053864606427
ACH-000402,-0.5379515119154037
ACH-000403,-0.2598646829531268
ACH-000404,-0.4338561888222817
ACH-000406,-0.22852551929381
ACH-000407,-0.4327594239992285
ACH-000408,-0.18258803851209573
ACH-000410,-0.07919100735346775
ACH-000411,-0.1974790110580793
ACH-000414,-0.2354123297892036
ACH-000415,-0.10308626209827072
ACH-000416,-0.2680095789716318
ACH-000420,-0.21595917568991715
ACH-000421,-0.20902656824016
ACH-000424,-0.10960252021927848
ACH-000425,-0.3008408423733284
ACH-000426,-0.03055927410693868
ACH-000427,-0.14817848209975085
ACH-000433,-0.2470728108548121
ACH-000435,-0.23583098698130897
ACH-000436,-0.1249929911354426
ACH-000444,-0.2499387529251453
ACH-000445,-0.21377200227366586
ACH-000448,-0.22976931494616296
ACH-000450,-0.10400792518505887
ACH-000452,-0.3461251843426965
ACH-000454,-0.2531686750714165
ACH-000458,-0.2742832814283627
ACH-000459,-0.09850781216120057
ACH-000460,-0.060643777653679024
ACH-000461,-0.2728601879164087
ACH-000463,-0.22724576054339746
ACH-000464,-0.2477535326423049
ACH-000466,-0.2532930776980569
ACH-000467,-0.07486652794116018
ACH-000468,-0.2717595405111801
ACH-000469,-0.3232015427028819
ACH-000470,-0.19907052027380187
ACH-000471,-0.18428052950169346
ACH-000472,-0.22989483027215665
ACH-000473,-0.2709322638756815
ACH-000475,-0.15245445190521326
ACH-000476,-0.3319884737531909
ACH-000477,-0.2362043305222772
ACH-000479,-0.2815194973946832
ACH-000480,-0.08274964754857214
ACH-000481,-0.22255083774393045
ACH-000483,-0.11529889730889628
ACH-000484,-0.2674789736717145
ACH-000485,-0.2134536284357745
ACH-000486,-0.07457884865684261
ACH-000487,-0.21196709125807686
ACH-000488,-0.1973215207768771
ACH-000490,-0.1710972919486246
ACH-000491,-0.1692136828595633
ACH-000495,-0.17778120697731772
ACH-000496,-0.3286673067613287
ACH-000499,-0.16407710437634074
ACH-000500,-0.3971811270280352
ACH-000502,-0.25525352208922764
ACH-000503,-0.034371940301787744
ACH-000505,-0.17660913948644918
ACH-000507,-0.2354076781134073
ACH-000510,-0.19780183476441096
ACH-000511,-0.20769857769044286
ACH-000512,-0.2808458332666252
ACH-000516,-0.09299803996748526
ACH-000517,-0.2766429930828035
ACH-000518,-0.18156824655635945
ACH-000520,-0.06557352809978452
ACH-000521,-0.3835857625114005
ACH-000522,-0.14492992567697155
ACH-000524,-0.4035540985653069
ACH-000527,-0.17743411465008846
ACH-000528,-0.20806081630749135
ACH-000537,-0.32857607956992496
ACH-000541,-0.33589181804154244
ACH-000542,-0.28220927536199153
ACH-000544,-0.17606577353628514
ACH-000545,-0.21383047299852126
ACH-000547,-0.2655779828137592
ACH-000548,-0.3087723259451332
ACH-000549,-0.1214966755628382
ACH-000550,-0.4372598254922819
ACH-000552,-0.1983480513100276
ACH-000556,-0.23201284345090065
ACH-000557,-0.18038680532003346
ACH-000569,-0.39411602308689786
ACH-000570,-0.2082369922412957
ACH-000571,-0.2913387939012557
ACH-000573,-0.14903816212266427
ACH-000576,-0.26772765554757194
ACH-000579,-0.3466950689790062
ACH-000580,-0.15351166451636147
ACH-000584,-0.17360987714522466
ACH-000585,-0.2751546808520116
ACH-000588,-0.2658445725983713
ACH-000589,-0.20891347712376934
ACH-000591,-0.4129247127900231
ACH-000593,-0.16391273504835574
ACH-000600,-0.05910591013997544
ACH-000601,-0.22205756897508724
ACH-000605,-0.19652016515484474
ACH-000606,-0.1324892674140712
ACH-000608,-0.26086819433045844
ACH-000614,-0.2502701004630014
ACH-000616,-0.13741936264973625
ACH-000618,-0.2413631452531745
ACH-000619,-0.33081964385013435
ACH-000620,-0.3632495840895292
ACH-000621,-0.290092327799694
ACH-000622,-0.2356979987185163
ACH-000623,-0.2643240799643852
ACH-000624,-0.3045472641524661
ACH-000627,-0.3510753564443654
ACH-000630,-0.1692742655060941
ACH-000631,-0.17710717812279414
ACH-000632,-0.1699258804348898
ACH-000633,-0.2056300098952265
ACH-000637,-0.2246928942383934
ACH-000638,-0.2012763868851417
ACH-000646,-0.2260713296351172
ACH-000647,-0.23476199524306865
ACH-000648,-0.4165534639893445
ACH-000649,-0.26999355002322584
ACH-000651,-0.1918290922311262
ACH-000652,-0.1481980989232013
ACH-000653,-0.23483538148209565
ACH-000657,-0.2541233278568461
ACH-000658,-0.16757374486235765
ACH-000661,-0.3272221184449353
ACH-000662,-0.4752547372663302
ACH-000663,-0.2137603939047216
ACH-000665,-0.08326360084461865
ACH-000671,-0.1082389144824474
ACH-000672,-0.3756620990401486
ACH-000673,-0.20598665187184115
ACH-000676,-0.1306281824781886
ACH-000677,-0.06637486097509775
ACH-000681,-0.2318357553280736
ACH-000683,-0.2399901510594236
ACH-000684,-0.41262667265569797
ACH-000688,-0.31254060072708384
ACH-000693,-0.3288335672895408
ACH-000694,-0.23705104499610236
ACH-000695,-0.1282909096992399
ACH-000696,-0.150194381426514
ACH-000697,-0.05764110136452074
ACH-000699,-0.15177818817167468
ACH-000701,-0.18870136423325828
ACH-000706,-0.10814736702965808
ACH-000711,-0.21798848574143234
ACH-000713,-0.04761053150925662
ACH-000714,-0.26449412197437755
ACH-000718,-0.33703184862180563
ACH-000720,-0.20156237532458984
ACH-000721,-0.2246830909759815
ACH-000724,-0.05957078338320183
