,PSPH (5723)
ACH-000004,-0.27631311827806515
ACH-000005,-0.30286540750029284
ACH-000007,-0.4641103337810734
ACH-000009,-0.2558353186923901
ACH-000011,-0.48075967139849896
ACH-000012,-0.1707153873396808
ACH-000013,-0.11319382484814633
ACH-000014,-0.22256231145808605
ACH-000015,-0.35980405558574724
ACH-000017,-0.021229625089054724
ACH-000018,-0.117638648600346
ACH-000019,-0.2526357294000891
ACH-000021,-0.12826457766493746
ACH-000022,-0.17184763619236115
ACH-000025,-0.11214089630602808
ACH-000028,-0.05557914543818827
ACH-000030,-0.18725563599885026
ACH-000035,-0.15428574892516236
ACH-000036,-0.248327822114192
ACH-000037,-0.2437558202823012
ACH-000039,-0.0878757129938472
ACH-000040,-0.1045946261278548
ACH-000041,-0.2563263895860645
ACH-000042,-0.3114238905945649
ACH-000045,-0.1087763904967519
ACH-000047,-0.23043870325135535
ACH-000052,-0.14700218881863356
ACH-000053,-0.22264626293090875
ACH-000054,-0.15130556889017194
ACH-000055,-0.11115370713973004
ACH-000060,-0.27556145471616755
ACH-000067,-0.0683242565528183
ACH-000070,-0.07813085559809177
ACH-000075,-0.12655889192240327
ACH-000078,-0.1731911630248913
ACH-000082,-0.2292343630004953
ACH-000085,-0.22477741453152408
ACH-000086,-0.04430337090805719
ACH-000087,-0.053187212406896674
ACH-000092,-0.08886708892841058
ACH-000095,-0.24980252275040074
ACH-000097,-0.2516572273068498
ACH-000098,-0.25758986603125233
ACH-000099,-0.20679636179710692
ACH-000108,-0.09526324162598086
ACH-000113,-0.15728227722993904
ACH-000116,-0.21051440270479846
ACH-000118,-0.14708468530205926
ACH-000120,-0.08453113774273878
ACH-000123,-0.2403920626821119
ACH-000127,-0.15054081901565244
ACH-000128,-0.2199459976686801
ACH-000132,-0.1447672764580664
ACH-000133,-0.18112942218791128
ACH-000137,-0.22986059748860746
ACH-000138,-0.1232265955323751
ACH-000142,-0.16010903809578492
ACH-000143,-0.2079278739102042
ACH-000146,-0.20521488655063885
ACH-000148,-0.1482818823593051
ACH-000150,-0.1450975572934559
ACH-000152,-0.09755097718323702
ACH-000153,-0.120215324684196
ACH-000159,-0.2269731463299077
ACH-000160,-0.08488480161912729
ACH-000163,-0.1473389203464569
ACH-000167,0.02494235110640117
ACH-000168,-0.1342696945374224
ACH-000169,-0.06653905837417917
ACH-000178,-0.2054941486297653
ACH-000183,-0.06395075767045656
ACH-000188,-0.18423044819282308
ACH-000189,-0.2757583151903933
ACH-000190,-0.2538213824267496
ACH-000198,-0.25079312534162024
ACH-000203,-0.0940377387296537
ACH-000204,0.017372341160919787
ACH-000206,-0.2815405046354334
ACH-000207,-0.3173133197633635
ACH-000208,-0.1815754158339087
