,SMUG1 (23583)
ACH-000004,-0.5021249430184478
ACH-000005,-0.6484893664012089
ACH-000007,-0.17487483153443314
ACH-000009,-0.3374431524539653
ACH-000011,-0.27454589888265657
ACH-000012,-0.13372689394218334
ACH-000013,-0.30847899759241115
ACH-000014,-0.22607543992968626
ACH-000015,-0.2595517940420388
ACH-000017,-0.3326053867065436
ACH-000018,-0.5215493263993743
ACH-000019,-0.2728997513676898
ACH-000021,-0.2905036071913794
ACH-000022,-0.3864198539076452
ACH-000025,-0.29916472299940844
ACH-000028,-0.38095038176143103
ACH-000030,-0.378620103550952
ACH-000035,-0.4397184612408173
ACH-000036,-0.316865313265784
ACH-000037,-0.27540453994378783
ACH-000039,-0.5568804977373246
ACH-000040,-0.5189029493225041
ACH-000041,-0.5473596790515153
ACH-000042,-0.2864625061860077
ACH-000045,-0.14445637559900978
ACH-000047,-0.33979543831589776
ACH-000052,-0.4052170661229668
ACH-000053,-0.24198878139490676
ACH-000054,-0.4386976716997504
ACH-000055,-0.38510573197516135
ACH-000060,-0.3569195021336918
ACH-000067,-0.5504540785571352
ACH-000070,-0.2324814393633048
ACH-000075,-0.31677860263493895
ACH-000078,-0.5529926830664983
ACH-000082,-0.44273315012556425
ACH-000085,-0.395401514981122
ACH-000086,-0.26139837196278026
ACH-000087,-0.5462054406679945
ACH-000092,-0.20176959567986452
ACH-000095,-0.4562523750602179
ACH-000097,-0.5272191570468024
ACH-000098,-0.27987241472010954
ACH-000099,-0.34173537849961017
ACH-000108,-0.12521857414374438
ACH-000113,-0.41332484762973626
ACH-000116,-0.3666297729682551
ACH-000118,-0.3357836256080085
ACH-000120,-0.4608755743222837
ACH-000123,-0.3931000175005836
ACH-000127,-0.4902441357844439
ACH-000128,-0.4078511511997271
ACH-000132,-0.2601463551927372
ACH-000133,-0.3179937675268084
ACH-000137,-0.289403421706908
ACH-000138,-0.4237602819847941
ACH-000142,-0.28002608501867365
ACH-000143,-0.2674067772935592
ACH-000146,-0.33685316465032744
ACH-000148,-0.3117046294396319
ACH-000150,-0.3571464159397241
ACH-000152,-0.3196763770339274
ACH-000153,-0.4503721223470399
ACH-000159,-0.3042320345924108
ACH-000160,-0.15990567657811824
ACH-000163,-0.4296761513791689
ACH-000167,0.08499646552650936
ACH-000168,-0.43363548939427293
ACH-000169,-0.17857438323990976
ACH-000178,-0.4115407103423801
ACH-000183,-0.26876350197686505
ACH-000188,-0.1537122686308679
ACH-000189,-0.6752863294163041
ACH-000190,-0.4129499132196475
ACH-000198,-0.5055577858837019
ACH-000203,-0.7386791583610679
ACH-000204,0.027709149134446328
ACH-000206,-0.268236778541672
ACH-000207,-0.2246645041967324
ACH-000208,-0.3853160534104143
ACH-000210,-0.20874823540677528
ACH-000211,-0.47423939057765296
ACH-000215,-0.487737769290645
ACH-000221,-0.3296044520377745
ACH-000222,-0.2725798358791593
ACH-000223,-0.5230389846190556
ACH-000226,-0.2727327795600703
ACH-000227,-0.5187620065057729
ACH-000228,-0.3287100696321442
ACH-000231,-0.2924797955665442
ACH-000232,-0.4516722996670574
ACH-000233,-0.3869986798834362
ACH-000234,-0.3964572882945778
ACH-000235,-0.42337179077299136
ACH-000237,-0.3831762932947658
ACH-000238,-0.3581136381262645
ACH-000242,-0.3581656843776208
ACH-000243,-0.36985626753095857
ACH-000244,-0.11143106324033322
ACH-000246,-0.3691944724897777
ACH-000248,-0.23239950556976174
ACH-000250,-0.4018223711256617
ACH-000251,-0.31416303242959986
ACH-000252,-0.2608593550673947
ACH-000253,-0.3982307095115241
ACH-000255,-0.33941590646513403
ACH-000256,-0.3276346204373018
ACH-000257,-0.3465576268143798
ACH-000258,-0.5620382102004281
ACH-000259,-0.4218833400306224
ACH-000260,-0.3094018767182184
ACH-000261,-0.3275867936347775
ACH-000262,-0.3100288000111183
ACH-000263,-0.6143526025297974
ACH-000264,-0.29830147081492603
ACH-000265,-0.3431994578924213
ACH-000266,-0.4086301075239368
ACH-000272,-0.2782202656436281
ACH-000274,-0.3202264328762915
ACH-000277,-0.21963096292178616
ACH-000278,-0.41625294700013576
ACH-000279,-0.41079344267297735
ACH-000280,-0.2902416820626301
ACH-000281,-0.4221484737838048
ACH-000288,-0.38943265806399213
ACH-000291,-0.2579645355301917
ACH-000293,-0.4696825571910093
ACH-000294,-0.14884730188444986
ACH-000295,-0.29417500531867663
ACH-000296,-0.3763805636095531
ACH-000302,-0.3280632007774077
ACH-000304,-0.6256021192554151
ACH-000307,-0.2088071801262687
ACH-000308,-0.4856182410919645
ACH-000310,-0.3758846930820471
ACH-000311,-0.3447447634224097
ACH-000312,-0.3469216526878277
ACH-000315,-0.4593893926430385
ACH-000316,-0.20224217754372606
ACH-000317,-0.19161981069847148
ACH-000318,-0.43418564041082464
ACH-000319,-0.35423476040145585
ACH-000320,-0.30490690977487
ACH-000322,-0.2400510496985009
ACH-000323,-0.24353968274572946
ACH-000324,-0.1968014928698378
ACH-000329,-0.2723378336219686
ACH-000330,-0.31335234272293233
ACH-000331,-0.39720796344896003
ACH-000332,-0.3751846687629916
ACH-000334,-0.2949182966907042
ACH-000335,-0.27508718695114864
ACH-000336,-0.5865162735724229
ACH-000337,-0.4647396343717828
