,IFNLR1 (163702)
ACH-000004,-0.10718464924608327
ACH-000005,-0.4595085492193943
ACH-000007,-0.2449941428400277
ACH-000009,-0.4255936573983824
ACH-000011,-0.2528426517062934
ACH-000012,-0.2088239007393341
ACH-000013,-0.3473925110323329
ACH-000014,-0.384707954478577
ACH-000015,-0.2291464807198549
ACH-000017,-0.4487163884075587
ACH-000018,-0.3829729577233492
ACH-000019,-0.24972016184276746
ACH-000021,-0.2637374755322013
ACH-000022,-0.2342021227342754
ACH-000025,-0.2992555440710005
ACH-000028,-0.42778535296549297
ACH-000030,-0.3025024472188127
ACH-000035,-0.334312770356111
ACH-000036,-0.30416343443460914
ACH-000037,-0.31425186907988234
ACH-000039,-0.436520209134734
ACH-000040,-0.5295101262506766
ACH-000041,-0.3984124002067769
ACH-000042,-0.2824796304188082
ACH-000045,-0.4772691021198289
ACH-000047,-0.18399082003636605
ACH-000052,-0.2651727508099433
ACH-000053,-0.2623778062691152
ACH-000054,-0.10371594218277204
ACH-000055,-0.44673140561078295
ACH-000060,-0.4149261020137434
ACH-000067,-0.3512199713345878
ACH-000070,-0.2102021851839838
ACH-000075,-0.4886180524219898
ACH-000078,-0.2855463362973567
ACH-000082,-0.3807966051568498
ACH-000085,-0.31159923746503304
ACH-000086,-0.3462928837995489
ACH-000087,-0.2831229641969748
ACH-000092,-0.4956570687516986
ACH-000095,-0.4486146345377081
ACH-000097,-0.34032866202374285
ACH-000098,-0.3964727214970145
ACH-000099,-0.33860308660369176
ACH-000108,-0.2575035694840425
ACH-000113,-0.33858100860350915
ACH-000116,-0.3631002149848551
ACH-000118,-0.26158863289721684
ACH-000120,-0.38236725883926015
ACH-000123,-0.2304043604669137
ACH-000127,-0.27365903111626466
ACH-000128,-0.4195785561696852
ACH-000132,-0.2900539619997766
ACH-000133,-0.4097304025897243
ACH-000137,-0.44222496106803866
ACH-000138,-0.3268248892778504
ACH-000142,-0.21751710395508364
ACH-000143,-0.5151121566501712
ACH-000146,-0.3363822950328882
ACH-000148,-0.36253659465899385
ACH-000150,-0.40613550617359995
ACH-000152,-0.4729061497822761
ACH-000153,-0.1911046500973872
ACH-000159,-0.506511976435112
ACH-000160,-0.27201219412422034
ACH-000163,-0.3767706750565502
ACH-000167,-0.2025126527682759
ACH-000168,-0.5403330765197801
ACH-000169,-0.2838799294789023
ACH-000178,-0.3155367216719437
ACH-000183,-0.2539600993388298
ACH-000188,-0.25541497503475497
ACH-000189,-0.4697422318688382
ACH-000190,-0.23981277766655806
ACH-000198,-0.27193665932380745
ACH-000203,-0.3316652220658084
ACH-000204,-0.40742467929831694
ACH-000206,-0.3642024067460036
ACH-000207,-0.34473225805128577
