,PIAS1 (8554)
ACH-000004,-0.5395492114579694
ACH-000005,-0.3155640605462583
ACH-000007,-0.35033035958376496
ACH-000009,-0.2123804111799642
ACH-000011,-0.13426223038370966
ACH-000012,-0.09042367812122043
ACH-000013,-0.2638304422178329
ACH-000014,-0.5772113017865512
ACH-000015,-0.5807518329589836
ACH-000017,-0.314736413474878
ACH-000018,-0.44019115524322
ACH-000019,-0.2627461357374559
ACH-000021,-0.2969978330577728
ACH-000022,-0.4007335181724631
ACH-000025,-0.6754874434903783
ACH-000028,-0.08526664409423232
ACH-000030,-0.2732889371559689
ACH-000035,-0.53049909754709
ACH-000036,-0.3300042846085317
ACH-000037,-0.21818564960230408
ACH-000039,-0.4601723433269679
ACH-000040,-0.035702105795659134
ACH-000041,-0.07416225684571967
ACH-000042,-0.10961464039365763
ACH-000045,-0.16916152083688668
ACH-000047,-0.2155257709475556
ACH-000052,-0.22807225152455585
ACH-000053,-0.24938522788598405
ACH-000054,-0.17918778010506792
ACH-000055,-0.21155034908158865
ACH-000060,-0.415571655466592
ACH-000067,-0.33293049032458083
ACH-000070,-0.0756335815231503
ACH-000075,-0.1391446544801847
ACH-000078,-0.3700263453914537
ACH-000082,-0.21395060827658416
ACH-000085,0.06705084668791925
ACH-000086,-0.35960587987089915
ACH-000087,-0.10933246922276134
ACH-000092,-0.2822897008317742
ACH-000095,-0.19482980090485813
ACH-000097,-0.24910742521080015
ACH-000098,-0.2718643035554757
ACH-000099,-0.5076443194711372
ACH-000108,-0.11147674695020096
ACH-000113,-0.515132176028858
ACH-000116,-0.4575955104120419
ACH-000118,-0.16895129567276754
ACH-000120,-0.3918523630201272
ACH-000123,-0.4653678341396068
ACH-000127,-0.15947204492806782
ACH-000128,-0.2657330746558069
ACH-000132,-0.07186375689352281
ACH-000133,-0.18032253612604898
ACH-000137,-0.1267067445594489
ACH-000138,-0.4694053541777598
ACH-000142,-0.10186240289760988
ACH-000143,-0.2678508158904713
ACH-000146,-0.14426693830924814
ACH-000148,-0.2384561543047096
ACH-000150,-0.20371470570476646
ACH-000152,-0.10911006447035716
ACH-000153,-0.5036810660337867
ACH-000159,-0.3340244421256081
ACH-000160,-0.03293818005372924
ACH-000163,-0.1598273103134817
ACH-000167,0.2445276698186229
ACH-000168,-0.2468304751734605
ACH-000169,-0.02377297737680524
ACH-000178,-0.3890960191717529
ACH-000183,-0.2498820317434449
ACH-000188,-0.1475332306314015
ACH-000189,-0.11027150958878464
ACH-000190,-0.17915795515423774
ACH-000198,-0.932770262063476
ACH-000203,-0.8727545508518378
ACH-000204,-0.6462706375439988
ACH-000206,-0.292436133053175
