,UQCRB (7381)
ACH-000004,-0.5111631920117287
ACH-000005,-0.6569394920389975
ACH-000007,-0.5696271984831242
ACH-000009,-0.4303629145000784
ACH-000011,-0.3501173263436532
ACH-000012,-0.5203547723791317
ACH-000013,-0.5753131774471969
ACH-000014,-0.7252905795310315
ACH-000015,-0.5655129404638631
ACH-000017,-0.48316691702191294
ACH-000018,-0.26180920753826536
ACH-000019,-0.5157598690542883
ACH-000021,-0.4821541469265983
ACH-000022,-0.4215167989399236
ACH-000025,-0.469271591372629
ACH-000028,-0.41695968027091707
ACH-000030,-0.7025401505693051
ACH-000035,-0.5208146316566542
ACH-000036,-0.25596556526443665
ACH-000037,-0.4218180941592965
ACH-000039,-0.4715037757663858
ACH-000040,-0.4145429675409905
ACH-000041,-0.5087149258132764
ACH-000042,-0.17248184567995575
ACH-000045,-0.3930070429661699
ACH-000047,-0.7340274739561421
ACH-000052,-0.5456238279023233
ACH-000053,-0.5638311170156429
ACH-000054,-0.7285835888295219
ACH-000055,-0.5431943834916271
ACH-000060,-0.3643892676300975
ACH-000067,-0.3559907392301257
ACH-000070,-0.4361831328179245
ACH-000075,-0.3439831335355606
ACH-000078,-0.4718121026650224
ACH-000082,-0.3600574124687692
ACH-000085,-0.3126610667892348
ACH-000086,-0.5597003017272757
ACH-000087,-0.6278009690386841
ACH-000092,-0.47434743351937897
ACH-000095,-0.1715641951532118
ACH-000097,-0.3984756436621684
ACH-000098,-0.3841956498293509
ACH-000099,-0.4896797082968022
ACH-000108,-0.3095322256809138
ACH-000113,-0.4413618668308369
ACH-000116,-0.5101667339046629
ACH-000118,-0.6621311659683745
ACH-000120,-0.37802214467573214
ACH-000123,-0.5980369629813781
ACH-000127,-0.6064561908825502
ACH-000128,-0.5162205228740302
ACH-000132,-0.4115578630554712
ACH-000133,-0.4742282113214331
ACH-000137,-0.20600247351027984
ACH-000138,-0.5098014599889227
ACH-000142,-0.3196116349913265
ACH-000143,-0.5009936699866414
ACH-000146,-0.5372426575449426
ACH-000148,-0.5543594829720017
ACH-000150,-0.8802049458158349
ACH-000152,-0.5369677959257322
ACH-000153,-0.5083287521285692
ACH-000159,-0.5585860712593389
ACH-000160,-0.5854428745038847
ACH-000163,-0.41975313858323976
ACH-000167,0.0012177185294875365
ACH-000168,-0.4947451404043633
ACH-000169,-0.43937645613196585
ACH-000178,-0.2981232846297289
ACH-000183,-0.4970850707076066
ACH-000188,-0.35056247726162715
ACH-000189,-0.5804887056981386
ACH-000190,-0.4712633303823148
ACH-000198,-0.5343139094596647
ACH-000203,-0.2577587188803861
ACH-000204,-0.20219152630152504
ACH-000206,-0.5142256552633268
ACH-000207,-0.6698001583936296
ACH-000208,-0.2615335740425517
ACH-000210,-0.8134609026006592
ACH-000211,-0.461864855883803
ACH-000215,-0.4650582084543025
ACH-000221,-0.8138847420216607
ACH-000222,-0.3625553696860405
ACH-000223,-0.4844529587429192
ACH-000226,-0.6521532538608038
ACH-000227,-0.6278622240022659
ACH-000228,-0.4053608987223852
ACH-000231,-0.3559362367806361
ACH-000232,-0.4004031506592112
ACH-000233,-0.7220480048110514
ACH-000234,-0.37100234063788173
ACH-000235,-0.537558781961599
ACH-000237,-0.2554504892997231
ACH-000238,-0.5014926586667613
ACH-000242,-0.02632852555852595
ACH-000243,-0.3607750790591441
ACH-000244,-0.3757655209063065
ACH-000246,-0.5621121273414317
ACH-000248,-0.6313892904180971
ACH-000250,-0.22589504455239864
ACH-000251,-0.5437692722443564
ACH-000252,-0.4263526790164026
ACH-000253,-0.5118391575422934
ACH-000255,-0.25670547914217584
ACH-000256,-0.4680089640052993
ACH-000257,-0.5781714783390259
ACH-000258,-0.5408043100359925
ACH-000259,-0.4814516909594237
ACH-000260,-0.28617914343886164
ACH-000261,-0.4663782293986967
ACH-000262,-0.4564764488328941
ACH-000263,-0.5681635224125964
ACH-000264,-0.508284034496757
ACH-000265,-0.8145048094891815
ACH-000266,-0.3127890286062487
ACH-000272,-0.4937112711583122
ACH-000274,-0.5242682872092668
ACH-000277,-0.4648309780229478
ACH-000278,-0.3662833336100157
ACH-000279,-0.6341349372508099
ACH-000280,-0.4392248615251692
ACH-000281,-0.491053388121117
ACH-000288,-0.3270158503361525
ACH-000291,-0.34803072521378153
ACH-000293,-0.5059961728000065
ACH-000294,-0.7100974204839339
ACH-000295,-0.5419540288087593
ACH-000296,-0.06585380156213617
ACH-000302,-0.4395280130821563
ACH-000304,-0.7423329684480943
ACH-000307,-0.5644965291300212
ACH-000308,-0.4196189290031144
ACH-000310,-0.4760269922420645
ACH-000311,-0.3920682034562672
ACH-000312,-0.689540405947424
ACH-000315,-0.5392595356564304
ACH-000316,-0.451712872373382
ACH-000317,-0.7470625387725165
ACH-000318,-0.4693979210839853
ACH-000319,-0.4132067522619977
ACH-000320,-0.6231485312476603
ACH-000322,-0.4957308461346822
ACH-000323,-0.3616568550396633
ACH-000324,-0.2067115923830036
ACH-000329,-0.7712345348762616
ACH-000330,-0.419750394544562
ACH-000331,-0.359132603030946
ACH-000332,-0.14006553863358265
ACH-000334,-0.534559598275581
ACH-000335,-0.5644743190780243
ACH-000336,-0.739240099633478
ACH-000337,-0.6848923780326391
ACH-000338,-0.9091491833053678
ACH-000339,-0.7178721096141749
ACH-000341,-0.4085727548542729
ACH-000348,-0.5175138500778669
ACH-000350,-0.4949145902831406
ACH-000352,-0.6175883438139087
ACH-000356,-0.4522529996820693
ACH-000361,-0.449554467877802
ACH-000362,-0.3267762895457815
ACH-000363,-0.42043954428627706
ACH-000364,-0.6031035642065498
ACH-000365,-0.5773291128729061
ACH-000366,-0.4732368410161043
ACH-000368,-0.512973811983265
ACH-000374,-0.4992146505273128
ACH-000375,-0.7281545967525047
ACH-000376,-0.45019241533443183
ACH-000381,-0.4251462422620445
ACH-000383,-0.6547869223269672
ACH-000387,-0.4350889811520952
ACH-000389,-0.15537278781587185
ACH-000390,-0.4798865350373502
ACH-000393,-0.4193563913560562
ACH-000395,-0.3466528308797593
ACH-000396,-0.5942648078275069
ACH-000397,-0.2590251747635777
ACH-000401,-0.4745260266695603
ACH-000402,-0.6986690975736205
ACH-000403,-0.5275417706469127
ACH-000404,-0.8122190536122439
ACH-000406,-0.6509364464388846
ACH-000407,-0.3873050193316944
ACH-000408,-0.5096273094401385
ACH-000410,-0.4303716810450289
ACH-000411,-0.4680134736185441
ACH-000414,-0.464623681496529
ACH-000415,-0.3956925827998493
ACH-000416,-0.5516415888956078
ACH-000420,-0.4363283154566012
ACH-000421,-0.44293943840915145
