,AGL (178)
ACH-000004,-0.1855764220323465
ACH-000005,0.1768731833527399
ACH-000007,-0.15618660496321135
ACH-000009,-0.11860075508467352
ACH-000011,-0.11841097375217065
ACH-000012,-0.12062088062601692
ACH-000013,-0.17493254427056093
ACH-000014,-0.010769827838070595
ACH-000015,-0.12614187625539447
ACH-000017,-0.06914358101763977
ACH-000018,0.1383788530013161
ACH-000019,-0.11547147033840058
ACH-000021,-0.06672267481640064
ACH-000022,-0.06146413477342338
ACH-000025,-0.19017623074824067
ACH-000028,-0.060822415864972425
ACH-000030,-0.08654700778821818
ACH-000035,-0.22307066222351288
ACH-000036,-0.0669233687593933
ACH-000037,-0.16022142531654154
ACH-000039,-0.0424169305319374
ACH-000040,-0.2023110983560945
ACH-000041,-0.08017609676288509
ACH-000042,-0.11405372910970045
ACH-000045,0.03961465455083301
ACH-000047,-0.12247303841351788
ACH-000052,-0.042331423252736484
ACH-000053,-0.07119532318970756
ACH-000054,-0.10695446680735213
ACH-000055,-0.2212438572850744
ACH-000060,-0.09589951669290586
ACH-000067,-0.2683568266691451
ACH-000070,-0.06271876818544952
ACH-000075,-0.07527379005140451
ACH-000078,-0.12489249466279193
ACH-000082,-0.12379861919678545
ACH-000085,-0.07515767274935421
ACH-000086,-0.14172817903765844
ACH-000087,-0.14253795070370912
ACH-000092,-0.2225368398884296
ACH-000095,-0.07626613554648352
ACH-000097,-0.06952423072668887
ACH-000098,-0.1859378099699262
ACH-000099,-0.1677382073816616
ACH-000108,-0.05811877910742904
ACH-000113,-0.0889849550498038
ACH-000116,-0.08679346582439447
ACH-000118,-0.004601774198888826
ACH-000120,-0.13613764328708458
ACH-000123,-0.1876766782117984
ACH-000127,-0.17487742217791435
ACH-000128,0.06990351530008684
ACH-000132,-0.09333487455831103
ACH-000133,-0.16017707914218698
ACH-000137,-0.13938411860166242
ACH-000138,0.017278342992676544
ACH-000142,-0.11669396309294085
ACH-000143,-0.09121227586391986
ACH-000146,-0.014513666120360194
ACH-000148,-0.10657889180578332
ACH-000150,-0.023097146536427915
ACH-000152,-0.2452167997605713
ACH-000153,-0.2591471107111709
ACH-000159,-0.13162215702189434
ACH-000160,-0.1585145918469906
ACH-000163,-0.16661610874779229
ACH-000167,-0.1481732737655831
ACH-000168,0.08784102992110701
ACH-000169,-0.18385875606379648
ACH-000178,-0.09211386048055713
ACH-000183,-0.0872352555163807
ACH-000188,-0.25323166954783216
ACH-000189,-0.02220796038859988
ACH-000190,-0.23029096049944664
ACH-000198,-0.10858574468649593
ACH-000203,-0.25137008744959816
ACH-000204,0.05337393437812157
ACH-000206,-0.046494081814446656
ACH-000207,-0.1214105068234073
ACH-000208,-0.08555817845386303
ACH-000210,-0.14913238439516466
