,RSPH10B2 (728194)
ACH-000004,-0.34212579234401336
ACH-000005,-0.46207252702421003
ACH-000007,-0.31554102463925704
ACH-000009,-0.25823149907044296
ACH-000011,-0.27550664849563233
ACH-000012,-0.350499252611491
ACH-000013,-0.2438430085935601
ACH-000014,-0.17353581462405354
ACH-000015,-0.21596853186237955
ACH-000017,-0.1001660560951288
ACH-000018,-0.36883352457965296
ACH-000019,-0.2330186303421431
ACH-000021,-0.2261980655441819
ACH-000022,-0.3438488088195593
ACH-000025,-0.17479129048913422
ACH-000028,-0.3043674994868615
ACH-000030,-0.2306222457374088
ACH-000035,-0.3042291340183059
ACH-000036,-0.4914520879639993
ACH-000037,-0.1665002677695691
ACH-000039,-0.2930792719470893
ACH-000040,-0.3308134273204681
ACH-000041,-0.1403849665766403
ACH-000042,-0.3407680052535261
ACH-000045,-0.4441770448983159
ACH-000047,-0.12760481161572335
ACH-000052,-0.1721447195591321
ACH-000053,-0.3449400329689169
ACH-000054,-0.23564973721294
ACH-000055,-0.25672899825239703
ACH-000060,-0.42214536268783176
ACH-000067,-0.2819434308605672
ACH-000070,-0.17668694620714748
ACH-000075,-0.401801353188608
ACH-000078,-0.3611343998485265
ACH-000082,-0.2448662706059651
ACH-000085,-0.4199275718420963
ACH-000086,-0.13097412782362006
ACH-000087,-0.29096202416855765
ACH-000092,-0.22763986551438264
ACH-000095,-0.2624114270642252
ACH-000097,-0.1827670060787813
ACH-000098,-0.2229997472732172
ACH-000099,-0.3246979574085556
ACH-000108,-0.4405896361678784
ACH-000113,-0.43686407228440616
ACH-000116,-0.14020043016155784
ACH-000118,-0.17883364827337836
ACH-000120,-0.358409502320505
ACH-000123,-0.3265672704124445
ACH-000127,-0.23128402249365984
ACH-000128,-0.4129432050816049
ACH-000132,-0.12626822273265978
ACH-000133,-0.176036527370157
ACH-000137,-0.25460358804379263
ACH-000138,-0.3045876439682361
ACH-000142,-0.20389221372184388
ACH-000143,-0.3267196044492115
ACH-000146,-0.2825261005543059
ACH-000148,-0.2911017511230472
ACH-000150,-0.04841374476600425
ACH-000152,-0.20740828970195546
ACH-000153,-0.18319317119358056
