,PPM1M (132160)
ACH-000004,-0.17658144552427313
ACH-000005,-0.06857681358011862
ACH-000007,-0.15032247003815766
ACH-000009,-0.08840356424362404
ACH-000011,-0.13670170724540506
ACH-000012,-0.030949779249108106
ACH-000013,-0.03264226936795588
ACH-000014,0.06044970148589631
ACH-000015,-0.09171019262347932
ACH-000017,-0.26634144884556565
ACH-000018,-0.015561798681582919
ACH-000019,-0.2652759249910992
ACH-000021,-0.11858258084124144
ACH-000022,-0.06775316231494757
ACH-000025,-0.29654841568024576
ACH-000028,-0.037335013460419626
ACH-000030,-0.24503642609286505
ACH-000035,-0.011721883406264035
ACH-000036,-0.1322295528158781
ACH-000037,-0.1720644957200933
ACH-000039,-0.13691891732830905
ACH-000040,-0.27528283620901745
ACH-000041,-0.044733830273581104
ACH-000042,-0.1836668736375814
ACH-000045,-0.21361937403012515
ACH-000047,-0.10368228955876513
ACH-000052,-0.09576827967380967
ACH-000053,-0.11064765032194014
ACH-000054,-0.21067351445021668
ACH-000055,-0.1769132878695853
ACH-000060,-0.21069499509689216
ACH-000067,-0.24208699336644285
ACH-000070,-0.2384035492990425
ACH-000075,0.03234859229960527
ACH-000078,0.058206712531287376
ACH-000082,-0.10470964535931863
ACH-000085,-0.1457643293843517
ACH-000086,-0.13893265536387042
ACH-000087,0.16133227127631772
ACH-000092,-0.13114736608824498
ACH-000095,-0.04868076344924967
ACH-000097,-0.0940808445703464
ACH-000098,-0.2102865001092465
ACH-000099,-0.05589275893052227
ACH-000108,-0.20710017166200556
ACH-000113,-0.11898383961592453
ACH-000116,-0.07981581780670775
ACH-000118,-0.15645556363079605
ACH-000120,-0.111221526642482
ACH-000123,-0.08726729499721632
ACH-000127,-0.11869175816246225
ACH-000128,-0.08528236310282261
ACH-000132,-0.1540622327662269
ACH-000133,-0.2601362573238677
ACH-000137,0.03537278786943999
ACH-000138,-0.06658162636364286
ACH-000142,-0.1476407078567349
ACH-000143,0.10257123444180943
ACH-000146,-0.19796528956515352
ACH-000148,-0.0690665979507681
ACH-000150,-0.27127721719048714
ACH-000152,-0.19683833978505705
ACH-000153,-0.030218178998875224
ACH-000159,-0.248736735549386
ACH-000160,-0.20463396132404252
ACH-000163,-0.22348801086740924
ACH-000167,-0.3906642307173986
ACH-000168,-0.1701655239400742
ACH-000169,-0.17439511800756574
ACH-000178,-0.059575158813688786
ACH-000183,-0.06306597544081914
ACH-000188,-0.11015900803792653
ACH-000189,0.02528285307181849
ACH-000190,-0.08296634018460554
ACH-000198,-0.008887581243692181
ACH-000203,0.02781402751170899
ACH-000204,0.011371726292753534
ACH-000206,-0.2259202278878662
ACH-000207,-0.38380453012725385
ACH-000208,-0.022434269493004116
ACH-000210,0.06874910782840604
ACH-000211,-0.2250088134798609
ACH-000215,-0.13916706152086555
ACH-000221,-0.008337842379419641
ACH-000222,-0.11060499871461653
ACH-000223,-0.10604041814945073
ACH-000226,-0.02041655248256729
ACH-000227,-0.30641041739880115
ACH-000228,-0.2506626624465945
ACH-000231,-0.2368937355271985
ACH-000232,-0.07945411062519235
ACH-000233,-0.024378718408651256
ACH-000234,-0.15227074928210554
ACH-000235,-0.18590326723009806
ACH-000237,-0.2351446074337657
ACH-000238,-0.2149109305455951
ACH-000242,0.16503966412946855
ACH-000243,-0.1354568920205401
ACH-000244,-0.3034804122237043
ACH-000246,-0.08339522013127994
ACH-000248,-0.10550277681378056
ACH-000250,-0.08819411353139629
ACH-000251,0.03304506486125418
ACH-000252,-0.2083929148348912
ACH-000253,-0.1748483022037988
ACH-000255,0.0035061722738956628
ACH-000256,-0.15173341951140876
ACH-000257,0.0838537097563589
ACH-000258,-0.13508569323341516
