,INO80C (125476)
ACH-000004,-0.02211422046909044
ACH-000005,-0.14617608145529498
ACH-000007,-0.2440857147775062
ACH-000009,-0.11851870477845107
ACH-000011,-0.0997265553188004
ACH-000012,-0.03157574539548949
ACH-000013,-0.2290011094557649
ACH-000014,-0.2964952732802119
ACH-000015,-0.1576240705888224
ACH-000017,-0.03175528525069203
ACH-000018,-0.2795208361164227
ACH-000019,-0.13505054661559213
ACH-000021,0.01857662736870955
ACH-000022,0.029754621037872356
ACH-000025,-0.3931273830608191
ACH-000028,-0.16017741259474946
ACH-000030,0.056309049898969885
ACH-000035,-0.14903450574774402
ACH-000036,-0.29670315836714284
ACH-000037,-0.3238069047860119
ACH-000039,0.0739652434924239
ACH-000040,0.051671790656595884
ACH-000041,-0.2129538327398594
ACH-000042,-0.04988431289050963
ACH-000045,-0.1636721189289
ACH-000047,0.26386838639399296
ACH-000052,-0.10706302133611093
ACH-000053,-0.11996927523449273
ACH-000054,-0.014005730374217236
ACH-000055,-0.08717820452207849
ACH-000060,-0.11789983712583656
ACH-000067,0.004938752590354693
ACH-000070,0.04195594432810497
ACH-000075,0.09361020676435404
ACH-000078,-0.050296374696278914
ACH-000082,0.0265912017440533
ACH-000085,-0.23695253520803966
ACH-000086,-0.18317051792162592
ACH-000087,-0.034549306624695894
ACH-000092,-0.2535373616150405
ACH-000095,-0.09655579004175556
ACH-000097,-0.08588793787266116
ACH-000098,-0.2925478046520973
ACH-000099,0.01769542329916791
ACH-000108,-0.03483805924913064
ACH-000113,-0.3227075761730933
ACH-000116,-0.1388391560879716
ACH-000118,0.1958159504901468
ACH-000120,0.05735097027861825
ACH-000123,-0.03509738501049462
ACH-000127,-0.013882392249041944
ACH-000128,0.032017946528989934
ACH-000132,-0.19506556733170535
ACH-000133,-0.015662486580147218
ACH-000137,-0.1116129711614036
ACH-000138,-0.12546188179659967
ACH-000142,-0.09131019558581388
ACH-000143,-0.3815806309564544
ACH-000146,-0.03319083805272075
ACH-000148,-0.1483836931290122
ACH-000150,0.3536599087804155
ACH-000152,-0.0661498642667177
ACH-000153,-0.3142353211949708
ACH-000159,-0.13241085622031454
