,FH (2271)
ACH-000004,-0.13843007440026545
ACH-000005,-0.22492684640201824
ACH-000007,-0.2162116985366208
ACH-000009,-0.30341831773372313
ACH-000011,-0.1559581386338679
ACH-000012,-0.12537971044096774
ACH-000013,-0.1877112975522936
ACH-000014,-0.5668913116701215
ACH-000015,-0.19440425711149498
ACH-000017,-0.2302509434693137
ACH-000018,-0.1229070072542561
ACH-000019,-0.22380540587843825
ACH-000021,-0.2748696848428309
ACH-000022,-0.2812530179688696
ACH-000025,-0.5039284418190026
ACH-000028,-0.3023055163595563
ACH-000030,-0.4078464455622313
ACH-000035,-0.20407734131872285
ACH-000036,-0.16808459252669078
ACH-000037,-0.4003122292725111
ACH-000039,-0.1801396406978926
ACH-000040,-0.3046937074689989
ACH-000041,-0.29191005791096697
ACH-000042,-0.2039612116618176
ACH-000045,-0.2931828518620151
ACH-000047,-0.5347513164632117
ACH-000052,-0.06749445064735325
ACH-000053,-0.3431275330087751
ACH-000054,-0.32702007802259714
ACH-000055,-0.31684847180035475
ACH-000060,-0.07534517934837395
ACH-000067,-0.17972474393411472
ACH-000070,-0.3561594260354624
ACH-000075,-0.3346741273055998
ACH-000078,-0.2495189121832909
ACH-000082,-0.18389555517550246
ACH-000085,-0.3369055168091061
ACH-000086,-0.2546638556138033
ACH-000087,-0.4349378001625659
ACH-000092,-0.1796234641450586
ACH-000095,-0.09383510957750507
ACH-000097,-0.11834561285040905
ACH-000098,-0.28475671586726664
ACH-000099,-0.3687984568285285
ACH-000108,-0.1673644349115172
ACH-000113,-0.3128160203639694
ACH-000116,-0.14814600158225186
ACH-000118,-0.37129206465788395
ACH-000120,-0.20876779745413684
ACH-000123,-0.17424366952105844
ACH-000127,-0.3852523893724813
ACH-000128,-0.07627925442065937
ACH-000132,-0.40057222147328464
ACH-000133,-0.221575236700696
ACH-000137,-0.24061795895983776
ACH-000138,-0.5066995647347546
ACH-000142,-0.13675786934142298
ACH-000143,-0.3325859179517016
ACH-000146,-0.2097466438048528
ACH-000148,-0.3242060518862858
ACH-000150,-0.056938259363411965
ACH-000152,-0.32342359656866065
ACH-000153,-0.2193608555123888
ACH-000159,-0.29683878120855456
ACH-000160,-0.1566851196633453
ACH-000163,-0.1965829108311552
ACH-000167,-0.4526483089932067
ACH-000168,-0.14982126479026658
ACH-000169,-0.2176103242262787
ACH-000178,-0.3663009216130217
ACH-000183,-0.3032220226680742
ACH-000188,-0.1414799652598548
ACH-000189,-0.3545434873254755
ACH-000190,-0.4002002817717445
ACH-000198,-0.5124888027666438
ACH-000203,0.16864672652918253
ACH-000204,-0.6839306225383394
ACH-000206,-0.5295389078725642
ACH-000207,-0.5000085749124485
ACH-000208,-0.66973934825848
ACH-000210,-0.4171621110652665
ACH-000211,-0.23643809755464626
ACH-000215,-0.2828698904732204
ACH-000221,-0.3095526201557856
ACH-000222,-0.4699173370810345
ACH-000223,-0.3414991713008653
ACH-000226,-0.4454848025320706
ACH-000227,-0.3567339012343862
ACH-000228,-0.3769515089964267
ACH-000231,-0.1478053521647235
ACH-000232,-0.15206934924071944
ACH-000233,-0.384191315959214
ACH-000234,-0.35380317036768405
ACH-000235,-0.4958217397932909
ACH-000237,-0.3366076971508629
ACH-000238,-0.25278381407924805
ACH-000242,-0.0349792590939339
ACH-000243,-0.23881571251730924
ACH-000244,-0.6609422643467115
ACH-000246,-0.3424028960966348
ACH-000248,-0.443783533135096
ACH-000250,-0.3601183790362252
ACH-000251,-0.4872832086350886
ACH-000252,-0.18013913199960735
ACH-000253,-0.35584988465572137
ACH-000255,-0.1144358957327149
ACH-000256,-0.10169664498066153
ACH-000257,-0.2599683153695265
ACH-000258,-0.4554909288802732
ACH-000259,-0.13641987061719524
ACH-000260,-0.08833123613014447
ACH-000261,-0.22524894243409666
ACH-000262,-0.17069721196533505
ACH-000263,-0.2384180658233953
ACH-000264,-0.4072628852762519
ACH-000265,-0.2519194417104961
ACH-000266,-0.2725554251191035
ACH-000272,-0.3737450071117914
ACH-000274,-0.27435734789874383
ACH-000277,-0.3219773959013222
ACH-000278,-0.3654397188566352
ACH-000279,-0.5179983459425256
ACH-000280,-0.20369762902755856
ACH-000281,-0.3263378667969236
ACH-000288,-0.27238107590922217
ACH-000291,-0.08752052823682561
ACH-000293,-0.1629363109591744
ACH-000294,-0.1847233468803397
ACH-000295,-0.20716189941054472
ACH-000296,-0.4931594132213734
ACH-000302,-0.13605651657474988
ACH-000304,-0.5627065594356477
ACH-000307,-0.3142283914710329
ACH-000308,-0.361318191986766
ACH-000310,-0.2272528242132403
ACH-000311,-0.3778450921638465
ACH-000312,-0.2332856235006415
ACH-000315,-0.34096195235298843
ACH-000316,-0.22511916273474228
ACH-000317,-0.4489203825110861
ACH-000318,-0.3146935940734685
ACH-000319,-0.09012550790147186
ACH-000320,-0.16866205180523006
ACH-000322,-0.5092681669767897
ACH-000323,-0.3507375369572607
ACH-000324,-0.03195856388482588
ACH-000329,-0.3460433152520307
ACH-000330,-0.2851915304584596
ACH-000331,-0.14608810227641486
ACH-000332,-0.19787626378851494
ACH-000334,-0.2914835960511019
ACH-000335,0.02967592144806361
ACH-000336,-0.2392415245531167
ACH-000337,-0.6318836833145086
ACH-000338,-0.6410398406667656
ACH-000339,-0.3133109944040669
ACH-000341,-0.33580162504481365
ACH-000348,-0.2715651564081754
ACH-000350,-0.026099821025243854
ACH-000352,-0.21032496929038125
ACH-000356,-0.27244020823966697
ACH-000361,-0.058321945019075665
ACH-000362,-0.2880620854568813
ACH-000363,-0.2483242494697462
ACH-000364,-0.21242472637691295
ACH-000365,-0.5204042440305042
ACH-000366,-0.4101564215562321
ACH-000368,-0.25779094017665605
ACH-000374,-0.18625142025161445
ACH-000375,0.09705908788309478
ACH-000376,-0.2884825756672784
ACH-000381,-0.28548261421256604
ACH-000383,-0.3610431919310648
ACH-000387,-0.3680813091605964
ACH-000389,-0.2708526997204364
ACH-000390,-0.2439072715430761
ACH-000393,-0.25639553080240984
ACH-000395,-0.5868361568265376
ACH-000396,-0.35879117217369016
ACH-000397,-0.1935788172878581
ACH-000401,-0.1583806348481845
ACH-000402,-0.03318656604830369
ACH-000403,-0.2871285059332382
ACH-000404,-0.33017717083915515
ACH-000406,-0.3006723401800684
ACH-000407,-0.20668096383437645
ACH-000408,-0.2585909627828662
ACH-000410,-0.2526184915873387
ACH-000411,-0.3384481606435876
ACH-000414,-0.21778918638525635
ACH-000415,-0.27086993035525986
ACH-000416,-0.2584464197329617
ACH-000420,-0.27124059026916225
ACH-000421,-0.16447034839045974
ACH-000424,-0.201506932957507
ACH-000425,-0.28375226689748634
ACH-000426,-0.2862090965067043
ACH-000427,-0.32436786454999555
ACH-000433,-0.12831059986249838
ACH-000435,-0.0812501651948563
ACH-000436,-0.20762070075822847
ACH-000444,-0.4624490776863269
ACH-000445,-0.0952582294150582
ACH-000448,-0.12028848774761555
ACH-000450,-0.4875648796297972
ACH-000452,-0.2993836999982587
ACH-000454,-0.4988305110007074
ACH-000458,-0.1541295635297838
ACH-000459,-0.4225052848676863
ACH-000460,-0.3772332746224008
ACH-000461,-0.3564798919528933
ACH-000463,-0.16131322097223622
ACH-000464,-0.34974300730967683
ACH-000466,-0.2689982038554545
ACH-000467,-0.3146533550465925
ACH-000468,-0.3059327916924218
ACH-000469,-0.13991661785127418
ACH-000470,-0.2107127438922838
ACH-000471,-0.16662196747842195
ACH-000472,-0.2236464579526645
ACH-000473,-0.11189116004080464
ACH-000475,-0.22193066084087745
ACH-000476,0.20796084775361606
ACH-000477,-0.44123991144509866
ACH-000479,-0.06601321328971782
ACH-000480,-0.16715119480202034
ACH-000481,-0.09036280183965983
ACH-000483,-0.4794950210401273
ACH-000484,-0.4508215614236077
ACH-000485,-0.305056343802504
ACH-000486,-0.15394295947290965
ACH-000487,-0.3751818244581001
ACH-000488,-0.20969105296479254
ACH-000490,-0.2476351444920861
ACH-000491,-0.212234119923659
ACH-000495,-0.6010611678273118
ACH-000496,-0.1574249212352168
ACH-000499,-0.3830807738659524
ACH-000500,-0.5823517285863443
ACH-000502,-0.38289164984549023
ACH-000503,-0.2967575517348857
ACH-000505,-0.2262132291111877
ACH-000507,-0.543010382116981
ACH-000510,-0.3689241883263809
ACH-000511,-0.18558901396872807
ACH-000512,-0.2801493351831837
ACH-000516,-0.32653965283311426
ACH-000517,-0.355173878764795
ACH-000518,-0.19357863511626325
ACH-000520,-0.10327183441273163
ACH-000521,-0.3791010676154383
ACH-000522,-0.43753422302815576
ACH-000524,-0.2061392777480125
ACH-000527,-0.19177640920648995
ACH-000528,-0.17804727954924826
ACH-000537,-0.3946935677007096
ACH-000541,-0.059201167202301674
ACH-000542,-0.16929911969733805
ACH-000544,-0.2898844189586171
ACH-000545,-0.2754590977551767
ACH-000547,-0.08187127011521401
ACH-000548,-0.3467034657893342
ACH-000549,-0.3741907487202663
ACH-000550,-0.4570061202376874
ACH-000552,-0.3289128409367802
ACH-000556,-0.15868211632720192
ACH-000557,-0.2811261334348218
ACH-000569,0.0929545912821636
ACH-000570,0.05512105859713791
ACH-000571,-0.4184189526876572
ACH-000573,-0.28244782707517635
ACH-000576,-0.2914762383148054
ACH-000579,-0.3980261652435148
ACH-000580,-0.4380435695471732
ACH-000584,-0.367015424411123
ACH-000585,-0.1953462850371729
ACH-000588,-0.3397931594829313
ACH-000589,0.006006298490388675
ACH-000591,-0.1795409435761583
ACH-000593,-0.3643294128801001
ACH-000600,-0.2315696471466072
ACH-000601,-0.4831130125113256
ACH-000605,-0.30330709146474066
ACH-000606,-0.2201092158742388
ACH-000608,-0.2605390696655628
ACH-000614,-0.3849019215994119
ACH-000616,-0.22422284273200246
ACH-000618,-0.33275278946929404
ACH-000619,-0.20636153703483487
ACH-000620,-0.3796212497928024
ACH-000621,-0.25569102763110885
ACH-000622,-0.4318502236582033
ACH-000623,-0.185919143494576
ACH-000624,-0.3137295232002401
ACH-000627,-0.2872880340327509
ACH-000630,-0.11564190182311887
ACH-000631,-0.4179281651840372
ACH-000632,-0.4041622234620514
ACH-000633,-0.15549585055614387
ACH-000637,-0.07985629015081205
ACH-000638,-0.4078963286076484
ACH-000646,-0.4306302787544891
ACH-000647,-0.360333731892166
ACH-000648,-0.3470033793265819
ACH-000649,-0.18443592528742603
ACH-000651,-0.7270329952695247
ACH-000652,-0.4125590097600271
ACH-000653,-0.3215725113838286
ACH-000657,-0.15438933950145914
ACH-000658,-0.2462467622611772
ACH-000661,-0.18595830314967696
ACH-000662,-0.30567776420513
ACH-000663,-0.2167740096723204
ACH-000665,-0.08541983032219559
ACH-000671,-0.3391840099676219
ACH-000672,-0.2637775121365261
ACH-000673,-0.18631607156160426
ACH-000676,-0.4947602286200421
ACH-000677,-0.2826550836700356
ACH-000681,-0.4033832784840519
ACH-000683,-0.2918904664601051
ACH-000684,-0.3920171875839539
ACH-000688,-0.22367858009628366
ACH-000693,-0.2478702322599993
ACH-000694,-0.2585100492817512
ACH-000695,-0.28407974545684483
ACH-000696,-0.1681231496750285
ACH-000697,-0.3273636619063195
ACH-000699,-0.25281676622001786
ACH-000701,-0.13610366728349665
ACH-000706,-0.3648765782644127
ACH-000711,-0.3309259040351707
ACH-000713,-0.5136414275753571
ACH-000714,-0.3238601405513709
ACH-000718,-0.16382579361841487
ACH-000720,-0.12519063721254975
ACH-000721,-0.4667012286614988
ACH-000724,-0.2609723971674401
ACH-000725,-0.18364068274728354
ACH-000732,-0.2694777211802936
ACH-000734,-0.2509663181246623
ACH-000735,-0.2630677387545152
ACH-000736,-0.5463305537488795
ACH-000738,-0.11772023019850922
ACH-000746,-0.4250468826836791
ACH-000747,-0.5255412945172809
ACH-000748,-0.14053913031055432
ACH-000753,-0.33970062485601793
ACH-000756,-0.14300348837393034
ACH-000757,-0.23183812991429364
ACH-000758,-0.22932606106435324
ACH-000760,-0.3138390709780889
ACH-000762,-0.22851279953718184
ACH-000763,-0.28019735988883354
ACH-000764,-0.2746969093129361
ACH-000765,-0.5530669131645091
ACH-000766,-0.056888718838153024
ACH-000767,-0.2745540822737744
ACH-000768,-0.4755030604668494
ACH-000769,-0.3986470081268457
ACH-000770,-0.4238912716046399
ACH-000771,-0.2889470759532742
ACH-000773,-0.27093581863244776
ACH-000776,-0.14328591920118264
ACH-000777,-0.3979829945937017
ACH-000778,-0.32477093603992996
ACH-000781,-0.22096428658733255
ACH-000782,-0.3883844478422799
ACH-000783,-0.18491566240401647
ACH-000784,-0.15841998739066954
ACH-000785,-0.1942056587986048
ACH-000787,-0.281904281129227
ACH-000788,-0.3177553609371925
ACH-000791,-0.14126491818176493
ACH-000792,-0.3033901068632538
ACH-000794,-0.37471071234189296
ACH-000796,-0.30387578468584164
ACH-000798,-0.012623211585686729
ACH-000799,-0.5093501352535355
ACH-000800,-0.3035915682084997
ACH-000802,-0.11921958179235978
ACH-000804,-0.23798650745128955
ACH-000805,-0.3502753731270807
ACH-000809,-0.3214404008910939
ACH-000810,-0.3633344887385245
ACH-000811,-0.2701181592131766
ACH-000817,-0.2938148479494477
ACH-000819,-0.17625801147345513
ACH-000820,-0.16532703060366044
ACH-000821,-0.3804001933998521
ACH-000822,-0.3676876298695359
ACH-000823,-0.23434920283521324
ACH-000824,-0.2073743995571544
ACH-000827,-0.264461479398334
ACH-000829,-0.3838348569253922
ACH-000831,-0.38369207148800505
ACH-000832,-0.4108082190166356
ACH-000833,-0.3950889148529906
ACH-000834,-0.13245056888153156
ACH-000835,-0.2989578876221694
ACH-000836,-0.3900066479298172
