,PIGY (84992)
ACH-000004,-0.019895566040914837
ACH-000005,-0.17643499608792504
ACH-000007,0.06295819367725733
ACH-000009,-0.06972554227150878
ACH-000011,-0.2719693459881281
ACH-000012,-0.10202851325624697
ACH-000013,-0.13337398311310772
ACH-000014,-0.06713660471172488
ACH-000015,-0.20903334367425205
ACH-000017,-0.15001398517952064
ACH-000018,0.08039666699888923
ACH-000019,-0.09079203798194688
ACH-000021,-0.11524121003681305
ACH-000022,-0.09708579303219844
ACH-000025,-0.2559253909889424
ACH-000028,-0.02883625167975495
ACH-000030,-0.13815120179713886
ACH-000035,-0.2481368433269884
ACH-000036,-0.06557853396271418
ACH-000037,-0.1931228904527036
ACH-000039,-0.29632510321767697
ACH-000040,-0.16332677189824224
ACH-000041,-0.13441096207834194
ACH-000042,-0.10353650061282453
ACH-000045,0.04619890530049312
ACH-000047,-0.3598441433080988
ACH-000052,-0.19419935785472714
ACH-000053,0.049484790734441585
ACH-000054,-0.003133483099682097
ACH-000055,-0.3163932129164145
ACH-000060,-0.2017706429596856
ACH-000067,-0.10394305555464
ACH-000070,-0.2825972015170561
ACH-000075,-0.46640858084425
ACH-000078,-0.15076620558893006
ACH-000082,-0.3119268629512736
ACH-000085,-0.13972844238223878
ACH-000086,-0.054704433959710384
ACH-000087,0.018807012017619758
ACH-000092,-0.16760913082986414
ACH-000095,-0.18536885952734056
ACH-000097,-0.14714604269562254
ACH-000098,-0.2693057632646852
ACH-000099,-0.2426830933787413
ACH-000108,-0.053098545741997884
ACH-000113,-0.08316625162243403
ACH-000116,-0.11295442905687544
ACH-000118,-0.12805323043734432
ACH-000120,0.011831298607479284
ACH-000123,-0.29084111524581524
ACH-000127,-0.19088988985407065
ACH-000128,-0.2106133109623731
ACH-000132,-0.1503044806956967
ACH-000133,-0.1368487734544501
ACH-000137,-0.17866135934248098
ACH-000138,-0.003869343751048474
ACH-000142,-0.2356040329199797
ACH-000143,-0.2565651932923316
ACH-000146,-0.16594575279711885
ACH-000148,-0.2596560163766509
ACH-000150,-0.0985182800472855
ACH-000152,-0.2184065020119088
ACH-000153,-0.2985632486949838
ACH-000159,-0.186952315849962
ACH-000160,-0.2096029486448734
ACH-000163,-0.0021003213860993
ACH-000167,-0.2482088030781979
ACH-000168,0.04241332860951751
ACH-000169,-0.1998481825107921
ACH-000178,-0.15749702431244236
ACH-000183,-0.08494105072849578
ACH-000188,-0.15093233348428364
ACH-000189,-0.09065803858528566
ACH-000190,-0.05464808471284628
ACH-000198,-0.004399891534706356
ACH-000203,-0.3054687215581341
ACH-000204,0.16854979575116033
ACH-000206,0.06979968603982628
ACH-000207,-0.060295321440440815
