,DHRS7B (25979)
ACH-000004,-0.10728204829000136
ACH-000005,-0.0922528652777445
ACH-000007,-0.12471437107348468
ACH-000009,-0.32567688579780263
ACH-000011,-0.11848796131127465
ACH-000012,-0.19559968161585206
ACH-000013,-0.1545187677767367
ACH-000014,-0.08021655431128501
ACH-000015,-0.30432167007422445
ACH-000017,-0.006976103795404521
ACH-000018,-0.27969053593530546
ACH-000019,-0.2404416201927305
ACH-000021,-0.1730135616125468
ACH-000022,-0.1211157933176955
ACH-000025,-0.15844083891276015
ACH-000028,-0.14620267582111296
ACH-000030,-0.1873375632193196
ACH-000035,-0.2946802974655993
ACH-000036,-0.15131842780112206
ACH-000037,-0.042209613994233584
ACH-000039,-0.014737040219567482
ACH-000040,-0.32602405681745633
ACH-000041,-0.30428059686400283
ACH-000042,-0.2071165780042258
ACH-000045,-0.08099595566747897
ACH-000047,-0.6552696303771306
ACH-000052,-0.14439103139541815
ACH-000053,-0.15704155413748133
ACH-000054,-0.14184605687984114
ACH-000055,-0.045056688440233854
ACH-000060,-0.10374421926258832
ACH-000067,-0.21676736377258293
ACH-000070,-0.08989110467365169
ACH-000075,-0.16679169605102045
ACH-000078,-0.16323885592265552
ACH-000082,-0.21578416670745212
ACH-000085,-0.7244028627821116
ACH-000086,-0.05609769920500796
ACH-000087,-0.14730198631961094
ACH-000092,-0.09066267963571596
ACH-000095,-0.15359788110210396
ACH-000097,-0.15821346333300848
ACH-000098,-0.15311829208035796
ACH-000099,-0.17298586685097106
ACH-000108,-0.25125483229864515
ACH-000113,-0.08782952235964818
ACH-000116,-0.19681655497591136
ACH-000118,-0.3083721787298309
ACH-000120,-0.016655247317105423
ACH-000123,-0.16452270167810384
ACH-000127,-0.2300638016725219
ACH-000128,-0.15153397162258012
ACH-000132,-0.17483726141994527
ACH-000133,-0.31483880925230523
ACH-000137,-0.17161067809055272
ACH-000138,-0.16810812809465273
ACH-000142,-0.15469521155999585
ACH-000143,-0.1515315628268497
ACH-000146,-0.2303764338788221
ACH-000148,-0.16743689829154293
ACH-000150,-0.3925663126336569
ACH-000152,-0.20801059482716094
ACH-000153,-0.326291453948657
ACH-000159,-0.12677937120574706
ACH-000160,-0.11346876307962052
ACH-000163,-0.2478782743422057
ACH-000167,-0.20689508028616727
ACH-000168,-0.07040925935162523
ACH-000169,-0.1087168149397546
ACH-000178,-0.24075938642465106
ACH-000183,-0.3201730534977549
ACH-000188,-0.12986549041206802
ACH-000189,-0.17323610330169484
ACH-000190,-0.14705121731929446
ACH-000198,-0.020020965792780798
ACH-000203,-0.44192959509821994
ACH-000204,0.22190363570986815
ACH-000206,-0.2717260325042298
ACH-000207,-0.2931683144881923
ACH-000208,-0.15426941467931238
ACH-000210,0.07071221428996413
ACH-000211,-0.09338932237308784
ACH-000215,-0.17713259956427752
ACH-000221,-0.3171992561158113
ACH-000222,-0.01695468432504461
ACH-000223,-0.09150672209611127
ACH-000226,-0.2632931573621925
ACH-000227,-0.07931255180867415
ACH-000228,-0.04073307122274671
ACH-000231,-0.17476333082468293
ACH-000232,-0.1504884694707857
ACH-000233,-0.14354428801905686
ACH-000234,-0.1178613505347074
ACH-000235,-0.21171015283005096
ACH-000237,-0.1722882190405816
ACH-000238,-0.20615718612719172
ACH-000242,0.1672980222707864
ACH-000243,-0.17237057612970685
ACH-000244,-0.19563370370796015
ACH-000246,-0.050117038895746716
ACH-000248,-0.14008712110153054
ACH-000250,-0.2134247873405938
ACH-000251,-0.15781808463365687
ACH-000252,-0.2125309964550007
ACH-000253,-0.10760942118386498
ACH-000255,-0.20038845052374127
ACH-000256,-0.27674444536858545
ACH-000257,-0.17737535733189874
ACH-000258,-0.16940673896865166
ACH-000259,-0.2235753612282664
ACH-000260,-0.12929724041416374
ACH-000261,-0.08091921745982096
ACH-000262,-0.4328352932798115
ACH-000263,-0.007693137023589292
ACH-000264,-0.17580803750720606
ACH-000265,-0.563867518069209
ACH-000266,-0.14239773828666408
ACH-000272,-0.2163506929835613
ACH-000274,-0.19459183475035635
ACH-000277,-0.12262524075575418
ACH-000278,-0.2520352960940164
ACH-000279,-0.3116240422172943
ACH-000280,-0.17648198769162993
ACH-000281,-0.11216653045824393
ACH-000288,-0.30454904939920585
ACH-000291,-0.22282628175296276
ACH-000293,-0.06738373233330484
ACH-000294,-0.1028970646600314
ACH-000295,-0.15363545841348486
ACH-000296,-0.38084571374409376
ACH-000302,-0.12631755210149598
ACH-000304,-0.2212531641786448
ACH-000307,-0.09243629046710727
ACH-000308,-0.06545641892109406
ACH-000310,-0.17427688820948067
ACH-000311,-0.16428967137397574
ACH-000312,-0.08250298438209325
ACH-000315,-0.11364723418828734
ACH-000316,-0.1440614000748925
ACH-000317,0.13593663879387569
ACH-000318,-0.18918350624444571
ACH-000319,-0.13139322672706738
ACH-000320,-0.1815045446259772
ACH-000322,-0.28506108616874626
ACH-000323,-0.2275817424776524
ACH-000324,-0.21615159775932435
ACH-000329,-0.18358746345382973
ACH-000330,-0.2790468331128294
ACH-000331,-0.26519706007698257
