,RAB6A (5870)
ACH-000004,-0.4348256390823594
ACH-000005,-0.4432117460781905
ACH-000007,-0.8306498792474657
ACH-000009,-0.6182567935368767
ACH-000011,-0.6015388455878025
ACH-000012,-1.0632614801094542
ACH-000013,-0.22078376331793287
ACH-000014,-0.13389858674685692
ACH-000015,-0.1231411696328934
ACH-000017,-0.2657321094017952
ACH-000018,-0.7420240068474725
ACH-000019,-0.4972202629871315
ACH-000021,-0.9314643151963738
ACH-000022,-0.9088286264773884
ACH-000025,-0.7291620908782498
ACH-000028,-0.2993258700040368
ACH-000030,-0.9763949648041039
ACH-000035,-0.3005256556323744
ACH-000036,-0.5780868284689927
ACH-000037,-0.4970282166223574
ACH-000039,-0.6757822923141578
ACH-000040,-0.9673203293362556
ACH-000041,-0.2588819404336293
ACH-000042,-0.7535077871579335
ACH-000045,-0.6258760176928442
ACH-000047,-0.26892959562692903
ACH-000052,-0.5675215787921941
ACH-000053,-0.5573717919308662
ACH-000054,-0.3347356514762742
ACH-000055,-0.2802549396597645
ACH-000060,-0.8933554165552869
ACH-000067,-0.5260835628122085
ACH-000070,-0.5530285119598518
ACH-000075,-0.6080153024398914
ACH-000078,-0.2668608438701533
ACH-000082,-0.2977023548654881
ACH-000085,-0.9618041340409882
ACH-000086,-0.5268796336791925
ACH-000087,-0.3737958571903525
ACH-000092,-0.6096644439740778
ACH-000095,-0.33568143763706537
ACH-000097,-0.3766482628934254
ACH-000098,-0.3069463997331709
ACH-000099,-0.28695416233744786
ACH-000108,-0.8628999011472593
ACH-000113,-0.7322891292070872
ACH-000116,-0.44282531884657794
ACH-000118,-0.8590484341001164
ACH-000120,-0.577796865343791
ACH-000123,-0.10380386907594552
ACH-000127,-0.6958517346626406
ACH-000128,-0.2260481244683764
ACH-000132,-0.2482981928774593
ACH-000133,-0.6324958342525788
ACH-000137,-0.373788646883118
ACH-000138,-0.9940035384208512
ACH-000142,-0.9375351216974058
ACH-000143,-0.7451120451546278
ACH-000146,-0.35512504580761506
ACH-000148,-0.12176056174573605
ACH-000150,-0.19574054698937346
ACH-000152,-0.17149481995225072
ACH-000153,-0.5991790856683387
ACH-000159,-0.34774746714849786
ACH-000160,-0.6530180418578647
ACH-000163,-0.3571859871520965
ACH-000167,-1.2590437048253014
ACH-000168,-1.0692774324571377
ACH-000169,-0.5945324578007363
ACH-000178,-0.6801211942043814
ACH-000183,-0.9972019203632028
ACH-000188,-0.7749301740738429
ACH-000189,-0.6401761706556481
ACH-000190,-0.7684705620897717
ACH-000198,-0.4096953481569908
ACH-000203,-0.4138688186057173
ACH-000204,-0.8972121973418697
ACH-000206,-0.7665793702937075
ACH-000207,-1.0665989406079075
ACH-000208,-0.16164006375161935
ACH-000210,-0.5201212025386958
ACH-000211,-0.4150459047442626
ACH-000215,-0.7128411602354342
ACH-000221,-0.17822932239581207
ACH-000222,-0.7065622027002099
ACH-000223,-0.7349558680153233
ACH-000226,-0.8094674756079938
ACH-000227,-0.3082681151175066
ACH-000228,-0.5799149758855102
ACH-000231,-0.3123477056759552
ACH-000232,-0.2557319567003415
ACH-000233,-0.3826121471242179
ACH-000234,-0.7209274349135614
ACH-000235,-1.022421093701903
ACH-000237,-0.5074427764434974
ACH-000238,-0.7669934692354021
ACH-000242,-0.9971972183759036
ACH-000243,-0.8145162855504281
ACH-000244,-0.3922085423690145
ACH-000246,-0.33781283303765625
ACH-000248,-0.355828890211466
ACH-000250,-0.9398212486754052
ACH-000251,-0.9914882181480246
ACH-000252,-0.4325403706751229
ACH-000253,-1.1343342673620762
ACH-000255,-0.7807112723723585
ACH-000256,-0.2870134346014537
ACH-000257,-0.20636115047363687
ACH-000258,-0.4002671595191316
ACH-000259,-0.3245905341633231
ACH-000260,-0.5241522352958085
ACH-000261,-0.4296310442529833
ACH-000262,-0.6665838541008345
ACH-000263,-0.2552130998821724
ACH-000264,-0.6913766125552679
ACH-000265,-0.21175711204101647
ACH-000266,-1.1686062286757688
ACH-000272,-0.6047569154040899
ACH-000274,-0.14477669879752347
ACH-000277,-0.7988668394076298
ACH-000278,-0.5486317860951853
ACH-000279,-0.33739504089454025
ACH-000280,-0.5227330593859277
ACH-000281,-0.9086125167289868
ACH-000288,-0.187973558536651
ACH-000291,-0.588493938314436
ACH-000293,-0.5191500125937377
ACH-000294,-0.4754818830712996
ACH-000295,-0.3181063500758288
ACH-000296,-0.7477232915602228
ACH-000302,-0.3129404633001351
ACH-000304,-0.4261768483058454
ACH-000307,-0.9024931732386116
ACH-000308,-0.5164668318587002
ACH-000310,-0.324446621179599
ACH-000311,-0.7708239102220541
ACH-000312,-0.5967474049007779
ACH-000315,-0.8321435856024915
ACH-000316,-0.7130291027789925
ACH-000317,-0.5547226572425208
ACH-000318,-0.93855757277205
ACH-000319,-0.4248106688924413
ACH-000320,-0.8256003310841837
ACH-000322,-0.3126039037973933
ACH-000323,-0.4752394371588504
ACH-000324,-0.09249907767992513
ACH-000329,-0.2746680732924481
ACH-000330,-0.5708387155488501
ACH-000331,-0.4656942694495223
ACH-000332,-0.8079504202757316
ACH-000334,-0.4702368952738006
ACH-000335,-0.7708098803316797
ACH-000336,-0.7990255664816751
ACH-000337,-0.847743125172605
ACH-000338,-0.36722060952387664
ACH-000339,-0.901843993462508
ACH-000341,-0.2658523125344973
ACH-000348,-0.4923269598362671
ACH-000350,-0.016163979251443576
ACH-000352,-0.2766630574544337
ACH-000356,-0.8548934064515721
ACH-000361,-0.18589213702778504
ACH-000362,-0.5433496336491176
ACH-000363,-0.6578205855994781
ACH-000364,-0.37795243243049503
ACH-000365,-0.8433104868576665
ACH-000366,-0.4636213121348853
ACH-000368,-0.6659467419963729
ACH-000374,-0.8472214696915223
ACH-000375,-0.2477008314567994
ACH-000376,-0.8099242964156882
ACH-000381,-0.8848879505648611
ACH-000383,-1.0222793913764556
ACH-000387,-0.20501230994846026
ACH-000389,-0.3217627713639108
ACH-000390,-0.8593987700999088
ACH-000393,-0.703847497952902
ACH-000395,-0.8009890002495872
ACH-000396,-0.4618541449289034
ACH-000397,-1.0260497018368322
ACH-000401,-0.2487494960084832
ACH-000402,-0.5618231891319724
ACH-000403,-1.216009962620856
ACH-000404,-0.05288482878458864
ACH-000406,-0.7269723045060782
ACH-000407,-0.8217744781918247
ACH-000408,-0.9408087709343536
ACH-000410,-0.4250101070659464
ACH-000411,-0.8184923774788059
ACH-000414,-0.2026122461652196
ACH-000415,-1.20788362299574
ACH-000416,-0.17555932326691048
ACH-000420,-0.5220546411294074
ACH-000421,-0.5412114102563026
ACH-000424,-0.518558749157037
ACH-000425,-0.2769379948767673
ACH-000426,-1.1187714287988093
ACH-000427,-0.9367417701475932
ACH-000433,-0.6012938640371693
ACH-000435,-0.4636428157609092
ACH-000436,-0.7741885998423869
ACH-000444,-0.5182142695561183
ACH-000445,-0.8912533981899647
ACH-000448,-0.4840855803967468
ACH-000450,-0.20271651622589226
ACH-000452,-0.12682556125915734
ACH-000454,-0.9219072675088568
ACH-000458,-0.9575046101516168
ACH-000459,0.013187185672221305
ACH-000460,-0.18802826700080028
ACH-000461,-0.3479105256862042
ACH-000463,-0.5048149418291444
ACH-000464,-0.6827510742180772
ACH-000466,-0.9826069245101317
ACH-000467,-1.0332577922489012
ACH-000468,-0.8315804757562973
ACH-000469,-0.8951107046425881
ACH-000470,-0.3387508735738414
ACH-000471,-0.5246845297867582
ACH-000472,-0.7715111900603988
ACH-000473,-0.07647423206916351
ACH-000475,-0.9869363278335044
ACH-000476,-0.8717530788947552
ACH-000477,-0.825106450178147
ACH-000479,-0.32649070865659274
ACH-000480,-0.4241788098408567
ACH-000481,-0.4742640720649791
ACH-000483,-0.5761994000604708
ACH-000484,-0.2615166716809599
ACH-000485,-0.7850669916205357
ACH-000486,-0.4701944788679047
ACH-000487,-0.2673915155192153
ACH-000488,-0.9158585499130952
ACH-000490,-0.5712713340569444
ACH-000491,-0.902989323431048
ACH-000495,-0.316805155845974
ACH-000496,-0.4645494177672178
ACH-000499,-0.3454586156662103
ACH-000500,-0.5650388826740289
ACH-000502,-0.8529962050668034
ACH-000503,-0.6620837281996671
ACH-000505,-0.4004019403891934
ACH-000507,-0.7705829284187542
ACH-000510,-0.2878323900131409
ACH-000511,-0.9142548850904916
ACH-000512,-0.3649234276587309
ACH-000516,-0.3315921488960908
ACH-000517,-0.3819284416241752
ACH-000518,-0.6715800938435476
ACH-000520,-0.9126593796647658
ACH-000521,-0.19830359696858768
ACH-000522,-0.3533560848589721
ACH-000524,-0.27498534334176034
ACH-000527,-0.711156474212715
ACH-000528,-1.1261065869378943
ACH-000537,-1.4273497104444353
ACH-000541,-0.9313827496887924
ACH-000542,-0.42165600516151663
ACH-000544,-0.4499868885493416
ACH-000545,-0.7912711460129938
ACH-000547,-1.0281999564912314
ACH-000548,-1.2494536539461387
ACH-000549,-0.8215346011947766
ACH-000550,-0.24996179426844356
ACH-000552,-1.0855897647670332
ACH-000556,-0.3708362055402217
ACH-000557,-1.0729145666276851
ACH-000569,-0.17766172864740296
ACH-000570,-0.712750228097185
ACH-000571,-0.2821722937433706
ACH-000573,-0.35918923197409525
ACH-000576,-0.7302103797610036
ACH-000579,-0.35612753828631283
ACH-000580,-0.5749352926735314
ACH-000584,-0.2610041830224323
ACH-000585,-0.962936944465366
ACH-000588,-0.8770969331273324
ACH-000589,-0.961263578638048
ACH-000591,-0.4447291309280631
ACH-000593,-0.9518318526606966
ACH-000600,-0.30686358484807835
ACH-000601,-0.18693455220736704
ACH-000605,-0.3233409579309911
ACH-000606,-0.6742108915321391
ACH-000608,-1.0517750574830764
ACH-000614,-0.6012887875029878
ACH-000616,-0.592646135879191
ACH-000618,-1.079765760975322
ACH-000619,-1.0224473356189
ACH-000620,-0.14134416749786746
ACH-000621,-0.2513242040566091
ACH-000622,-0.7164452614681215
ACH-000623,-0.3137147573675637
ACH-000624,-0.43010282677224027
ACH-000627,-0.719501125266571
ACH-000630,-0.5371129067821933
ACH-000631,-0.3301410623797542
ACH-000632,-0.3415813431131149
ACH-000633,-0.5345421355071506
ACH-000637,-1.0292590643765458
ACH-000638,-0.6267141419322969
ACH-000646,-1.0149578870531073
ACH-000647,-0.4959207673080824
ACH-000648,-0.7044579656310918
ACH-000649,-0.7339840943505856
ACH-000651,-0.8471315365234406
ACH-000652,-0.5216527208022151
ACH-000653,-0.8441805814129897
ACH-000657,-0.1826093875127923
ACH-000658,-0.9990144538857272
ACH-000661,-0.4871145433861589
ACH-000662,-0.6761496215964151
ACH-000663,-0.5551964790258024
ACH-000665,-0.7718073406791737
ACH-000671,-0.8059908833420798
ACH-000672,-0.6708417443888852
ACH-000673,-1.0170517132671912
ACH-000676,-0.1785586800501017
ACH-000677,-0.20308668801392826
ACH-000681,-0.31946653882623754
ACH-000683,-0.1076863916919248
ACH-000684,-0.3881508050329411
ACH-000688,-0.10434359560240704
ACH-000693,-0.2409262799876408
ACH-000694,-0.9759883371534324
ACH-000695,-0.2758520421043483
ACH-000696,-0.1839967395950224
ACH-000697,-0.6361848562804873
ACH-000699,-0.5758707899949301
ACH-000701,-0.5653301264389463
ACH-000706,-0.39215616035644063
ACH-000711,-0.932453027742326
ACH-000713,-0.3264012977708107
ACH-000714,-0.7418304956711714
ACH-000718,-1.0239093639320431
ACH-000720,-1.0361383479689892
ACH-000721,-0.13665183778679088
ACH-000724,-0.7518347212709514
