,SHPK (23729)
ACH-000004,-0.33570588016331304
ACH-000005,0.035817889906946884
ACH-000007,-0.04173070155149782
ACH-000009,-0.14548716152705266
ACH-000011,-0.0588991581149046
ACH-000012,-0.0946456778275244
ACH-000013,-0.18210929513702134
ACH-000014,0.06741541803467238
ACH-000015,-0.02556181422826588
ACH-000017,-0.0871531534654929
ACH-000018,-0.2200110250309755
ACH-000019,0.1855249220187301
ACH-000021,-0.07771105065855792
ACH-000022,-0.13676644980234295
ACH-000025,-0.04104270636898967
ACH-000028,-0.14008358803565374
ACH-000030,-0.07690346512826872
ACH-000035,-0.10827063642223417
ACH-000036,-0.123155417026586
ACH-000037,-0.18635731915667667
ACH-000039,-0.03621526941608949
ACH-000040,-0.16359552106484848
ACH-000041,-0.14110994271230268
ACH-000042,-0.1290326016313237
ACH-000045,-0.05184382068687843
ACH-000047,0.0068934085665967905
ACH-000052,0.09252269621111933
ACH-000053,-0.07845300849862646
ACH-000054,-0.10625701120130808
ACH-000055,0.008501132806536927
ACH-000060,-0.19350070455157786
ACH-000067,-0.11175066602663274
ACH-000070,-0.09059762719413113
ACH-000075,-0.2515440345899618
ACH-000078,-0.13435656366696705
ACH-000082,-0.058422100929897774
ACH-000085,-0.11465325397910132
ACH-000086,-0.1442435502796346
ACH-000087,0.08818530116410461
ACH-000092,-0.02688228075832296
ACH-000095,-0.08869089490844068
ACH-000097,-0.2015627248668861
ACH-000098,-0.1378453732095411
ACH-000099,-0.11245191893060563
ACH-000108,-0.19645848604579247
ACH-000113,-0.15584079432304296
ACH-000116,-0.16877460364455235
ACH-000118,-0.07834326798937948
ACH-000120,-0.02188203810973988
ACH-000123,-0.2437080759089543
ACH-000127,-0.2539675526342185
ACH-000128,-0.17884433574433972
ACH-000132,-0.2115988022623485
ACH-000133,-0.07029860093106964
ACH-000137,0.048917383494135734
ACH-000138,-0.012784598057634943
ACH-000142,-0.1594632950446441
ACH-000143,-0.01296197463486185
ACH-000146,-0.1064887251622468
ACH-000148,-0.2372406973181531
ACH-000150,-0.011937178578339256
ACH-000152,-0.06980080002944684
ACH-000153,0.11038982641610187
ACH-000159,-0.11589700576803258
ACH-000160,-0.011271003364921444
ACH-000163,0.04372545148686868
ACH-000167,-0.16074615366074022
ACH-000168,-0.05599255038395992
ACH-000169,-0.058035005968944335
ACH-000178,-0.12589021475805642
ACH-000183,0.08943500852581797
ACH-000188,-0.025314971244176872
ACH-000189,-0.12401066828875705
