,POTEM (641455)
ACH-000004,-0.13783320287671874
ACH-000005,-0.1395747373492449
ACH-000007,-0.08874575952011454
ACH-000009,-0.2817719623085529
ACH-000011,-0.25014643870889475
ACH-000012,-0.243774977655026
ACH-000013,-0.05898792298357512
ACH-000014,-0.11890395747285228
ACH-000015,-0.0952468072621709
ACH-000017,0.05205208639545174
ACH-000018,0.054887658364610466
ACH-000019,-0.014753360544539887
ACH-000021,-0.1828888102209162
ACH-000022,-0.02044788833510166
ACH-000025,-0.1562881403842125
ACH-000028,-0.13568179180763054
ACH-000030,-0.2234071760236468
ACH-000035,-0.26851646990658085
ACH-000036,-0.09194913009661658
ACH-000037,-0.06740909460305132
ACH-000039,-0.1845417860029337
ACH-000040,-0.209755886526282
ACH-000041,-0.11697684771554412
ACH-000042,0.08137156012522251
ACH-000045,-0.1109314475869022
ACH-000047,-0.24415878832121415
ACH-000052,-0.2906200582240704
ACH-000053,-0.05753625967817747
ACH-000054,0.01757453741677149
ACH-000055,-0.26198901678716513
ACH-000060,-0.2482978617933447
ACH-000067,-0.25665160922132
ACH-000070,-0.014794385056936568
ACH-000075,-0.005464045993235986
ACH-000078,-0.2179124812073977
ACH-000082,-0.07765310138366646
ACH-000085,-0.15234798882186687
ACH-000086,-0.12605877747264616
ACH-000087,-0.013591992760266285
ACH-000092,-0.2948946109368309
ACH-000095,-0.15598473382336644
ACH-000097,-0.16553518054002858
ACH-000098,-0.25122073736983674
ACH-000099,-0.0567209920369007
ACH-000108,-0.056461758009503274
ACH-000113,-0.2282209710497626
ACH-000116,0.00365454887024669
ACH-000118,-0.13352793010317202
ACH-000120,-0.22194087079229766
ACH-000123,-0.09694614726015932
ACH-000127,-0.12701527684654826
ACH-000128,-0.3960964230880905
ACH-000132,-0.0801590356138871
ACH-000133,-0.03201672493466256
ACH-000137,-0.16732356363353654
ACH-000138,-0.04411812253476617
ACH-000142,-0.2357337658277138
ACH-000143,-0.0399893727913204
ACH-000146,-0.051706265854452
ACH-000148,-0.11596509020417076
ACH-000150,-0.1083510503829347
ACH-000152,-0.39732608878035097
ACH-000153,-0.5809485782819617
ACH-000159,-0.26498615334066816
ACH-000160,-0.3111991904860058
ACH-000163,-0.18684331589820846
ACH-000167,0.24355790671671956
ACH-000168,-0.355974320661829
ACH-000169,-0.2653612055845668
ACH-000178,-0.14199886996816655
ACH-000183,-0.08704881186962463
ACH-000188,-0.3069316632219943
ACH-000189,-0.26747470226302034
ACH-000190,-0.2183523033024182
ACH-000198,-0.1764526000906018
ACH-000203,-0.19138791508728828
ACH-000204,-0.2678887749516741
ACH-000206,-0.08752927852671706
ACH-000207,-0.06990565741479565
ACH-000208,-0.2223239596523976
ACH-000210,-0.21406718167854688
