,OR8B12 (219858)
ACH-000004,-0.2337343981616501
ACH-000005,-0.4164877939297553
ACH-000007,-0.19646988952918426
ACH-000009,-0.14155147035055285
ACH-000011,-0.09215896041877387
ACH-000012,-0.16216766640860256
ACH-000013,-0.1889620337026521
ACH-000014,-0.07294030203260353
ACH-000015,-0.021972907089340268
ACH-000017,-0.044820493329986916
ACH-000018,-0.2657620119058737
ACH-000019,-0.14846276950005188
ACH-000021,-0.08268766634352344
ACH-000022,-0.3206206410505997
ACH-000025,-0.02187756341180257
ACH-000028,-0.052263366252818085
ACH-000030,-0.10874752797767867
ACH-000035,-0.06180482127680706
ACH-000036,-0.13815009386267108
ACH-000037,-0.10319772569600212
ACH-000039,-0.33430293219474955
ACH-000040,-0.2834405434368951
ACH-000041,-0.06937083881956349
ACH-000042,-0.01659828386523255
ACH-000045,-0.22236924598797367
ACH-000047,-0.06679953987814584
ACH-000052,-0.013983655394311055
ACH-000053,-0.16347320200792306
ACH-000054,-0.29825981254309897
ACH-000055,-0.15458851764981227
ACH-000060,-0.13593239018229314
ACH-000067,-0.018033845500632438
ACH-000070,-0.20425095261358933
ACH-000075,-0.04941950993371697
ACH-000078,-0.3884515345145896
ACH-000082,-0.11453737234718438
ACH-000085,-0.2462280086522761
ACH-000086,0.062281334488121086
ACH-000087,-0.13896851597179016
ACH-000092,-0.06283557350608915
ACH-000095,-0.1657203993881781
ACH-000097,-0.138490114074525
ACH-000098,0.04478661207221212
ACH-000099,-0.07829120925169883
ACH-000108,-0.15656833206621615
ACH-000113,-0.15408231355532964
ACH-000116,0.12030285630088952
ACH-000118,-0.16690641052058314
ACH-000120,0.01649776474142507
ACH-000123,-0.09750144315790707
ACH-000127,-0.12259741644930032
ACH-000128,-0.1437251168682932
ACH-000132,-0.20022507883531795
ACH-000133,-0.11742120623386075
ACH-000137,-0.26193273678324336
ACH-000138,-0.14217709710812473
ACH-000142,-0.327315440325382
ACH-000143,-0.002290835861101081
ACH-000146,-0.14151046964975966
ACH-000148,-0.08789678394455623
ACH-000150,0.049315696524922764
ACH-000152,-0.14616429592697258
ACH-000153,-0.06495228028813142
ACH-000159,-0.13959436569174574
ACH-000160,-0.09206916797665184
ACH-000163,-0.18250060105632174
ACH-000167,-0.08463083375199519
ACH-000168,0.040483933185531736
ACH-000169,-0.09525782851205504
ACH-000178,-0.21305097450105606
ACH-000183,0.030924822485323994
ACH-000188,-0.21336328465836904
ACH-000189,-0.09943195046774277
ACH-000190,-0.19159395999360734
ACH-000198,-0.1162181061969825
ACH-000203,-0.4047688146968391
ACH-000204,0.09185186296073976
ACH-000206,-0.2517935301095897
ACH-000207,0.14606743890183432
ACH-000208,-0.08726925198014059
ACH-000210,-0.20902474560295528
ACH-000211,-0.11969156290064514
ACH-000215,-0.1455893966700832
ACH-000221,-0.15428208117262146
ACH-000222,-0.10873395658454794
ACH-000223,-0.15756682341535344
ACH-000226,-0.15913523354036188
ACH-000227,-0.29870960808617003
ACH-000228,-0.057997754791454276
ACH-000231,-0.1890733234498334
ACH-000232,-0.2076972825534397
ACH-000233,-0.14525052065688984
ACH-000234,0.002026293542133632
ACH-000235,-0.046540789347800884
ACH-000237,-0.231300519531676
ACH-000238,-0.15724017230488765
ACH-000242,-0.0315679180098522
ACH-000243,-0.02743556300038549
ACH-000244,-0.14769501414857586
ACH-000246,-0.18050896773899372
ACH-000248,-0.02359366979142541
ACH-000250,-0.10551489356313942
ACH-000251,0.07348489345922778
ACH-000252,-0.08479301125146327
ACH-000253,-0.01709708592845624
ACH-000255,-0.039571354576226285
ACH-000256,0.052000529114742185
ACH-000257,0.10434835883374116
ACH-000258,-0.4548110153339433
ACH-000259,-0.0010045807195948949
ACH-000260,-0.07746380601442822
ACH-000261,-0.06972320124905783
ACH-000262,-0.0738766846894397
ACH-000263,-0.20277526520605213
ACH-000264,-0.0570428062964833
ACH-000265,0.028907586746805918
ACH-000266,-0.057452345069014185
ACH-000272,-0.18397787691464548
ACH-000274,-0.19362700248879905
ACH-000277,-0.13503134156749913
ACH-000278,-0.08067096057620779
ACH-000279,-0.19067305017833694
ACH-000280,-0.17460459472909054
ACH-000281,-0.07846421444718728
ACH-000288,-0.21432191147420188
ACH-000291,0.0029585542520821997
ACH-000293,-0.19540247456609128
ACH-000294,-0.3683584746678633
ACH-000295,-0.031679810848351586
ACH-000296,0.04317076608565836
ACH-000302,-0.1599592178909686
ACH-000304,0.15191516153102558
ACH-000307,-0.11152054456009787
ACH-000308,-0.12708163209691006
ACH-000310,-0.16936347272608546
ACH-000311,-0.09049727469888404
ACH-000312,-0.05132081973959058
ACH-000315,-0.3351344422142873
ACH-000316,-0.10899849928528448
ACH-000317,-0.2540437382399409
ACH-000318,-0.20052238247283968
ACH-000319,-0.12197353775827365
ACH-000320,0.024135771636301945
ACH-000322,-0.2077903440652328
ACH-000323,-0.06281735531153958
ACH-000324,-0.15040129645613562
ACH-000329,-0.057143459917373726
ACH-000330,-0.28499727166876715
ACH-000331,-0.12349869317055424
ACH-000332,-0.20521994234885368
ACH-000334,-0.15410314204911252
ACH-000335,-0.12845505810210753
ACH-000336,-0.06939444490912003
ACH-000337,-0.010389055426454385
ACH-000338,0.0001728617458235357
ACH-000339,-0.055645436914707684
ACH-000341,-0.21712303165763908
ACH-000348,-0.11793418356239085
ACH-000350,-0.2302279886222407
ACH-000352,-0.08815672040377193
ACH-000356,-0.4078223207694889
ACH-000361,-0.1174255748941315
ACH-000362,-0.18589053667037267
ACH-000363,-0.14176407569850952
ACH-000364,-0.14224185878018636
ACH-000365,-0.12719161462366116
ACH-000366,-0.19201853446577796
ACH-000368,-0.08862780232950973
ACH-000374,-0.3963442259151469
ACH-000375,0.07673537314337713
ACH-000376,-0.2485476440774913
ACH-000381,0.0020406767557643985
ACH-000383,-0.0980972674350801
ACH-000387,-0.03773139384108249
ACH-000389,-0.09891495055141933
ACH-000390,-0.10549917716078554
ACH-000393,-0.1770829551704985
ACH-000395,-0.27538428364300416
ACH-000396,0.15636882079097614
ACH-000397,-0.109888864445648
ACH-000401,-0.2810162437664445
ACH-000402,-0.08025301961821685
