,BRF1 (2972)
ACH-000004,-0.7715849841741979
ACH-000005,-1.0762241327738922
ACH-000007,-0.9726988032563532
ACH-000009,-0.8806107337968212
ACH-000011,-0.8874704935265428
ACH-000012,-0.7946728284086434
ACH-000013,-0.8675717117601169
ACH-000014,-0.6604641763416939
ACH-000015,-0.6233784136442964
ACH-000017,-1.2255212335546417
ACH-000018,-0.7143761280459033
ACH-000019,-0.5578073893468829
ACH-000021,-0.8572099929139197
ACH-000022,-0.7210137900031622
ACH-000025,-0.8942385053903058
ACH-000028,-0.5173142022666939
ACH-000030,-0.8128768682489218
ACH-000035,-0.8191079809530716
ACH-000036,-1.0501340544352071
ACH-000037,-0.7571920496518579
ACH-000039,-0.8097603008763432
ACH-000040,-0.7834114875104715
ACH-000041,-0.8364826044079644
ACH-000042,-0.8233269277516949
ACH-000045,-0.7420362785123016
ACH-000047,-0.8578579391945934
ACH-000052,-0.7936866784704959
ACH-000053,-0.8149849588436384
ACH-000054,-0.6226414585779021
ACH-000055,-0.9447739701533124
ACH-000060,-1.0971320516022482
ACH-000067,-0.6931080514605233
ACH-000070,-0.6292215648587751
ACH-000075,-0.8104309433935689
ACH-000078,-0.7721575839662753
ACH-000082,-0.991729035329332
ACH-000085,-0.9069852095683341
ACH-000086,-0.6590726057659252
ACH-000087,-1.0246237400774778
ACH-000092,-0.9305714307938538
ACH-000095,-0.7200048602925011
ACH-000097,-0.6004326018956538
ACH-000098,-0.8924192033504675
ACH-000099,-0.7463923459265182
ACH-000108,-1.0125057424807762
ACH-000113,-0.8653455791758823
ACH-000116,-0.7470695090358943
ACH-000118,-0.9260533701825404
ACH-000120,-0.9208695783290008
ACH-000123,-0.8555594608981568
ACH-000127,-0.6789917410908523
ACH-000128,-0.6318527412757853
ACH-000132,-0.9628474618640196
ACH-000133,-0.7449286301963891
ACH-000137,-1.1241821030678747
ACH-000138,-0.7044776914602873
ACH-000142,-0.6061651028011215
ACH-000143,-0.8786488010173831
ACH-000146,-0.7429453303857755
ACH-000148,-0.8536580735510723
ACH-000150,-0.5821364790216126
ACH-000152,-0.6760657400117354
ACH-000153,-0.5662566715531496
ACH-000159,-0.8181312622748875
ACH-000160,-0.5194121131914146
ACH-000163,-0.7706574729535144
ACH-000167,-0.21990615108922915
ACH-000168,-0.8577556462079765
ACH-000169,-1.030720597720603
ACH-000178,-0.8532955431770551
ACH-000183,-1.010429748884767
ACH-000188,-0.7559173474629967
ACH-000189,-0.8808868039894089
ACH-000190,-0.7657373105947809
ACH-000198,-0.8417272788812997
ACH-000203,-0.40024958806371896
ACH-000204,-0.6829668989367075
ACH-000206,-0.7865503066168916
ACH-000207,-0.8193929000349016
ACH-000208,-0.7355516907620764
ACH-000210,-0.8233656621966478
ACH-000211,-0.8433301591710889
ACH-000215,-0.7730647517918807
ACH-000221,-0.8347946459158474
ACH-000222,-0.8187323770554011
ACH-000223,-0.7051012051190259
ACH-000226,-0.6563018217846937
ACH-000227,-0.5234073199765165
ACH-000228,-0.9478051075420932
ACH-000231,-0.9639789736276932
ACH-000232,-0.8138576977501416
ACH-000233,-0.8050768232271053
ACH-000234,-0.5844002350616279
ACH-000235,-0.6528729626619683
ACH-000237,-0.6952137286758965
ACH-000238,-0.7019755758162655
ACH-000242,-0.5326643556617039
ACH-000243,-0.8409199316704442
ACH-000244,-0.6787968249109095
ACH-000246,-0.8134797015798128
ACH-000248,-0.9346404760705566
ACH-000250,-0.7748510763277667
ACH-000251,-0.6952433525584147
ACH-000252,-1.105266116065676
ACH-000253,-1.0277711049944953
ACH-000255,-0.8693919588589706
ACH-000256,-0.5784589140744202
ACH-000257,-0.6550555785965365
ACH-000258,-0.8193842919700148
ACH-000259,-1.0532185429513004
ACH-000260,-0.7410014853171185
ACH-000261,-0.7595945233316314
ACH-000262,-0.8023854041965717
ACH-000263,-0.919769784470706
ACH-000264,-0.8956021443419799
ACH-000265,-0.7256523903902982
ACH-000266,-0.6950013824201973
ACH-000272,-0.8388785381208038
ACH-000274,-0.7379101103059378
ACH-000277,-1.1139063607510964
ACH-000278,-0.8327955907631325
ACH-000279,-0.7825187056314908
ACH-000280,-0.8530246974683983
ACH-000281,-0.8142270595672136
ACH-000288,-0.7848365293882472
ACH-000291,-0.7891327326567857
ACH-000293,-0.8060818879226894
ACH-000294,-0.6559664904631579
ACH-000295,-0.7637719607832578
ACH-000296,-0.7966817494365009
ACH-000302,-0.7896127684349783
ACH-000304,-0.6874700879837418
ACH-000307,-0.8318602797161977
ACH-000308,-0.8323425475020824
ACH-000310,-0.6936500852352108
ACH-000311,-0.7951557222353177
ACH-000312,-0.8528011777722984
ACH-000315,-0.9774634968866514
ACH-000316,-0.6852200565400395
ACH-000317,-1.1098067437582833
