,ARL4D (379)
ACH-000004,-0.5222737864100353
ACH-000005,-0.35484802161684725
ACH-000007,-0.44296653316739343
ACH-000009,-0.591715009765308
ACH-000011,-0.3761170294910277
ACH-000012,-0.4641032877389579
ACH-000013,-0.5105660519941553
ACH-000014,-0.5303422567310905
ACH-000015,-0.3819844997836935
ACH-000017,-0.4431844078483931
ACH-000018,-0.6326084600049247
ACH-000019,-0.20042317354115652
ACH-000021,-0.33473941789498257
ACH-000022,-0.4328956175453291
ACH-000025,-0.3703824141466812
ACH-000028,-0.3249643977855243
ACH-000030,-0.4445604242294124
ACH-000035,-0.5333233525265624
ACH-000036,-0.4602151632237284
ACH-000037,-0.3040627477073773
ACH-000039,-0.417722670698002
ACH-000040,-0.4652443278651479
ACH-000041,-0.3623994388702915
ACH-000042,-0.46339289437144204
ACH-000045,-0.4022854207168667
ACH-000047,-0.5246713709944243
ACH-000052,-0.42188050249580256
ACH-000053,-0.3667218087563845
ACH-000054,-0.3700520567252928
ACH-000055,-0.2717281330456485
ACH-000060,-0.4418001113703149
ACH-000067,-0.35437852399350683
ACH-000070,-0.2582192493826326
ACH-000075,-0.6582085506638459
ACH-000078,-0.4991751361975738
ACH-000082,-0.40868717658253934
ACH-000085,-0.29691787350958954
ACH-000086,-0.31252681198784205
ACH-000087,-0.2428443017016187
ACH-000092,-0.3983633982351371
ACH-000095,-0.5280415420472425
ACH-000097,-0.4730559082723613
ACH-000098,-0.40222690933730704
ACH-000099,-0.337105005005552
ACH-000108,-0.44979800158663896
ACH-000113,-0.40719619063585377
ACH-000116,-0.4934709583146977
ACH-000118,-0.3958590208616258
ACH-000120,-0.6032898684115708
ACH-000123,-0.4574896142426037
ACH-000127,-0.35367849953244723
ACH-000128,-0.6258468396889649
ACH-000132,-0.4688279595687849
ACH-000133,-0.4540816349228813
ACH-000137,-0.5436562227177815
ACH-000138,-0.5371093280199971
ACH-000142,-0.3393575296045966
ACH-000143,-0.5766076233704799
ACH-000146,-0.4635498168154337
ACH-000148,-0.5626330851607012
ACH-000150,-0.5335165989906232
ACH-000152,-0.4286125626600786
ACH-000153,-0.4753374227744678
ACH-000159,-0.39846402177570456
ACH-000160,-0.27449877794213506
ACH-000163,-0.6079079945577285
ACH-000167,-0.3529392808363909
ACH-000168,-0.4886100800235871
ACH-000169,-0.3899507615757965
ACH-000178,-0.3766969657508351
ACH-000183,-0.2987721424425269
ACH-000188,-0.5738251893828489
ACH-000189,-0.3492228791769492
ACH-000190,-0.10526410275569643
ACH-000198,-0.2756852705444441
ACH-000203,-0.241461097750842
ACH-000204,-0.3902474942070484
ACH-000206,-0.3913017406117311
ACH-000207,-0.4446811050521087
ACH-000208,-0.4546847054950353
ACH-000210,-0.5614740266815043
ACH-000211,-0.4853999871866183
ACH-000215,-0.4457451609405311
ACH-000221,-0.5120977132394473
ACH-000222,-0.5518048299231596
