,ASL (435)
ACH-000004,-0.1089652195696429
ACH-000005,-0.3380105099609025
ACH-000007,-0.30262668972514056
ACH-000009,-0.12277224541860847
ACH-000011,-0.008291032635926187
ACH-000012,-0.21741762895364386
ACH-000013,-0.05570507753327817
ACH-000014,-0.3676769085449088
ACH-000015,-0.039615198530688026
ACH-000017,-0.013687003414003978
ACH-000018,-0.027418059027520675
ACH-000019,-0.17480099746271693
ACH-000021,-0.3736760544686076
ACH-000022,-0.2454795929938125
ACH-000025,-0.3486990577588715
ACH-000028,-0.02591396058502117
ACH-000030,-0.09065864113061234
ACH-000035,-0.19271429511653185
ACH-000036,-0.4010847331985048
ACH-000037,-0.26749815592379306
ACH-000039,-0.12581816532580467
ACH-000040,-0.18547146289046565
ACH-000041,-0.11773765754150935
ACH-000042,-0.1982390264532323
ACH-000045,-0.003727743216933283
ACH-000047,-0.22117986976906892
ACH-000052,-0.3624706436377448
ACH-000053,-0.16259730711743864
ACH-000054,-0.08998785723575325
ACH-000055,-0.007457138961244395
ACH-000060,-0.345813828111313
ACH-000067,-0.14567709976319226
ACH-000070,-0.1839794990829937
ACH-000075,-0.1535524705619825
ACH-000078,-0.019470798647957272
ACH-000082,-0.10654284996445484
ACH-000085,-0.11260630817582262
ACH-000086,0.04038078774603352
ACH-000087,-0.3184921162842174
ACH-000092,-0.10701405775584782
ACH-000095,-0.21835470008751695
ACH-000097,-0.1814532548412926
ACH-000098,-0.21128373597143726
ACH-000099,-0.1936831905053616
ACH-000108,-0.15605906096526265
ACH-000113,-0.10224665472963873
ACH-000116,-0.1723919602531727
ACH-000118,-0.16162712761814102
ACH-000120,-0.12455329228137405
ACH-000123,-0.2648276993731705
ACH-000127,-0.1476315028146475
ACH-000128,-0.2164954384818148
ACH-000132,-0.12068315377751747
ACH-000133,-0.20936572496538264
ACH-000137,-0.1182473853920204
ACH-000138,-0.03073379270767583
ACH-000142,-0.19463038549308986
ACH-000143,-0.15195113457489762
ACH-000146,-0.15726658126847873
ACH-000148,-0.2144127942592829
ACH-000150,-0.12766979462542544
ACH-000152,-0.07365366289548701
ACH-000153,-0.08198745945559706
ACH-000159,-0.215029536823631
ACH-000160,-0.14124813672432185
ACH-000163,-0.1532948253039542
ACH-000167,0.01856241789931489
ACH-000168,-0.08571127865609772
ACH-000169,-0.2462556073727219
ACH-000178,-0.17104683652818087
ACH-000183,-0.16849233262078114
ACH-000188,-0.18795087102451036
ACH-000189,-0.28259021991540023
ACH-000190,-0.0841938194111221
ACH-000198,-0.12260192166071217
ACH-000203,-0.03224943809847895
ACH-000204,-0.2876440456438134
ACH-000206,0.00435550795478224
ACH-000207,-0.09888197275170876
ACH-000208,0.016179721949067548
ACH-000210,-0.07608853837915715
ACH-000211,-0.2807512274015266
ACH-000215,-0.11860861771297974
ACH-000221,-0.4312490335802987
ACH-000222,-0.1553017944729551
ACH-000223,-0.09970925051062526
ACH-000226,-0.3645071232264932
ACH-000227,-0.3834914978774107
ACH-000228,-0.16984692315973954
ACH-000231,-0.17613847709348054
ACH-000232,-0.2004691634553688
ACH-000233,-0.17335973364047855
ACH-000234,-0.20404476848394973
ACH-000235,-0.18384368992225775
ACH-000237,-0.2042896737592512
ACH-000238,-0.07169736354491825
ACH-000242,-0.012998985932311713
ACH-000243,-0.07522781634915733
ACH-000244,-0.2909260362906556
ACH-000246,-0.17957582752760246
ACH-000248,-0.2164826020050193
ACH-000250,-0.07465549417260649
ACH-000251,-0.3565381256532897
ACH-000252,-0.028231922525325845
ACH-000253,-0.07057243163884544
ACH-000255,-0.15308369091762758
ACH-000256,0.02796067771632592
ACH-000257,-0.015110628852278284
ACH-000258,-0.19568344379932093
ACH-000259,-0.12880920893099013
ACH-000260,-0.08515861122679975
ACH-000261,-0.2305246270449773
ACH-000262,-0.4387674953414916
ACH-000263,-0.25687386942005364
ACH-000264,-0.2651504286797565
ACH-000265,-0.09516973578844784
ACH-000266,-0.1198095469261778
ACH-000272,-0.14329181967771773
ACH-000274,-0.0879314622785217
ACH-000277,-0.041998423656982864
ACH-000278,-0.2455793092294063
ACH-000279,-0.1948000789431475
ACH-000280,-0.22419646754000616
ACH-000281,-0.10276582740986044
ACH-000288,-0.19277157580347784
ACH-000291,-0.1736987563795955
ACH-000293,-0.2498983998740527
ACH-000294,-0.14639570635368346
ACH-000295,-0.14436256142260928
ACH-000296,-0.22153547932758624
ACH-000302,-0.1529230334462844
ACH-000304,-0.23804251231756146
ACH-000307,-0.16814856320544894
ACH-000308,-0.3070194093315974
ACH-000310,-0.11190203856699472
ACH-000311,-0.2382675732442282
ACH-000312,-0.06950752814162332
ACH-000315,-0.3602472356649399
ACH-000316,-0.190228496910073
ACH-000317,-0.2466411705984303
ACH-000318,-0.1529666745615123
ACH-000319,-0.1884848092505726
ACH-000320,-0.091283713307654
ACH-000322,-0.14226196019088044
ACH-000323,-0.04699791947582041
ACH-000324,-0.1412564523987017
ACH-000329,-0.0989836426632954
ACH-000330,-0.2950452761347756
ACH-000331,-0.21341137999484774
ACH-000332,-0.16587122326417486
ACH-000334,0.032595298815077146
ACH-000335,0.02605366683158221
ACH-000336,-0.2581687604721844
ACH-000337,-0.3131604292930844
ACH-000338,-0.0912668663767538
ACH-000339,-0.1835836970308226
ACH-000341,-0.2659109984789668
ACH-000348,-0.18553508064435872
ACH-000350,-0.2074694314605291
ACH-000352,-0.13755883979434705
ACH-000356,-0.455368354320075
ACH-000361,-0.34839115164775025
