,RUSC1 (23623)
ACH-000004,-0.15057903168598633
ACH-000005,-0.37636182804867857
ACH-000007,-0.09841227505218757
ACH-000009,-0.2451517991494637
ACH-000011,-0.15001256317740372
ACH-000012,-0.2515843421269756
ACH-000013,-0.2590483205473269
ACH-000014,-0.24841455432154724
ACH-000015,-0.3417064795880463
ACH-000017,-0.2856249426435505
ACH-000018,-0.33483972470242096
ACH-000019,-0.3702471061980004
ACH-000021,-0.17557769440118398
ACH-000022,-0.23537367373450346
ACH-000025,-0.2385783628069241
ACH-000028,-0.15720240966830532
ACH-000030,-0.101634963369876
ACH-000035,-0.10958143892292582
ACH-000036,-0.05702744473838967
ACH-000037,-0.3365547523374466
ACH-000039,-0.29015822348840753
ACH-000040,-0.26754713659107593
ACH-000041,-0.20830603246487925
ACH-000042,-0.12763018202187856
ACH-000045,-0.12130690197516618
ACH-000047,-0.14365879059428185
ACH-000052,-0.24755881568264496
ACH-000053,-0.15524511243827285
ACH-000054,-0.15685311958656367
ACH-000055,-0.2607391532217505
ACH-000060,0.02468964887855925
ACH-000067,-0.212932225212772
ACH-000070,-0.2264930584484453
ACH-000075,-0.1240792005446136
ACH-000078,-0.32573508709132576
ACH-000082,-0.1700885272465892
ACH-000085,-0.03767633375008669
ACH-000086,-0.4294026934513212
ACH-000087,-0.16168286806755985
ACH-000092,-0.22755003715264754
ACH-000095,-0.2561989689584964
ACH-000097,-0.4345744799034931
ACH-000098,-0.286664639164279
ACH-000099,-0.15575122212888728
ACH-000108,-0.1303294362145129
ACH-000113,-0.14931063514821807
ACH-000116,-0.11718039908764748
ACH-000118,-0.1836802035343411
ACH-000120,-0.4332460849114132
ACH-000123,-0.21983937021378314
ACH-000127,-0.13881381963570774
ACH-000128,-0.07972067067632567
ACH-000132,-0.13051510708973846
ACH-000133,-0.1610406813014185
ACH-000137,-0.2935101127216112
ACH-000138,-0.14628848233398314
ACH-000142,-0.17715479065408152
ACH-000143,-0.1567439214966795
ACH-000146,-0.1741011250419157
ACH-000148,-0.07051335874256763
ACH-000150,-0.08454355402037061
ACH-000152,-0.2367835339326067
ACH-000153,-0.2955574118365439
ACH-000159,-0.26411753186364617
ACH-000160,-0.2382060543462917
ACH-000163,-0.17232595587604574
ACH-000167,-0.1275164115163725
ACH-000168,-0.22560777316495886
ACH-000169,-0.2729118253048345
ACH-000178,-0.2663219090410207
ACH-000183,-0.1788770552390845
ACH-000188,-0.10822487633350723
ACH-000189,-0.21913619394919046
ACH-000190,-0.12868170646427254
ACH-000198,-0.12326652513513447
ACH-000203,-0.9693729572819544
ACH-000204,-0.12455041057726332
ACH-000206,-0.0005622158037477344
ACH-000207,-0.05602966705478065
ACH-000208,-0.3283930410856213
ACH-000210,-0.20673566960093187
ACH-000211,-0.20183787768835687
ACH-000215,-0.13443317118804368
ACH-000221,-0.1807858101805836
ACH-000222,-0.22133713612102024
ACH-000223,-0.060048767490406774
ACH-000226,-0.11106288570835214
ACH-000227,-0.2317564079300225
ACH-000228,-0.31376766580632903
ACH-000231,-0.25885052371669315
ACH-000232,-0.1907574565771506
ACH-000233,-0.1531313434378444
ACH-000234,-0.1939698248770116
ACH-000235,-0.3185073666500781
ACH-000237,-0.2512121500672888
ACH-000238,0.057957497552363076
ACH-000242,-0.25891161370378385
ACH-000243,-0.2334261479576158
ACH-000244,-0.4032612397477389
ACH-000246,-0.2481034451771186
ACH-000248,-0.2439413646744627
ACH-000250,-0.17783667363524575
ACH-000251,-0.07799451506120532
ACH-000252,-0.001648890732017415
ACH-000253,-0.052859507765438137
ACH-000255,-0.1672811838801179
ACH-000256,-0.26060484887985563
ACH-000257,-0.05894145090847961
ACH-000258,-0.3887208425662476
ACH-000259,-0.2299240146154253
ACH-000260,-0.21163937536525312
ACH-000261,-0.20354960748705936
ACH-000262,-0.2572306979635877
ACH-000263,-0.3002125667199382
ACH-000264,-0.3139742720752427
ACH-000265,-0.05321880748623081
ACH-000266,-0.2263195553075797
ACH-000272,-0.26138246097992823
ACH-000274,-0.11292117582436488
ACH-000277,-0.14105262015220313
ACH-000278,-0.23543936977193836
ACH-000279,-0.1355845535947334
ACH-000280,-0.2460862058541707
ACH-000281,-0.1758785305093313
ACH-000288,-0.2511092458184917
ACH-000291,-0.202277768829728
ACH-000293,-0.16070477425061866
ACH-000294,-0.10688128587874933
ACH-000295,-0.07224940842544765
ACH-000296,-0.0860976251502397
ACH-000302,-0.21772676837313729
ACH-000304,-0.09626311723377214
ACH-000307,-0.17339079899824458
ACH-000308,-0.4056866510757178
ACH-000310,-0.4533811616046479
ACH-000311,-0.26976586514926537
ACH-000312,-0.2061318103253692
ACH-000315,-0.029124346337912763
ACH-000316,-0.10644644862448957
ACH-000317,-0.18638538976954988
ACH-000318,-0.2451218446567491
ACH-000319,-0.1900900512635736
ACH-000320,-0.11383677793102735
ACH-000322,-0.2812758605754045
ACH-000323,-0.08864436664460414
ACH-000324,-0.1812014068479081
ACH-000329,-0.16121535563476738
ACH-000330,-0.1822505779049523
ACH-000331,-0.1749624053716393
ACH-000332,-0.26237349765151796
ACH-000334,-0.16975848700469334
ACH-000335,-0.11044876504514373
ACH-000336,-0.1906503371949582
ACH-000337,-0.2106204663463836
ACH-000338,-0.2855696934620949
ACH-000339,-0.12459505516059236
ACH-000341,-0.2740095959068983
ACH-000348,-0.3306389566766226
ACH-000350,-0.07915283203306482
ACH-000352,-0.212036719885562
ACH-000356,-0.3091307415905737
ACH-000361,-0.1934659667050538
ACH-000362,-0.1702692998309513
ACH-000363,-0.29076432115929035
ACH-000364,-0.15823548019925793
ACH-000365,-0.2151603823667903
ACH-000366,-0.3292628130457608
ACH-000368,-0.34312727692640965
ACH-000374,-0.09844627518601552
ACH-000375,-0.2591251128580366
ACH-000376,-0.2295973351230844
ACH-000381,-0.18511625199477447
ACH-000383,-0.28959382904109776
ACH-000387,-0.17904786657712318
ACH-000389,-0.0948832841084744
ACH-000390,-0.2964842772877662
ACH-000393,-0.13626964483955425
ACH-000395,-0.15517232102864809
ACH-000396,-0.24389389577865275
ACH-000397,-0.19275968569422916
ACH-000401,-0.3746343831915088
ACH-000402,-0.31788231474644496
ACH-000403,-0.1655848008959853
ACH-000404,-0.4667426031360377
ACH-000406,-0.2340300227853124
ACH-000407,-0.15348631319673134
ACH-000408,-0.10891015202863924
ACH-000410,-0.3258806927223974
ACH-000411,-0.10708950011202037
ACH-000414,-0.2003946814547712
ACH-000415,-0.16451402894937706
ACH-000416,-0.3013576740899955
ACH-000420,-0.08035115791813406
ACH-000421,-0.18138624077657425
ACH-000424,-0.3447886180488191
ACH-000425,-0.03060097964584575
ACH-000426,-0.4223519002977565
ACH-000427,-0.11315382698067344
ACH-000433,-0.07886986703646635
ACH-000435,-0.10637710485706267
ACH-000436,-0.2895754836742708
ACH-000444,-0.2766597633333483
ACH-000445,-0.2325877031785006
ACH-000448,-0.14978782834801585
ACH-000450,-0.34701025721044265
ACH-000452,-0.18792288258239911
ACH-000454,-0.0900544067208885
ACH-000458,-0.16951031270976544
ACH-000459,0.08816734505134052
ACH-000460,-0.2788007288214867
ACH-000461,-0.1985961066698441
ACH-000463,-0.2442673321920676
ACH-000464,-0.16801684999375247
ACH-000466,-0.20569536656681006
ACH-000467,-0.14916961426256425
ACH-000468,-0.1367672906966917
ACH-000469,-0.034011733322290634
ACH-000470,-0.09726491930956273
ACH-000471,-0.16123649822675046
ACH-000472,-0.1649172755892447
ACH-000473,-0.17102311381388272
ACH-000475,-0.2082858326893763
ACH-000476,-0.26402050002354976
ACH-000477,0.040085118579182316
ACH-000479,-0.4654407774114425
ACH-000480,-0.20836724371323004
ACH-000481,-0.2279375136733217
ACH-000483,0.034764171442840316
ACH-000484,-0.22456836142936185
ACH-000485,-0.17451990746684204
ACH-000486,-0.16646688084303765
ACH-000487,-0.18028774498581115
ACH-000488,-0.1419584123950076
ACH-000490,-0.14079968329083722
ACH-000491,-0.1714828461364324
ACH-000495,-0.1864680008499662
ACH-000496,-0.11087060892348652
ACH-000499,-0.29465548664352825
ACH-000500,-0.05787205264246309
ACH-000502,-0.16841418438470046
ACH-000503,0.0857975811289809
ACH-000505,-0.21752501572287847
ACH-000507,-0.25236453623888977
ACH-000510,-0.2822187768321216
ACH-000511,-0.06352015065615628
ACH-000512,-0.2416914842801587
ACH-000516,-0.1073679901924732
ACH-000517,-0.2262423299720035
