,TMA7 (51372)
ACH-000004,-0.42576607219830703
ACH-000005,-0.004426129233108576
ACH-000007,-0.4325070113175935
ACH-000009,-0.4843142827951148
ACH-000011,-0.16181375341688148
ACH-000012,-0.19463467661576492
ACH-000013,-0.09682972712063223
ACH-000014,-0.22664233773545994
ACH-000015,-0.10077721954001466
ACH-000017,-0.2335733777444216
ACH-000018,-0.4548793200722182
ACH-000019,-0.143350822151971
ACH-000021,-0.26004910950678456
ACH-000022,-0.1992591348836785
ACH-000025,-0.26231076115846885
ACH-000028,-0.16728370423119615
ACH-000030,-0.19670820540241765
ACH-000035,-0.30015541702640675
ACH-000036,-0.2403720379657591
ACH-000037,-0.2380042335053193
ACH-000039,-0.15693587428768155
ACH-000040,-0.4405941167453664
ACH-000041,-0.11558524898940208
ACH-000042,-0.18477039117079155
ACH-000045,-0.08937766204980929
ACH-000047,-0.2806616640529633
ACH-000052,0.0979677896728028
ACH-000053,-0.20806061763119665
ACH-000054,-0.35453707830526016
ACH-000055,-0.30315419091167345
ACH-000060,-0.2642701290144578
ACH-000067,-0.5319075139332223
ACH-000070,-0.1278032169699958
ACH-000075,-0.3400520281082523
ACH-000078,-0.28311677953544445
ACH-000082,-0.24265726667311555
ACH-000085,-0.03565484689681641
ACH-000086,-0.22253127886184812
ACH-000087,-0.5082276364025733
ACH-000092,-0.30524838271294896
ACH-000095,-0.2161981719316909
ACH-000097,-0.18456315371545812
ACH-000098,-0.18886298625881184
ACH-000099,-0.22151298098413796
ACH-000108,-0.31443357598019195
ACH-000113,-0.08208323338425705
ACH-000116,-0.31823928438205434
ACH-000118,-0.2345476104915805
ACH-000120,-0.19339835354209084
ACH-000123,-0.3942998869629008
ACH-000127,-0.232470487624406
ACH-000128,-0.4415649354607623
ACH-000132,-0.25803358382785063
ACH-000133,-0.3910858803585367
ACH-000137,-0.12008064223605446
ACH-000138,-0.19597345224901602
ACH-000142,-0.2693642560425035
ACH-000143,-0.12517184350071828
ACH-000146,-0.12071156264314264
ACH-000148,-0.29411727024315004
ACH-000150,-0.3816329920564105
