,RPF1 (80135)
ACH-000004,-0.45719701916111405
ACH-000005,-0.6479012715126915
ACH-000007,-0.6571248330173073
ACH-000009,-0.9255127047027231
ACH-000011,-0.8553157197159894
ACH-000012,-0.7600977149885547
ACH-000013,-0.6929991676075641
ACH-000014,-0.6157648500195287
ACH-000015,-0.5677189238935967
ACH-000017,-0.3591031092161587
ACH-000018,-0.7186305107723798
ACH-000019,-0.6376987367680371
ACH-000021,-0.8285682496019224
ACH-000022,-0.46774708473808796
ACH-000025,-0.6634990036153806
ACH-000028,-0.5477543203918745
ACH-000030,-0.6262418580471509
ACH-000035,-0.8648955163229441
ACH-000036,-0.6523927270032656
ACH-000037,-0.799379147899157
ACH-000039,-0.17577097641218709
ACH-000040,-0.7805197448288319
ACH-000041,-0.4090155366445963
ACH-000042,-0.9286638733426392
ACH-000045,-0.5678275889604438
ACH-000047,-0.6351020260780558
ACH-000052,-0.8501850827149733
ACH-000053,-0.6929535140319325
ACH-000054,-0.6149323635846031
ACH-000055,-0.627406572852283
ACH-000060,-0.8105627927187249
ACH-000067,-0.637055307719421
ACH-000070,-0.7781191987840639
ACH-000075,-1.1542095745139322
ACH-000078,-0.21835935071689724
ACH-000082,-0.5561333615774285
ACH-000085,-0.5535531930535219
ACH-000086,-0.6908212908013431
ACH-000087,-0.5707913259010202
ACH-000092,-0.7033358310811346
ACH-000095,-0.5509686239486665
ACH-000097,-0.719686067509149
ACH-000098,-0.536957390399233
ACH-000099,-0.4523702359975972
ACH-000108,-0.6101378560861983
ACH-000113,-0.5020559596246553
ACH-000116,-0.5787141731709621
ACH-000118,-0.4855868405164985
ACH-000120,-0.8078119510384197
ACH-000123,-0.6066702841745776
ACH-000127,-0.7490069362766291
ACH-000128,-0.5720738140817286
ACH-000132,-0.6397854976056867
ACH-000133,-0.5040787057580723
ACH-000137,-0.7085321484836345
ACH-000138,-0.6133923043032411
ACH-000142,-0.6474090005697526
ACH-000143,-0.5988318894744287
ACH-000146,-0.6886728990346735
ACH-000148,-0.6909797903804148
ACH-000150,-0.8373926494948973
ACH-000152,-0.6315388836161904
ACH-000153,-0.8206344591576648
ACH-000159,-0.6015987833755235
ACH-000160,-0.6755179490732726
ACH-000163,-0.6559065512879328
ACH-000167,-0.6812610281568668
ACH-000168,-0.3684209702184978
ACH-000169,-0.5349844461634498
ACH-000178,-0.6317904444396653
ACH-000183,-0.5946887232515113
ACH-000188,-0.8306914487669759
ACH-000189,-0.7706427253143568
