,C3orf84 (646498)
ACH-000004,0.07217688394278929
ACH-000005,0.15119513464341544
ACH-000007,0.07857677558819798
ACH-000009,0.07704447729361946
ACH-000011,0.20422619915776732
ACH-000012,0.17451002982371827
ACH-000013,0.1654913387577936
ACH-000014,0.16386684532471027
ACH-000015,0.1838657294753727
ACH-000017,0.14972426210308465
ACH-000018,0.2559402395592167
ACH-000019,0.15996533715877712
ACH-000021,0.14220080909709684
ACH-000022,0.1033280151128519
ACH-000025,0.09392681325957256
ACH-000028,0.18794968136798024
ACH-000030,0.13011988057072205
ACH-000035,0.02535709312451872
ACH-000036,0.1729209119868008
ACH-000037,0.19311143146355786
ACH-000039,0.13422399996093742
ACH-000040,0.08768875053941742
ACH-000041,0.2005816157273864
ACH-000042,0.11175915590880883
ACH-000045,0.07370380960289978
ACH-000047,0.15318905974024805
ACH-000052,0.2402942354531827
ACH-000053,0.08317601453345448
ACH-000054,0.18421791486331046
ACH-000055,0.18757591853059075
ACH-000060,0.11615350330503753
ACH-000067,0.16150080769261088
ACH-000070,0.14205757154054882
ACH-000075,0.3513272649362155
ACH-000078,0.14664941127425052
ACH-000082,0.1383681948926856
ACH-000085,0.1402396516302587
ACH-000086,0.16861947250224732
ACH-000087,0.17919645113817834
ACH-000092,0.18581672331086047
ACH-000095,0.1566025825629842
ACH-000097,0.2035020685950789
ACH-000098,0.10961366265797597
ACH-000099,0.26913417961224223
ACH-000108,0.08265746742756007
ACH-000113,0.08831029260949995
ACH-000116,0.1473004121261841
ACH-000118,0.109824668783386
ACH-000120,0.09907115375726716
ACH-000123,0.1665153072838836
ACH-000127,0.17374211448053065
ACH-000128,0.1139410213986048
ACH-000132,0.14610858225687345
ACH-000133,0.031092021896723544
ACH-000137,0.23051552727546865
ACH-000138,0.05649516736887152
ACH-000142,0.11920879077579442
ACH-000143,0.22207219627728175
ACH-000146,0.11086257004146244
ACH-000148,0.29481844451075057
ACH-000150,-0.16387436285519874
ACH-000152,0.10690279291708367
ACH-000153,-0.011714242170660248
ACH-000159,0.15139043495788368
ACH-000160,0.18961308430855536
ACH-000163,0.07844596080980959
ACH-000167,-0.016034879717391006
ACH-000168,-0.038199853589247136
ACH-000169,0.0852147664136513
ACH-000178,0.1232825129302514
ACH-000183,0.13655581700035296
ACH-000188,0.09256668803960784
ACH-000189,-0.02913399288650548
ACH-000190,0.23199842410455704
ACH-000198,0.2146989775991148
ACH-000203,0.1187251618456815
ACH-000204,0.17200799766674096
ACH-000206,0.04952734247167501
ACH-000207,0.08106879314755001
ACH-000208,0.20608701318191724
ACH-000210,0.2618859533123044
ACH-000211,0.09620153984838034
ACH-000215,0.14663654820096195
ACH-000221,0.023156566059125645
ACH-000222,0.16192892314955035
ACH-000223,0.1807813810734448
ACH-000226,0.21892848900147524
ACH-000227,0.05948809759540295
ACH-000228,0.07571569219975736
ACH-000231,0.11143451575055394
ACH-000232,0.17444215379682865
ACH-000233,0.12778828855263827
ACH-000234,-0.009967792333801805
ACH-000235,0.14421549865097716
ACH-000237,0.04989949098173159
ACH-000238,0.04913540668655142
ACH-000242,0.1175493368238459
ACH-000243,0.1743422550858609
ACH-000244,0.02705742423476326
ACH-000246,0.18566823449367284
ACH-000248,0.061711038489581475
ACH-000250,0.13681572260469232
ACH-000251,0.12588665876654212
ACH-000252,0.2300597505377045
ACH-000253,0.21415630076384726
ACH-000255,0.1336643795748272
ACH-000256,0.10350366984050996
ACH-000257,-0.02879500012418915
ACH-000258,0.19761151556986656
ACH-000259,0.06593433519549648
ACH-000260,0.11779463828246282
ACH-000261,0.18087757071958552
ACH-000262,0.3430812300140566
ACH-000263,-0.03005108334987043
ACH-000264,0.07373730970998807
ACH-000265,0.08981359893270588
ACH-000266,0.15653706381232174
ACH-000272,0.21718851100455056
ACH-000274,0.013807498975529586
ACH-000277,0.23212102602422824
ACH-000278,0.14932318930656738
ACH-000279,0.1921252337667511
ACH-000280,0.18916698093081227
ACH-000281,0.1845681763839636
ACH-000288,0.10077243179807577
ACH-000291,0.1999134360621251
ACH-000293,0.11244975642580192
ACH-000294,-0.02865383338086415
ACH-000295,0.03845882022697758
ACH-000296,0.06869960176415259
ACH-000302,0.16667504443440706
ACH-000304,0.20088416212863616
ACH-000307,0.1973764935123665
ACH-000308,0.18095495223253785
ACH-000310,0.06019220654856582
ACH-000311,0.1255169497191115
ACH-000312,0.17869698350780178
ACH-000315,0.133977138884287
ACH-000316,0.24619304548047216
ACH-000317,0.0881003081066702
ACH-000318,0.22893699584144414
ACH-000319,0.11970078256383772
ACH-000320,0.04888426647279405
ACH-000322,0.09247083323385592
ACH-000323,0.15937045696139449
ACH-000324,0.17814740516212185
ACH-000329,0.0852440604689376
ACH-000330,0.22737033438618734
ACH-000331,0.10681192241270801
ACH-000332,0.14219387532183184
ACH-000334,0.04027896231774662
ACH-000335,0.18050315788481516
ACH-000336,0.17471447768681908
ACH-000337,0.1904834978763779
ACH-000338,-0.1163479093826608
ACH-000339,0.2037690217611628
ACH-000341,0.21870408163675611
ACH-000348,0.2163342256992732
ACH-000350,0.2728308991162082
ACH-000352,0.15109097021229065
ACH-000356,0.1688747861486644
ACH-000361,0.07303570029057804
ACH-000362,0.0910818039958137
ACH-000363,0.1175177871803109
ACH-000364,0.2265262709812212
ACH-000365,0.09091409806517846
ACH-000366,0.2051847269061643
ACH-000368,0.057246869493827485
ACH-000374,0.197132526357124
ACH-000375,0.12676232771308188
ACH-000376,0.1203419004319113
ACH-000381,0.0458057719261843
ACH-000383,0.14096585922911728
ACH-000387,0.09581281023677853
ACH-000389,-0.028843378634584367
ACH-000390,0.11941250709441999
ACH-000393,0.13351243850370073
ACH-000395,0.13104261570511475
ACH-000396,0.1428789809734474
ACH-000397,0.2513216435846659
ACH-000401,0.0013162479272327342
ACH-000402,0.21482221220419875
ACH-000403,0.1546605351809075
ACH-000404,0.21030483157370733
ACH-000406,0.09469605691266207
ACH-000407,0.14482739638942313
ACH-000408,0.1264415075040828
ACH-000410,0.20094678656091766
ACH-000411,0.11413479320288795
ACH-000414,0.14119956051303129
ACH-000415,0.07505449513077986
ACH-000416,0.14180878503088312
ACH-000420,0.24384024269565954
ACH-000421,0.14397546468433578
ACH-000424,-0.011060975745034549
ACH-000425,0.17025391587582184
ACH-000426,-0.046560685482741934
ACH-000427,0.2330050847045121
ACH-000433,0.09247620692437797
ACH-000435,0.3379313360704097
ACH-000436,0.3105558825202566
ACH-000444,0.16952628709584586
ACH-000445,0.245353433469234
ACH-000448,0.12715470349141594
ACH-000450,0.15506494716216476
ACH-000452,0.1056367394097201
ACH-000454,0.024594262904929817
ACH-000458,0.0785434499748975
ACH-000459,0.10099606411177987
ACH-000460,0.19561775062402514
ACH-000461,0.05070324861715771
ACH-000463,0.18072012858662725
ACH-000464,0.08969124583598859
ACH-000466,0.10727833685922436
ACH-000467,0.15632729822747327
ACH-000468,0.1260084336047068
ACH-000469,0.06404636122967447
ACH-000470,0.052516117833963
ACH-000471,0.1387627801021771
ACH-000472,0.1514594109924079
ACH-000473,0.1115676865813628
ACH-000475,0.19004926554719875
ACH-000476,0.19308595605675674
ACH-000477,0.170636846345332
ACH-000479,0.028933752772941176
ACH-000480,0.1451816026465699
ACH-000481,0.23161607724690786
ACH-000483,0.1527608233656365
ACH-000484,0.2653353444326548
ACH-000485,0.2399368840984306
ACH-000486,-0.013979330027569127
ACH-000487,0.09752253140738132
ACH-000488,0.1141226750733608
ACH-000490,0.11093748263058964
ACH-000491,0.11357938611128697
ACH-000495,0.11351985049467347
ACH-000496,0.1495103951746279
ACH-000499,0.006560909617400221
ACH-000500,0.13581619098898193
ACH-000502,0.13567596075927332
ACH-000503,0.14524575472849655
ACH-000505,0.13043822018291434
ACH-000507,0.2521719166520977
ACH-000510,0.1183668075655124
ACH-000511,0.11747673362777886
ACH-000512,-0.01265314800612017
ACH-000516,0.19299955060622814
ACH-000517,0.10571395776225108
ACH-000518,0.2185689541382741
ACH-000520,0.18501573599325447
ACH-000521,0.191139096904613
ACH-000522,0.2333516018087656
ACH-000524,0.11007307789989554
ACH-000527,0.1477711133270123
ACH-000528,0.19072347062887385
ACH-000537,0.20054650894083284
ACH-000541,-0.03657260900913623
ACH-000542,0.1663136222979769
ACH-000544,0.14387401655088314
ACH-000545,0.2242684617768172
ACH-000547,0.06378596934458816
ACH-000548,0.10248889301421048
ACH-000549,0.08635120047045562
ACH-000550,0.1468229513022392
ACH-000552,0.1722756473241766
ACH-000556,0.050493658345206964
ACH-000557,0.11930792952755905
ACH-000569,0.3130508462989297
ACH-000570,0.16712976057580453
ACH-000571,0.14047371090322355
ACH-000573,0.15110824306930362
ACH-000576,0.17541046208528058
ACH-000579,0.030775305781696738
ACH-000580,0.1767380327094063
ACH-000584,0.1394825112254294
ACH-000585,0.17332858366881435
ACH-000588,0.0739251283402523
ACH-000589,0.1148103976470376
ACH-000591,0.15295004201018658
ACH-000593,0.15474528760862685
ACH-000600,0.010968701082021626
ACH-000601,0.16772640137123984
ACH-000605,0.06811996926195292
ACH-000606,0.11932089169559587
ACH-000608,0.06565534407184467
ACH-000614,0.1515788747518877
ACH-000616,-0.022954092646531428
ACH-000618,0.17269532937794113
ACH-000619,0.06439538708000493
ACH-000620,0.1071758498948064
ACH-000621,0.1662956168848258
ACH-000622,0.13263828984556533
ACH-000623,0.23558366317585536
ACH-000624,0.12669153235010114
ACH-000627,0.09443295918438284
ACH-000630,0.12098553566922506
ACH-000631,0.0916883919844715
ACH-000632,0.10521229752523678
ACH-000633,0.03982635826790276
ACH-000637,0.2525984742796784
ACH-000638,0.1393954215773843
ACH-000646,0.12660454146855607
ACH-000647,0.18260017796385766
ACH-000648,0.07861856321680441
ACH-000649,0.18040823824132765
ACH-000651,0.1397658218333665
ACH-000652,-0.011379292182761364
ACH-000653,0.16179585476893585
ACH-000657,0.20535708075904768
ACH-000658,0.10893995238409628
ACH-000661,0.09680636611659256
ACH-000662,0.2723766871800994
ACH-000663,0.1371411838439088
ACH-000665,0.1930330927913146
ACH-000671,0.07754935166756234
ACH-000672,0.16738515854955288
ACH-000673,0.1218931501976069
ACH-000676,0.2164131775329621
ACH-000677,0.07515563267998694
ACH-000681,0.23757445539865304
ACH-000683,0.13794282881957645
ACH-000684,0.13840244627852571
ACH-000688,0.15171094982398306
ACH-000693,0.15943433755877762
ACH-000694,0.08447260051165953
ACH-000695,0.04744640156145826
ACH-000696,0.20985965000147302
ACH-000697,0.1021014041209237
ACH-000699,0.0869137260566703
ACH-000701,0.039919068628172495
ACH-000706,0.1066183153269662
ACH-000711,0.10518484439635052
ACH-000713,0.08064432707182558
ACH-000714,0.012206994763107559
ACH-000718,0.10612594627204856
ACH-000720,0.08165182394501892
ACH-000721,0.032280083815823715
ACH-000724,0.2522204053282533
ACH-000725,0.17868242747237892
ACH-000732,0.3122391610551372
ACH-000734,0.14387249557624393
ACH-000735,0.1329563060617947
ACH-000736,-0.018184013549107054
ACH-000738,0.11375118434434354
ACH-000746,0.12511558819567822
ACH-000747,0.17442439193345316
ACH-000748,0.16678989853809234
ACH-000753,0.10580900283913952
ACH-000756,0.06651926045563482
ACH-000757,0.12690560681982202
ACH-000758,0.022968767422407305
ACH-000760,0.1778379797832063
ACH-000762,0.1292803993592883
ACH-000763,0.1793875020772821
ACH-000764,0.26985600085205924
ACH-000765,0.15650419854342834
ACH-000766,0.07184919453576061
ACH-000767,0.2916802647433505
ACH-000768,0.13050316339500995
ACH-000769,0.1419675998956188
ACH-000770,0.13731043459239992
ACH-000771,0.19820753457765244
ACH-000773,0.07591658891775822
ACH-000776,0.06485014709505921
ACH-000777,0.1957299026520772
ACH-000778,0.1028460291905971
ACH-000781,0.11035355869395007
ACH-000782,0.15579263945023386
ACH-000783,0.2050414183046433
ACH-000784,0.08414302361887405
ACH-000785,0.06637178164797239
ACH-000787,0.1335902708722132
ACH-000788,0.18238808831176373
ACH-000791,0.1230403659869256
ACH-000792,0.09622587015631366
ACH-000794,0.027617354563009875
ACH-000796,0.16658037411926396
ACH-000798,0.015633000933047203
ACH-000799,0.15425627750436538
ACH-000800,0.017279944976133284
ACH-000802,0.04447619983844912
ACH-000804,0.12666402182250747
ACH-000805,0.126261193778494
ACH-000809,0.08416147750443839
ACH-000810,0.12835176581109528
ACH-000811,0.12878621419934494
ACH-000817,-0.15756578599843352
ACH-000819,0.1889740665682136
ACH-000820,0.5005170343069272
ACH-000821,0.1131673134098824
ACH-000822,-0.013373284307608379
ACH-000823,0.12245072367183832
ACH-000824,0.15412512054700525
ACH-000827,0.11769476235516255
ACH-000829,0.11252986395263152
ACH-000831,0.14855622317519518
ACH-000832,0.14243140254476808
ACH-000833,0.2289067234436687
ACH-000834,0.06619698426491988
ACH-000835,0.2886183332015879
ACH-000836,0.15271014891653967
ACH-000837,0.14909514706464788
ACH-000838,0.23566625300965086
ACH-000839,0.009869917021802309
ACH-000840,0.15329276927191995
ACH-000841,0.16535336042842505
ACH-000843,0.1172122272553368
ACH-000846,0.0574190333340394
ACH-000847,0.18442110859127764
ACH-000848,0.2507484746509483
ACH-000849,0.09869607252048347
ACH-000851,0.14126729514220618
ACH-000855,0.2579897237375985
ACH-000856,0.11941535152531768
ACH-000858,0.1153049823822597
ACH-000859,0.09226664212235584
ACH-000861,0.09241846002671236
ACH-000862,0.1662497544922791
ACH-000865,0.1974128614268919
ACH-000866,0.09889599945683852
ACH-000867,0.16390614080857047
ACH-000869,0.12117226441605387
ACH-000872,0.22984698823774102
ACH-000873,0.15027560087745973
ACH-000876,-0.047224743755887484
ACH-000878,0.19247891983490034
ACH-000880,0.18484929161749047
ACH-000881,0.14690378799083584
ACH-000882,0.10327045333191234
ACH-000884,0.16713407799973262
ACH-000885,0.11057824257919
ACH-000887,0.16850693800488326
ACH-000889,0.18651551705773986
ACH-000896,0.2549843181074538
ACH-000898,0.13675283060951074
ACH-000900,0.09869479962766692
ACH-000901,0.10636674652974748
ACH-000905,0.1494149116173105
ACH-000906,0.2009414970116009
ACH-000907,0.15666395814687745
ACH-000910,0.14213280717693927
ACH-000911,0.11910630781677965
ACH-000912,0.17952243413303878
ACH-000913,0.14570138430316285
ACH-000915,0.19764788985745016
ACH-000916,0.10852095207954214
ACH-000917,0.20043506722162846
ACH-000920,0.08274390512721355
ACH-000921,0.12487838033744188
ACH-000924,0.13412846255183025
ACH-000926,0.11239956663516934
