,FANCE (2178)
ACH-000004,-0.2637374175337615
ACH-000005,-0.4786732545199838
ACH-000007,0.0632413674245208
ACH-000009,-0.08726639947664865
ACH-000011,-0.07303932908743695
ACH-000012,-0.1020787026041873
ACH-000013,-0.20751125831670336
ACH-000014,-0.23499027919332835
ACH-000015,0.06376500420469962
ACH-000017,-0.12143729703475392
ACH-000018,-0.0842021285552263
ACH-000019,-0.09268163886125252
ACH-000021,-0.20905214013997975
ACH-000022,-0.09121114817409293
ACH-000025,-0.2700491339030062
ACH-000028,-0.1233604007647177
ACH-000030,-0.01568256307283565
ACH-000035,-0.2507138070515674
ACH-000036,-0.2021768363390566
ACH-000037,-0.04505921075322702
ACH-000039,0.13088878292690326
ACH-000040,-0.20829745841864766
ACH-000041,-0.08825695364098009
ACH-000042,-0.005685701685918239
ACH-000045,-0.2625618952561929
ACH-000047,-0.21681119198146476
ACH-000052,-0.3051790270663652
ACH-000053,-0.02420994684924101
ACH-000054,-0.2449692691123159
ACH-000055,-0.1237263039601264
ACH-000060,-0.1665683122684833
ACH-000067,-0.07221793059476701
ACH-000070,0.046574122616926186
ACH-000075,-0.046136182856632735
ACH-000078,-0.17929876177768103
ACH-000082,-0.1685833013450134
ACH-000085,-0.10625646241299834
ACH-000086,-0.021762048874932268
ACH-000087,-0.4658549478365736
ACH-000092,-0.17359508345137953
ACH-000095,-0.06759419450895479
ACH-000097,-0.19921063927551716
ACH-000098,-0.02723217504035272
ACH-000099,-0.20857397474012715
ACH-000108,-0.17247808874505105
ACH-000113,-0.2645033642016376
ACH-000116,-0.17267347233908498
ACH-000118,-0.3962948958380999
ACH-000120,-0.30197157740509856
ACH-000123,-0.21411042562768168
ACH-000127,-0.10920242373523713
ACH-000128,-0.10189786334334604
ACH-000132,-0.35998791089898285
ACH-000133,-0.32278040773932537
ACH-000137,-0.2043384525345521
ACH-000138,-0.01487391956023031
ACH-000142,-0.08040567945087954
ACH-000143,-0.26376552983900664
ACH-000146,-0.11753008314422682
ACH-000148,-0.21632357752603254
ACH-000150,-0.02105886308165905
ACH-000152,-0.33366443275627394
ACH-000153,-0.10154393415964896
ACH-000159,-0.19451825429705533
ACH-000160,-0.04434612554913566
ACH-000163,-0.1236304902776642
ACH-000167,0.1556690530618661
ACH-000168,-0.1865525626879499
ACH-000169,0.01693349283668007
ACH-000178,-0.09762844947787808
ACH-000183,0.013547442092837404
ACH-000188,-0.054169317185989226
ACH-000189,-0.17695109662658667
ACH-000190,-0.17125170486587224
ACH-000198,-0.2466843422560084
ACH-000203,-0.36629160859462817
ACH-000204,-0.1959138057635979
ACH-000206,-0.06974701384925043
ACH-000207,-0.22890800588227386
ACH-000208,-0.21170372391768724
ACH-000210,0.08988049502426172
ACH-000211,-0.22238006572265606
ACH-000215,-0.18730294332529246
ACH-000221,0.016361727578050184
ACH-000222,-0.009785566229322274
ACH-000223,-0.2739963535107344
ACH-000226,-0.013633434401999569
ACH-000227,-0.137458698743207
ACH-000228,-0.2269179077970696
ACH-000231,-0.26138793876755784
ACH-000232,-0.1022211632157142
ACH-000233,-0.29044798896034124
ACH-000234,-0.0899616607806846
ACH-000235,-0.07914117512311677
ACH-000237,-0.3049309979505951
ACH-000238,-0.2587253188776526
ACH-000242,-0.21373198000007304
ACH-000243,-0.07491751518457951
ACH-000244,-0.4200411490113969
ACH-000246,-0.33642255800588555
ACH-000248,-0.1803037846475956
ACH-000250,-0.07336200244537426
ACH-000251,-0.05888335234597224
ACH-000252,-0.18174686676888616
ACH-000253,-0.01691106107058667
ACH-000255,-0.3147766677101532
ACH-000256,-0.3315488056876881
ACH-000257,0.040056162739999665
ACH-000258,-0.09659418337848487
ACH-000259,-0.26156250561465644
ACH-000260,-0.12703606631984835
ACH-000261,-0.22151321825941825
ACH-000262,-0.06205030560040368
ACH-000263,-0.11220764359110606
ACH-000264,-0.1624657164311301
ACH-000265,-0.1845102519416328
ACH-000266,-0.19454521983455889
ACH-000272,-0.13313723667786487
ACH-000274,-0.17086115351165204
ACH-000277,-0.22968957302179144
ACH-000278,-0.36808293589662217
ACH-000279,-0.054333480070418286
ACH-000280,-0.1483093897661982
ACH-000281,-0.1524320898176175
ACH-000288,-0.18051907507165266
ACH-000291,-0.041758969685104924
ACH-000293,-0.16469817818364987
ACH-000294,0.004893668143332832
ACH-000295,-0.21428921910781185
ACH-000296,0.04437882400164162
ACH-000302,-0.1549010817807559
ACH-000304,-0.04291866996433452
ACH-000307,-0.1187106052105874
ACH-000308,-0.1157754438717604
ACH-000310,-0.003501529877739915
ACH-000311,-0.308457246826005
ACH-000312,-0.06444152432764996
ACH-000315,-0.3757545778030657
ACH-000316,-0.4904925897671149
ACH-000317,-0.2803344620995981
ACH-000318,-0.20350776425303785
ACH-000319,-0.2202215194734313
ACH-000320,-0.28898676766384
ACH-000322,-0.1107314741835216
ACH-000323,-0.15019960977376806
ACH-000324,-0.06765605327100832
ACH-000329,-0.027408341736498004
ACH-000330,-0.205319867311906
ACH-000331,-0.034374863341932675
ACH-000332,-0.09679062660612373
ACH-000334,-0.14891259847308894
ACH-000335,-0.3132498198187593
ACH-000336,-0.4204272352592893
ACH-000337,-0.3912848907085184
ACH-000338,-0.15852471972238727
ACH-000339,-0.08787897469425472
ACH-000341,-0.35643877818342234
ACH-000348,-0.11159106647149136
ACH-000350,-0.031648358765045764
ACH-000352,0.057609936526437325
ACH-000356,-0.3245294568818153
ACH-000361,-0.2559660178987352
ACH-000362,-0.3814627973362494
ACH-000363,-0.06321422150073265
ACH-000364,-0.34442416257083946
ACH-000365,-0.4190212473687364
ACH-000366,-0.02152718514070685
ACH-000368,-0.2633025333375113
ACH-000374,-0.3478292925751124
ACH-000375,-0.5114485379650043
ACH-000376,-0.1537450659394803
ACH-000381,-0.008485248823389316
ACH-000383,-0.09374593899223413
ACH-000387,-0.2391321067272336
ACH-000389,-0.15615302661262667
ACH-000390,-0.11173649652447196
ACH-000393,-0.1461054612324792
ACH-000395,0.07276720601309351
ACH-000396,-0.3489056077659116
ACH-000397,-0.13635597904124164
