,ST8SIA1 (6489)
ACH-000206,0.1673082806272009
ACH-000207,0.0549510034093644
ACH-000208,0.19865357335091896
ACH-000210,-0.04161234779953783
ACH-000211,-0.0027762780706603427
ACH-000215,0.0013655814998504026
ACH-000221,0.058726183233047874
ACH-000222,0.08105774557725193
ACH-000223,-0.06672637307485985
ACH-000226,-0.04857301784409938
ACH-000227,0.14478438991611947
ACH-000228,0.08476790469393525
ACH-000231,0.03472307470000291
ACH-000232,-0.07533742123625738
ACH-000233,0.021741117163223002
ACH-000234,0.05351738065129159
ACH-000235,-0.025068542816541976
ACH-000237,0.13354759447733675
ACH-000238,-0.06725087189496068
ACH-000242,-0.09706482617919053
ACH-000243,0.02468440725825289
ACH-000244,0.06398279286697486
ACH-000246,-0.08478587787278064
ACH-000248,-0.021154015188088297
ACH-000250,0.07702696970558806
ACH-000251,0.05656276772733752
ACH-000252,-0.08020612425841242
ACH-000253,0.025002772524145376
ACH-000255,0.0658688292699964
ACH-000256,-0.006673213713711748
ACH-000257,-0.055709747179696005
ACH-000258,-0.1101983225538642
ACH-000259,0.018381715700229825
ACH-000260,0.10671186256006293
ACH-000261,-0.02575673685151321
ACH-000262,0.10281804028524597
ACH-000263,0.0838509648042846
ACH-000264,-0.01402900030830367
ACH-000265,-0.0883510415225045
ACH-000266,-0.09417444559693286
ACH-000272,-0.06424700317669826
ACH-000274,0.028920322350728295
ACH-000277,-0.004608921887761808
ACH-000278,0.0849001866380115
ACH-000279,0.021840954679100442
ACH-000280,0.03198538566333864
ACH-000281,-0.2800751556862644
ACH-000288,0.05851799178317296
ACH-000291,0.01876453523252084
ACH-000293,-0.11037491026461094
ACH-000294,-0.2315973360318991
ACH-000295,0.2327607318192731
ACH-000296,0.13004475306992888
ACH-000302,-0.02356217778363745
ACH-000304,-0.0411136071327307
ACH-000307,-0.07167296262697834
ACH-000308,-0.008732642858304255
ACH-000310,0.05680359704875593
ACH-000311,-0.15470585088851802
ACH-000312,0.008352391111234755
ACH-000315,0.14905351842391806
ACH-000316,0.24831131495356215
ACH-000317,0.008446156359016395
ACH-000318,0.003586769268240134
ACH-000319,0.11080255009641046
ACH-000320,0.05723052510688256
ACH-000322,0.037912033764136426
ACH-000323,-0.09551773128209318
ACH-000324,0.04273612598753767
ACH-000329,0.11740070341133535
ACH-000330,-0.14069888463284907
ACH-000331,0.0749628265004399
ACH-000332,-0.037090657571120365
ACH-000334,-0.1110252829643648
ACH-000335,0.024823689253757008
ACH-000336,0.008959471333587533
ACH-000337,-0.054006884202693485
ACH-000338,0.030115940498990145
ACH-000339,-0.007419625304723094
ACH-000341,0.04134914282005404
ACH-000348,0.04039848259081358
ACH-000350,-0.0572757666268406
ACH-000352,-0.1355283146848147
ACH-000356,0.03598372231899526
ACH-000361,0.1863737426768829
ACH-000362,-0.028870892372723587
ACH-000363,-0.1048336487167749
ACH-000364,0.1643852456257775
ACH-000365,-0.06520645523633402
ACH-000366,0.005754902327068468
ACH-000368,0.01506362416722724
ACH-000374,0.08536727127522603
ACH-000375,-0.06996310004054465
ACH-000376,-0.019072852767461127
ACH-000381,-0.07434673887254205
ACH-000383,-0.0048712266704439
ACH-000387,0.07293153648568534
ACH-000389,-0.02926614385974515
ACH-000390,0.07651149922428263
ACH-000393,0.014128995080400953
ACH-000395,-0.1410190255881534
ACH-000396,0.046736834153094806
ACH-000397,-0.014253041509816248
ACH-000401,-0.04025095734126588
ACH-000402,0.15466557472531134
ACH-000403,-0.06695488933800778
ACH-000404,0.19123662689727955
ACH-000406,0.006245366587066235
ACH-000407,0.0150949963917688
ACH-000408,0.03693800356463265
ACH-000410,0.14901108661073162
ACH-000411,0.12698794482728568
ACH-000414,-0.04368071554323417
ACH-000415,0.14299417195114733
ACH-000416,-0.08004847861558023
ACH-000420,-0.009552588306939523
ACH-000421,-0.047999231163358386
ACH-000424,0.047177155613847326
ACH-000425,0.006799176818756704
ACH-000426,-0.10158247971739637
ACH-000427,0.17657679255065914
ACH-000433,0.007702053143864998
ACH-000435,0.09949266150318994
ACH-000436,0.2282559181044544
ACH-000444,-0.18513788961586924
ACH-000445,0.13090554818208835
ACH-000448,0.06402147714831896
ACH-000450,0.09851551261535124
ACH-000452,-0.1314174747142536
ACH-000454,0.05810290840477141
ACH-000458,0.05928164297899539
ACH-000459,0.07448306567185063
ACH-000460,0.04154476190222288
ACH-000461,0.07957833739896558
ACH-000463,-0.14497588324818214
ACH-000464,0.03814353902605938
ACH-000466,0.11742472947921292
ACH-000467,0.108101340331242
ACH-000468,-0.005933088411880686
ACH-000469,0.0356975472630673
ACH-000470,-0.03380693496031939
ACH-000471,-0.0929700217648873
ACH-000472,-0.027672432105334176
ACH-000473,0.015845989968595698
ACH-000475,0.004567178645047117
ACH-000476,-0.13810668139342652
ACH-000477,-0.09065281811900933
ACH-000479,0.1501439008634033
ACH-000480,0.02475242578026781
ACH-000481,-0.12299671872935974
