,UBE2S (27338)
ACH-000004,-0.6568772006806708
ACH-000005,-0.5151341328173865
ACH-000007,-0.3730558719038037
ACH-000009,-0.4199066156758404
ACH-000011,-0.5427984888209628
ACH-000012,-0.4091415875174048
ACH-000013,-0.5418760312978756
ACH-000014,-0.1475392067666658
ACH-000015,-0.7759039165836452
ACH-000017,-0.3775501424285985
ACH-000018,-0.2782451541694754
ACH-000019,-0.02887041811426389
ACH-000021,-0.3014713637999685
ACH-000022,-0.6054282402315457
ACH-000025,-0.1914599214558058
ACH-000028,-0.2405622828627059
ACH-000030,-0.6480368338527213
ACH-000035,-0.12302623547452055
ACH-000036,-0.21625630829263748
ACH-000037,-0.4909917359659471
ACH-000039,-0.3999684638126542
ACH-000040,-0.4409470116354672
ACH-000041,-0.40218496599487297
ACH-000042,-0.2651170495735165
ACH-000045,-0.3731074875319777
ACH-000047,-0.3289472620967697
ACH-000052,-0.2876911924030786
ACH-000053,-0.3208047171201827
ACH-000054,-0.2272512825300073
ACH-000055,-0.2872741947027057
ACH-000060,-0.4733800077122857
ACH-000067,-0.1927823632392554
ACH-000070,-0.4037317696054236
ACH-000075,-0.3777331888901866
ACH-000078,-0.20692978124188785
ACH-000082,-0.6098427304856072
ACH-000085,-0.3488374451260717
ACH-000086,-0.18338984436489547
ACH-000087,-0.3278194362061664
ACH-000092,-0.1995455831297828
ACH-000095,-0.3195347722618106
ACH-000097,-0.324798609937077
ACH-000098,-0.6964288562827099
ACH-000099,-0.185445543868034
ACH-000108,-0.3612324147208596
ACH-000113,-0.18974153866142185
ACH-000116,-0.3449246763629207
ACH-000118,-0.10867996314940348
ACH-000120,-0.17011647193500326
ACH-000123,-0.5058253472301204
ACH-000127,-0.568295564686297
ACH-000128,-0.2553483828983021
ACH-000132,-0.2858664557600813
ACH-000133,-0.44055264429026497
ACH-000137,-0.3296479387435049
ACH-000138,-0.3902571611805933
ACH-000142,-0.3325454259879384
ACH-000143,-0.2398849718144781
ACH-000146,-0.4067158836791193
ACH-000148,-0.3463298743855351
ACH-000150,-0.2771201153432397
ACH-000152,-0.3495927399087992
ACH-000153,-0.2573844741655562
ACH-000159,-0.13077542952992047
ACH-000160,-0.661131563295098
ACH-000163,-0.2809169389830467
ACH-000167,-0.6239338680469495
ACH-000168,-0.3837349761489413
ACH-000169,-0.4262545216598306
ACH-000178,-0.2575916894342165
ACH-000183,-0.2955497024220307
ACH-000188,-0.6682393352063891
ACH-000189,-0.0013124373025677973
ACH-000190,-0.3376520964843377
ACH-000198,-0.3883190637331388
ACH-000203,0.3484841098146669
ACH-000204,-0.15380335591955369
ACH-000206,-0.5532321896263694
ACH-000207,-0.3998390661401547
ACH-000208,-0.7090413996109787
ACH-000210,-0.5649058164285954
ACH-000211,-0.22320824188569072
ACH-000215,-0.30198994495881554
ACH-000221,-0.36916911191207336
ACH-000222,0.024658694715144355
ACH-000223,0.0523457837321906
ACH-000226,-0.3059829630253069
ACH-000227,-0.17602932310648164
ACH-000228,-0.4114241574313055
ACH-000231,-0.30900974936241044
ACH-000232,-0.3586713686372184
ACH-000233,-0.3767599115995362
ACH-000234,-0.2749795442213013
ACH-000235,-0.32291386295976565
ACH-000237,-0.5326561283204715
ACH-000238,-0.934368678181042
ACH-000242,-0.33542723691620663
ACH-000243,-0.3537210806766208
ACH-000244,-0.6203854923087843
ACH-000246,-0.3965101110731599
ACH-000248,-0.18443672153166496
ACH-000250,-0.5940164983735563
ACH-000251,-0.2344650412239258
ACH-000252,-0.17567542479868725
ACH-000253,-0.18367251398341408
ACH-000255,-0.5243881381608979
ACH-000256,-0.3720235716676732
ACH-000257,-0.14896251664224938
ACH-000258,-0.02903269572972155
ACH-000259,-0.12245602941480138
ACH-000260,-0.3463756912515225
