,FAM171A1 (221061)
ACH-000004,0.0882027523225761
ACH-000005,0.06373012231970643
ACH-000007,0.15766700665494188
ACH-000009,0.10045959250359758
ACH-000011,0.12799157294498498
ACH-000012,0.07128357868089154
ACH-000013,0.076578229508484
ACH-000014,0.02167373322682968
ACH-000015,0.11585207151383213
ACH-000017,0.1150402474312682
ACH-000018,0.22083950364520066
ACH-000019,0.1582124930902966
ACH-000021,0.01511143342293551
ACH-000022,0.12206680740935907
ACH-000025,0.15304854670633822
ACH-000028,0.08026149565626409
ACH-000030,0.08170710280306012
ACH-000035,0.1338583031391176
ACH-000036,0.10381744507570738
ACH-000037,0.1264488341889195
ACH-000039,0.15340384557208872
ACH-000040,0.08118655276127093
ACH-000041,0.0990788321655601
ACH-000042,0.10464179042822107
ACH-000045,-0.016049780837264858
ACH-000047,0.1515785713312945
ACH-000052,0.07898009720227668
ACH-000053,0.11700804520296375
ACH-000054,0.1520282708866116
ACH-000055,-0.009559296711958602
ACH-000060,0.0711891257506471
ACH-000067,0.10031207686415744
ACH-000070,0.04174411219257935
ACH-000075,0.1927165039875219
ACH-000078,-0.010228159564668785
ACH-000082,0.1016359868274202
ACH-000085,0.06273460851187887
ACH-000086,0.2479561244017157
ACH-000087,0.1214573566434756
ACH-000092,0.08299496484585099
ACH-000095,-0.00244386246341734
ACH-000097,0.04824154192074509
ACH-000098,0.15024607679575638
ACH-000099,0.15462625645866485
ACH-000108,0.1052532565438194
ACH-000113,-0.008891162320200513
ACH-000116,0.2030035716116078
ACH-000118,0.04590354892637094
ACH-000120,0.1022129619173899
ACH-000123,0.08134789291991325
ACH-000127,0.06670540239775527
ACH-000128,0.17059568781743675
ACH-000132,0.06479810283234679
ACH-000133,0.14020023970913426
ACH-000137,0.1276845505681874
ACH-000138,0.2342121238599143
ACH-000142,0.15156440455708314
ACH-000143,0.16797804154826576
ACH-000146,0.06112513816889779
ACH-000148,-0.04506691013920377
ACH-000150,0.052218247880503735
ACH-000152,0.1495416112668509
ACH-000153,0.15550108544040067
ACH-000159,0.09778858562670883
ACH-000160,0.03183278951175067
ACH-000163,0.19464912997840647
ACH-000167,0.03878834423637055
ACH-000168,0.1102720053413806
