,RETSAT (54884)
ACH-000004,-0.032188516308913916
ACH-000005,0.11872768337599927
ACH-000007,-0.05360469649388153
ACH-000009,-0.14688226593266954
ACH-000011,-0.11325627100621705
ACH-000012,-0.08686310657912498
ACH-000013,-0.1684336900836284
ACH-000014,-0.11933422836546335
ACH-000015,0.0033568198975677485
ACH-000017,-0.051296855117769616
ACH-000018,-0.09858875647450027
ACH-000019,-0.12491367933137253
ACH-000021,-0.21368750756055696
ACH-000022,-0.13621236316654714
ACH-000025,-0.001925412073517216
ACH-000028,-0.09098483637329627
ACH-000030,-0.13107363868784316
ACH-000035,-0.2326697395210224
ACH-000036,-0.20677115938211205
ACH-000037,-0.1547339249271492
ACH-000039,-0.05138946595877001
ACH-000040,-0.07137145506771883
ACH-000041,-0.0845629096808475
ACH-000042,-0.1859780013133875
ACH-000045,-0.005960028740784313
ACH-000047,0.0823064325907238
ACH-000052,-0.138706290505648
ACH-000053,-0.20767411470322594
ACH-000054,-0.16374873808465046
ACH-000055,-0.20188560091566984
ACH-000060,-0.002718960071685942
ACH-000067,-0.17552149680362955
ACH-000070,-0.05343867183326167
ACH-000075,-0.2697850046292472
ACH-000078,-0.1713799559105963
ACH-000082,-0.015148461612779876
ACH-000085,-0.13377695351735444
ACH-000086,-0.08661806902917572
ACH-000087,-0.4574552203068191
ACH-000092,-0.42422997112615735
ACH-000095,-0.027968660735535552
ACH-000097,-0.1708600395600769
ACH-000098,-0.12797107804562458
ACH-000099,-0.016560285596605925
ACH-000108,-0.10677363678504444
ACH-000113,-0.1067089577178279
ACH-000116,-0.08180865368465122
ACH-000118,-0.11268512391772358
ACH-000120,-0.008583208552139348
ACH-000123,-0.23275731465642954
ACH-000127,-0.2366044640678813
ACH-000128,-0.025320002600318987
ACH-000132,-0.007476436902737735
ACH-000133,-0.2381283396022931
ACH-000137,0.037832395978296116
ACH-000138,0.019163154937351875
ACH-000142,-0.1413913190860662
ACH-000143,-0.09705531671456899
ACH-000146,-0.1086764688360006
ACH-000148,-0.007869049255470153
ACH-000150,-0.2622609569634061
ACH-000152,-0.2416507616043243
ACH-000153,-0.0044898910636183694
ACH-000159,-0.11934031462091685
ACH-000160,-0.06928906552328648
ACH-000163,-0.24652034084637706
ACH-000167,-0.22175124250696612
ACH-000168,-0.09618866091837283
ACH-000169,-0.09585535193787513
ACH-000178,-0.15932866773233195
