,DOK1 (1796)
ACH-000004,0.0019516550198441754
ACH-000005,0.1871612629464018
ACH-000007,-0.09542338711521887
ACH-000009,0.028031906703985858
ACH-000011,-0.0646460561452778
ACH-000012,-0.05529558706097995
ACH-000013,-0.13814043664897527
ACH-000014,-0.08150080157436182
ACH-000015,-0.03985958850941385
ACH-000017,-0.08796510829563803
ACH-000018,-0.07501944174262867
ACH-000019,-0.03599008174463502
ACH-000021,-0.16938378709470772
ACH-000022,-0.15395638903240033
ACH-000025,-0.04814917709655181
ACH-000028,-0.27719464741676186
ACH-000030,-0.09413501123699408
ACH-000035,-0.1838806271241404
ACH-000036,-0.111119996128603
ACH-000037,-0.11328731019752207
ACH-000039,-0.018057147456151282
ACH-000040,-0.05169839203331418
ACH-000041,0.004085747465290571
ACH-000042,-0.0508000270395596
ACH-000045,-0.15597228705591645
ACH-000047,0.07639034830787238
ACH-000052,-0.055301121706899874
ACH-000053,-0.0935699560532342
ACH-000054,-0.12643599607781422
ACH-000055,-0.09783701862329362
ACH-000060,0.04511292940800123
ACH-000067,-0.10639752522781078
ACH-000070,-0.05921882749786795
ACH-000075,-0.08871920243281126
ACH-000078,-0.1178259858537113
ACH-000082,-0.05825778894801189
ACH-000085,-0.06714847610022212
ACH-000086,-0.10636481018915007
ACH-000087,-0.07135418198727808
ACH-000092,-0.16617390980420124
ACH-000095,-0.0431230353301206
ACH-000097,-0.09846867529972243
ACH-000098,-0.045343730635588594
ACH-000099,-0.1298530030695238
ACH-000108,-0.049128490006326235
ACH-000113,-0.07751494476627921
ACH-000116,-0.2908494981430437
ACH-000118,-0.07828522426107487
ACH-000120,-0.05499285448554802
ACH-000123,-0.12803781740855452
ACH-000127,-0.034881560638593656
ACH-000128,-0.1628244091850579
ACH-000132,-0.14698444648127146
ACH-000133,-0.028079064007455058
ACH-000137,-0.0915000066576315
ACH-000138,-0.08331130313840629
ACH-000142,-0.04724903356119967
ACH-000143,-0.004350694456675408
ACH-000146,-0.06427011179674674
ACH-000148,0.011863571470902796
ACH-000150,-0.05026839981064833
ACH-000152,-0.0930965371597519
ACH-000153,-0.1554101610351699
ACH-000159,-0.1007387080766928
ACH-000160,-0.10233584954630942
ACH-000163,-0.03742982460993996
ACH-000167,-0.03646033559402147
ACH-000168,-0.15183642858733282
ACH-000169,-0.16273336613194644
ACH-000178,-0.07658445825109092
ACH-000183,-0.04637918819093244
ACH-000188,-0.18807342571994548
ACH-000189,-0.2450304797858455
ACH-000190,-0.14096844170792236
ACH-000198,-0.11384284051834845
ACH-000203,-0.6492971161117611
ACH-000204,-0.06634942864827505
ACH-000206,-0.002276427362249077
ACH-000207,-0.219126205502249
ACH-000208,-0.3505562993304431
ACH-000210,-0.06622933899296886
ACH-000211,-0.0904846697687432
ACH-000215,-0.15581934285954593
ACH-000221,-0.2380353082204946
ACH-000222,-0.09658297457610124
ACH-000223,-0.11212888121392152
ACH-000226,0.011227560331071671
ACH-000227,-0.08684175190337655
ACH-000228,-0.1697654194636084
ACH-000231,-0.20547927513103648
ACH-000232,-0.06461487044163794
ACH-000233,-0.10515416435064384
ACH-000234,-0.048730923450815714
ACH-000235,-0.08746199596719145
ACH-000237,-0.10062942381244563
ACH-000238,-0.2557533559207017
ACH-000242,-0.3271789711621001
ACH-000243,-0.19096867706811196
ACH-000244,0.08069354248324091
ACH-000246,0.012607940871434764
ACH-000248,-0.10548597518975507
ACH-000250,-0.08478574299175339
ACH-000251,-0.12795568011891076
ACH-000252,0.03261144997194718
ACH-000253,-0.08030545391669876
ACH-000255,-0.2601217853477114
ACH-000256,-0.04380140354038035
ACH-000257,-0.06474511655360836
ACH-000258,-0.1228234866924526
ACH-000259,-0.13320478952484568
ACH-000260,-0.13366942949383506
ACH-000261,-0.05241573370605335
ACH-000262,-0.07930227445963407
ACH-000263,-0.16992050868841874
ACH-000264,-0.09418266447292237
ACH-000265,-0.09022052445007027
