,NEU2 (4759)
ACH-000004,-0.3900365215038392
ACH-000005,-0.4484895282128622
ACH-000007,-0.17285794882213135
ACH-000009,-0.0791049781704131
ACH-000011,-0.1907314524282302
ACH-000012,-0.20640258278660545
ACH-000013,-0.1581906089589028
ACH-000014,-0.2051509108518197
ACH-000015,-0.18862917850280875
ACH-000017,-0.11899071345111095
ACH-000018,-0.20315125381104648
ACH-000019,-0.07815814752114238
ACH-000021,-0.0293514784080989
ACH-000022,-0.19355547485558736
ACH-000025,-0.1679951323552938
ACH-000028,-0.03901972508527708
ACH-000030,-0.004071339232730319
ACH-000035,-0.08352269143828749
ACH-000036,-0.1108766201140842
ACH-000037,-0.26374369159081584
ACH-000039,-0.2034022601021546
ACH-000040,-0.17220592607993676
ACH-000041,-0.2658941036788776
ACH-000042,-0.23883945221603306
ACH-000045,-0.16498561426327354
ACH-000047,-0.20528579031443145
ACH-000052,-0.20590583653937009
ACH-000053,-0.23506832896687105
ACH-000054,-0.15645012962907187
ACH-000055,-0.24880279221888724
ACH-000060,-0.0893326570859258
ACH-000067,-0.2316736553684834
ACH-000070,-0.03539885386770772
ACH-000075,-0.15391015413211526
ACH-000078,-0.1551563907824122
ACH-000082,-0.1350758496031312
ACH-000085,-0.3431204362085706
ACH-000086,-0.04328108225434557
ACH-000087,-0.2857685140488546
ACH-000092,-0.1417028972518345
ACH-000095,-0.18194199377087544
ACH-000097,-0.19614042164316026
ACH-000098,-0.18957266773052775
ACH-000099,-0.19516934432346053
ACH-000108,-0.24436772114121644
ACH-000113,-0.13806006007239924
ACH-000116,-0.17153267818711734
ACH-000118,-0.14904289507895932
ACH-000120,-0.3389688883084582
ACH-000123,-0.08501764716032148
ACH-000127,-0.14453578074413226
ACH-000128,-0.16623223653823896
ACH-000132,-0.2253193524943969
ACH-000133,-0.12747012051517198
ACH-000137,-0.2290156236364403
ACH-000138,-0.2108527815607186
ACH-000142,-0.1903968931650739
ACH-000143,-0.43194732669966895
ACH-000146,-0.1645287326333424
ACH-000148,-0.10272192402150053
ACH-000150,-0.28135655453691705
ACH-000152,-0.2403877030187306
ACH-000153,0.02950255658792612
ACH-000159,-0.1063980521598182
ACH-000160,-0.0495922220908383
ACH-000163,-0.2386465347676175
ACH-000167,-0.3479303407973344
ACH-000168,-0.3312783875311653
ACH-000169,-0.19814596369836274
ACH-000178,-0.13089329001255431
ACH-000183,-0.16610132561254742
ACH-000188,-0.13054696307988986
ACH-000189,-0.11094770126073927
ACH-000190,-0.12338031853888788
ACH-000198,-0.2207815619858943
ACH-000203,0.1567545690712465
ACH-000204,-0.3894342036976507
ACH-000206,-0.1519283782820321
ACH-000207,-0.2392465347694581
ACH-000208,-0.14393068751799412
ACH-000210,-0.19831466694860267
ACH-000211,-0.14611112368080106
ACH-000215,-0.14475478710409606
ACH-000221,-0.13368215478532522
ACH-000222,-0.12704829631177175
ACH-000223,-0.20239450226233
ACH-000226,-0.016745296362675112
ACH-000227,-0.1765964613789872
ACH-000228,-0.0688541338035525
ACH-000231,-0.10554681072618748
ACH-000232,-0.12533356055359604
ACH-000233,-0.2047220036179041
ACH-000234,-0.31857082111085666
ACH-000235,-0.2098843562162308
ACH-000237,-0.28942344781178525
ACH-000238,-0.016680800774189024
ACH-000242,-0.2827445121467898
ACH-000243,-0.09899425207342097
ACH-000244,-0.14147915858094956
ACH-000246,-0.1466554255076427
ACH-000248,-0.08969122080638761
ACH-000250,-0.2745955833732002
ACH-000251,-0.1593985360029258
ACH-000252,-0.027084583083420287
ACH-000253,-0.2659778508167321
ACH-000255,-0.14526171529612014
ACH-000256,-0.23217021606336494
ACH-000257,-0.0854163862968657
ACH-000258,-0.08063925872797427
ACH-000259,-0.16589165612826218
ACH-000260,-0.11960177133546378
ACH-000261,-0.1356766519690813
ACH-000262,-0.13442228121225258
ACH-000263,-0.0032403721275911525
ACH-000264,-0.2092292670035671
ACH-000265,-0.06760200689643739
ACH-000266,-0.2499506708403521
ACH-000272,-0.11897531225923523
ACH-000274,-0.12279990805794178
ACH-000277,-0.2360275223959383
ACH-000278,-0.1363590618488547
ACH-000279,-0.2121682643435828
ACH-000280,0.08406833137963922
ACH-000281,-0.4358065837049158
ACH-000288,-0.2988946375871874
ACH-000291,-0.15636158082127755
ACH-000293,0.006689572247689053
ACH-000294,-0.08676009759514927
ACH-000295,-0.27885756179565346
ACH-000296,-0.10061969492577776
ACH-000302,-0.09073460843632347
ACH-000304,-0.28756468079562475
ACH-000307,-0.15673196151938787
ACH-000308,-0.1801491021377659
ACH-000310,-0.3044994073323633
ACH-000311,-0.10817261071149556
ACH-000312,-0.2582567136035634
ACH-000315,-0.42685219968254295
ACH-000316,-0.17433600088302054
ACH-000317,-0.20523676619930428
ACH-000318,0.026728784843452816
ACH-000319,-0.051840800066149266
ACH-000320,-0.19816644684235502
ACH-000322,-0.05947413239912206
ACH-000323,-0.1900466296553312
ACH-000324,-0.11211715679670667
ACH-000329,-0.2511331480392144
ACH-000330,-0.17000684750989795
ACH-000331,-0.2324441853654923
ACH-000332,-0.2263075056526767
ACH-000334,0.0101897803268912
ACH-000335,-0.3902991181245535
ACH-000336,-0.1338923750207509
ACH-000337,-0.08136540038591049
ACH-000338,-0.0512773864668071
ACH-000339,-0.10536657230566193
ACH-000341,-0.10635514630683313
ACH-000348,-0.2117552102250016
ACH-000350,-0.18790350545469367
ACH-000352,-0.12884969608403282
ACH-000356,-0.1940821230081377
ACH-000361,-0.07047525310707482
ACH-000362,-0.12654320801096902
ACH-000363,-0.16340595745368233
ACH-000364,0.06720722633680644
ACH-000365,-0.14909370707706818
ACH-000366,-0.14032556432046575
ACH-000368,-0.2392817045570244
ACH-000374,-0.07749904493713758
ACH-000375,-0.12425323737684263
ACH-000376,-0.2983455783398907
ACH-000381,-0.19098304191567184
ACH-000383,-0.11894336286269044
ACH-000387,-0.1763690588018669
ACH-000389,-0.3140266298253182
ACH-000390,-0.06697333687837698
ACH-000393,-0.23528244666819706
ACH-000395,-0.1727693057702634
ACH-000396,-0.2528884339242833
ACH-000397,-0.2109448397941566
ACH-000401,-0.1489567036772646
ACH-000402,-0.181830146675484
ACH-000403,-0.20621707523808525
ACH-000404,-0.20915823661081334
ACH-000406,-0.18208471193698167
ACH-000407,-0.2354618506534505
ACH-000408,-0.3267172468952944
ACH-000410,-0.2423054949627199
ACH-000411,-0.27944633906594396
ACH-000414,-0.17483354958875158
ACH-000415,-0.0865240747736113
