,NARS (4677)
ACH-000004,-0.9564587522633424
ACH-000005,-0.8585424428147245
ACH-000007,-1.1473763278358686
ACH-000009,-1.2020043362948218
ACH-000011,-0.8559521256246372
ACH-000012,-1.2121185182500511
ACH-000013,-1.2868168577773185
ACH-000014,-1.2323475259482055
ACH-000015,-1.2186605123064953
ACH-000017,-1.1172514962121514
ACH-000018,-1.2664333907773213
ACH-000019,-1.1816738774078237
ACH-000021,-1.277868022479978
ACH-000022,-1.1978047703509231
ACH-000025,-1.380801582512458
ACH-000028,-1.3384202994085332
ACH-000030,-1.2085757805137722
ACH-000035,-1.1983500254640702
ACH-000036,-1.253869858174635
ACH-000037,-1.2982666687084727
ACH-000039,-1.3549434577166075
ACH-000040,-1.2200432758065678
ACH-000041,-1.0213480206095076
ACH-000042,-1.2499355436751067
ACH-000045,-1.1368071994180016
ACH-000047,-1.051479782782522
ACH-000052,-1.1801101676857777
ACH-000053,-1.1899747454262422
ACH-000054,-1.2772199135014588
ACH-000055,-1.3217389532680348
ACH-000060,-1.2251686736032874
ACH-000067,-1.1432418544635183
ACH-000070,-1.1294384662112498
ACH-000075,-1.423513703651244
ACH-000078,-1.2433102156687634
ACH-000082,-1.1284637483273627
ACH-000085,-1.2718346044231024
ACH-000086,-1.256737672703436
ACH-000087,-1.295403087985007
ACH-000092,-0.9207227009186588
ACH-000095,-1.257301888987338
ACH-000097,-1.0740848191864676
ACH-000098,-1.4153959662253437
ACH-000099,-1.0759646412674146
ACH-000108,-1.1860156578923484
ACH-000113,-1.1656333641954637
ACH-000116,-1.188221330408909
ACH-000118,-1.047578709873831
ACH-000120,-1.0580350237806349
ACH-000123,-1.106398322543812
ACH-000127,-1.1567104511623656
ACH-000128,-1.2046887771373744
ACH-000132,-1.532894603520344
ACH-000133,-1.2371428725895035
ACH-000137,-1.3472285126951324
ACH-000138,-1.2071540728456842
ACH-000142,-1.212082860656672
ACH-000143,-1.2034622488281017
ACH-000146,-1.049622307349677
ACH-000148,-1.154411587893306
ACH-000150,-1.3060433369691502
ACH-000152,-1.2069883612925332
ACH-000153,-1.2099892199719573
ACH-000159,-1.2722691626600555
ACH-000160,-1.1474129121417405
ACH-000163,-1.1187512527089083
ACH-000167,-1.7097635517537475
ACH-000168,-1.062135936002607
ACH-000169,-1.1680631821515044
ACH-000178,-1.0594267341884085
ACH-000183,-1.2622498061561562
ACH-000188,-1.276392553269196
ACH-000189,-1.0837392727590889
ACH-000190,-1.1782669853432686
ACH-000198,-1.073091962667345
ACH-000203,-1.4219066771426192
ACH-000204,-1.2504426238823994
ACH-000206,-1.1134107792702923
ACH-000207,-1.2891028183276192
ACH-000208,-1.2730640516274725
ACH-000210,-1.2561470183747676
ACH-000211,-1.3592824580587808
ACH-000215,-1.2376216129060678
ACH-000221,-1.5315492496476408
ACH-000222,-1.378500446999279
ACH-000223,-1.7153973273355712
ACH-000226,-1.0080779764876806
ACH-000227,-0.8877003303364202
ACH-000228,-1.3597166981338826
ACH-000231,-1.2583886989055575
ACH-000232,-1.5267210388908574
ACH-000233,-1.1104538237615016
ACH-000234,-1.2974507355886076
ACH-000235,-1.2728943922867422
ACH-000237,-1.193603579450334
ACH-000238,-1.0687261714052327
ACH-000242,-1.2233153370624514
ACH-000243,-1.1738132880213814
ACH-000244,-1.0407707783984133
ACH-000246,-1.1658067872761508
ACH-000248,-1.3313390118241828
ACH-000250,-1.1447085268849733
ACH-000251,-1.1806215789696926
ACH-000252,-1.327693308785764
ACH-000253,-1.23504734124529
ACH-000255,-1.075397627672475
ACH-000256,-1.2286666187156399
ACH-000257,-1.1606489018237818
ACH-000258,-1.018786840271665
ACH-000259,-1.1792649672978597
ACH-000260,-1.1001266302220212
ACH-000261,-1.405864555324318
ACH-000262,-1.2230455584131867
ACH-000263,-1.2728684535656851
ACH-000264,-1.5672992862757122
ACH-000265,-1.2674541553827705
ACH-000266,-1.33041452583152
ACH-000272,-1.0075297376286696
ACH-000274,-1.1690180552176346
ACH-000277,-1.2795799689709646
ACH-000278,-1.2806348004427928
ACH-000279,-1.2561195705738089
ACH-000280,-1.1378605220795783
ACH-000281,-1.503119860266383
ACH-000288,-1.17818645542298
ACH-000291,-1.3773521606888617
ACH-000293,-0.9715030839049442
ACH-000294,-0.7176992100352513
ACH-000295,-1.1061276060469605
ACH-000296,-1.2658293778654317
ACH-000302,-1.2704755280027904
ACH-000304,-1.0321648729969832
ACH-000307,-1.3549905254676198
ACH-000308,-1.6115804918724503
ACH-000310,-1.274293201267434
ACH-000311,-1.1618135383039851
ACH-000312,-1.3005239535169042
ACH-000315,-1.3445512504402573
ACH-000316,-1.1721957554768103
ACH-000317,-0.8476211907745185
ACH-000318,-1.0503907405622952
ACH-000319,-1.369897865061853
ACH-000320,-1.3673792347224107
ACH-000322,-1.3368933631927695
ACH-000323,-1.3996362695323967
ACH-000324,-1.0427312402881757
ACH-000329,-1.047893640919168
ACH-000330,-1.437981967684969
ACH-000331,-1.1165025759806515
ACH-000332,-1.0621362769246523
ACH-000334,-1.2486773796199444
ACH-000335,-0.9738386340165284
ACH-000336,-1.1658268705320174
ACH-000337,-1.3069377001336642
ACH-000338,-1.2571197583388631
ACH-000339,-1.2198732520059032
ACH-000341,-1.0525831323699897
ACH-000348,-1.1504652279869023
ACH-000350,-1.1485152638967404
ACH-000352,-1.3081131829452042
ACH-000356,-1.5101634031070363
ACH-000361,-1.2366500714262447
ACH-000362,-1.022522312524575
ACH-000363,-0.5971669692463112
ACH-000364,-1.403081209818312
ACH-000365,-0.9806054870590526
ACH-000366,-1.3122724120008684
ACH-000368,-1.2381463452954915
ACH-000374,-1.097964805988191
ACH-000375,-0.8885101919617295
ACH-000376,-1.2355703178996862
ACH-000381,-1.3336039286704842
ACH-000383,-1.287376396671112
ACH-000387,-0.9647440327334508
ACH-000389,-1.0188340873912802
ACH-000390,-1.2791290257532402
ACH-000393,-1.5057043857947794
ACH-000395,-1.1412626605988614
ACH-000396,-1.4964757836309983
ACH-000397,-1.4890837806724289
ACH-000401,-0.918994279884978
ACH-000402,-1.3244270578308213
ACH-000403,-1.6200794143921635
ACH-000404,-1.3721078496625478
ACH-000406,-1.1037652793966632
ACH-000407,-1.3832680175437504
ACH-000408,-1.3101566347855509
ACH-000410,-1.1576647064329708
ACH-000411,-0.9398215791405696
ACH-000414,-1.1548250311622323
ACH-000415,-1.2863569352632072
ACH-000416,-1.2939904443906531
ACH-000420,-1.263475464865316
ACH-000421,-1.1633909407301708
ACH-000424,-1.3374134131986202
ACH-000425,-1.436927030039771
ACH-000426,-1.2866388815061458
ACH-000427,-1.2614732364903234
ACH-000433,-1.3249368944934203
ACH-000435,-1.1846677097098532
ACH-000436,-0.9744632502622148
ACH-000444,-1.2961726901143011
ACH-000445,-1.4440032322444099
ACH-000448,-1.0956702831900809
ACH-000450,-1.096449434197649
ACH-000452,-1.3543455184078799
ACH-000454,-1.0331128106305798
ACH-000458,-1.051314682948491
ACH-000459,-0.6151113152877548
