,EPM2AIP1 (9852)
ACH-000004,-0.04348747983319731
ACH-000005,-0.10250753381428022
ACH-000007,0.01571587822769852
ACH-000009,-0.12829363116961445
ACH-000011,-0.10997368117735826
ACH-000012,-0.18227132117734776
ACH-000013,-0.08588625254235914
ACH-000014,-0.08362168807414233
ACH-000015,-0.12124114735896882
ACH-000017,-0.22176093954645332
ACH-000018,-0.08100020984527115
ACH-000019,0.07521654064043133
ACH-000021,-0.082600477299775
ACH-000022,-0.15332978955680254
ACH-000025,-0.2316673728675383
ACH-000028,-0.01598599257352801
ACH-000030,-0.12839293379903868
ACH-000035,-0.1857918264937279
ACH-000036,-0.2181969203952292
ACH-000037,-0.2538638090588093
ACH-000039,-0.1209562035235506
ACH-000040,-0.22642151251029216
ACH-000041,-0.07889476095524825
ACH-000042,-0.1981477410374554
ACH-000045,-0.09709000812822667
ACH-000047,-0.15031358509106935
ACH-000052,-0.07888928581237192
ACH-000053,-0.19255499327641565
ACH-000054,-0.13544550443712258
ACH-000055,-0.12667972939525374
ACH-000060,-0.30546404108739555
ACH-000067,-0.21007777003820294
ACH-000070,-0.2809445121835561
ACH-000075,-0.2146483823001301
ACH-000078,-0.2487630154612133
ACH-000082,-0.06701536345270008
ACH-000085,-0.24000495999604554
ACH-000086,-0.16984320081100784
ACH-000087,0.03269244379486316
ACH-000092,-0.2524863102956824
ACH-000095,-0.20474720419779574
ACH-000097,-0.05060833981506624
ACH-000098,-0.2927843385459223
ACH-000099,-0.1656614180797352
ACH-000108,-0.1232694023499368
ACH-000113,-0.0823795178763619
ACH-000116,-0.18439285759299465
ACH-000118,-0.035858787036980214
ACH-000120,-0.08227941605002377
ACH-000123,-0.14811110140414893
ACH-000127,-0.2294908381313775
ACH-000128,-0.07840786790670262
ACH-000132,-0.18447218805303986
ACH-000133,-0.19974190066100095
ACH-000137,-0.1427438349751755
ACH-000138,-0.18908246535892334
ACH-000142,-0.047249590628123374
ACH-000143,0.0013871468031884068
ACH-000146,-0.24806531704020016
ACH-000148,-0.11800444938098127
ACH-000150,-0.25814452824730505
ACH-000152,-0.05046138806639538
ACH-000153,-0.040739540791489684
ACH-000159,-0.2245570422412293
ACH-000160,-0.0990923046820804
ACH-000163,-0.0618714017369008
ACH-000167,-0.19512125208310716
ACH-000168,-0.38953598491183583
ACH-000169,-0.17982130396377732
ACH-000178,-0.2317571008210256
ACH-000183,-0.3271808563432918
ACH-000188,-0.07096994315637044
ACH-000189,-0.07695526652545928
ACH-000190,-0.2010044713745419
ACH-000198,-0.1346076634015172
ACH-000203,0.3184998654355989
ACH-000204,-0.01738112200715684
ACH-000206,-0.4077376888140952
ACH-000207,-0.18441500381475764
ACH-000208,-0.2626101195477049
ACH-000210,-0.01533739721279884
ACH-000211,-0.23746674310585336
ACH-000215,-0.07982320909781956
ACH-000221,-0.10363922874300308
ACH-000222,0.12952429434363655
ACH-000223,-0.1531019307483081
ACH-000226,-0.05240712762528088
ACH-000227,-0.16312506720923467
ACH-000228,-0.28033945408043925
ACH-000231,-0.12379014375092387
ACH-000232,-0.2607483477077429
ACH-000233,-0.13521100099608468
ACH-000234,-0.24853576542517586
ACH-000235,-0.1053191758914037
ACH-000237,-0.2635416239436917
ACH-000238,-0.08032666537321638
ACH-000242,0.16295465553308291
ACH-000243,-0.14875690942532596
ACH-000244,-0.3121990629274801
ACH-000246,-0.2387846682220648
ACH-000248,-0.07151531249794991
ACH-000250,-0.2281204908077261
ACH-000251,-0.2150978560306694
ACH-000252,0.012100948465980577
ACH-000253,-0.16547798301405395
