,CDC25A (993)
ACH-000004,-0.3532296242163437
ACH-000005,-0.5332215393011094
ACH-000007,0.08695563627036687
ACH-000009,-0.3540274999893197
ACH-000011,-0.0330486204055485
ACH-000012,-0.20092715743402215
ACH-000013,-0.230829750124256
ACH-000014,-0.03996813173591735
ACH-000015,-0.19059333231184666
ACH-000017,-0.11790081468384918
ACH-000018,-0.3680633652738141
ACH-000019,-0.07764148028803748
ACH-000021,-0.2950767298009993
ACH-000022,-0.2292345289045734
ACH-000025,-0.1882362750827093
ACH-000028,-0.29216935471528666
ACH-000030,-0.2501010662343324
ACH-000035,-0.20920084732434546
ACH-000036,-0.2814739125768068
ACH-000037,-0.2649196548818181
ACH-000039,-0.1476110552744874
ACH-000040,-0.18107116898833936
ACH-000041,-0.16249349615245426
ACH-000042,-0.27257713277659024
ACH-000045,-0.06463008872515623
ACH-000047,-0.2520554153679248
ACH-000052,-0.32482774646741164
ACH-000053,-0.26986257739488223
ACH-000054,-0.16131120870127985
ACH-000055,-0.3918038000768799
ACH-000060,-0.20616106555057687
ACH-000067,-0.5046357729125167
ACH-000070,-0.2709462360633474
ACH-000075,-0.19595756541302808
ACH-000078,-0.19782435964195394
ACH-000082,-0.16399946711646932
ACH-000085,0.05829142879204952
ACH-000086,-0.2473452339331456
ACH-000087,-0.3433178713498112
ACH-000092,-0.1989942681741436
ACH-000095,-0.35001517538793603
ACH-000097,-0.11846830037316232
ACH-000098,-0.12566198565789735
ACH-000099,-0.1960557406647533
ACH-000108,-0.2464199970060923
ACH-000113,-0.15343526209062006
ACH-000116,-0.6699801856392222
ACH-000118,-0.3484453812741471
ACH-000120,-0.1580754956743386
ACH-000123,-0.13442304300758745
ACH-000127,-0.19894038151036933
ACH-000128,-0.08693801479847478
ACH-000132,-0.19828420025047624
ACH-000133,-0.2903333957827685
ACH-000137,-0.2305654800430842
ACH-000138,-0.2389138318058953
ACH-000142,-0.17667437068260136
ACH-000143,-0.7322432617206663
ACH-000146,-0.4375950806676376
ACH-000148,-0.15228955979423242
ACH-000150,-0.3002489991052663
ACH-000152,-0.10492517521581922
ACH-000153,-0.0877213890755067
ACH-000159,-0.06990456654115852
ACH-000160,-0.23632963614465985
ACH-000163,-0.2266129876989565
ACH-000167,-0.23800293346241996
ACH-000168,-0.19980303672973204
ACH-000169,-0.1650939698487162
ACH-000178,-0.30195686832688656
ACH-000183,-0.3339305425197772
ACH-000188,-0.19256656872655256
ACH-000189,-0.06147856362214282
ACH-000190,-0.14830051781555548
ACH-000198,-0.1152232516606406
ACH-000203,-0.5138705235619923
ACH-000204,-0.3090481705364152
ACH-000206,-0.29339878472063563
ACH-000207,-0.2568691143162196
ACH-000208,-0.2299820786588764
ACH-000210,-0.03460856001706243
ACH-000211,-0.3118257700846757
ACH-000215,-0.16158812517561846
ACH-000221,-0.34679695564618324
ACH-000222,-0.3686966266779957
ACH-000223,-0.2818942594724099
ACH-000226,-0.20285738815915808
ACH-000227,-0.5767767637234138
ACH-000228,-0.3809910568794382
ACH-000231,-0.34375100580723583
ACH-000232,-0.1636279900654539
ACH-000233,-0.1266939627444741
ACH-000234,-0.31001344577812484
ACH-000235,-0.1146124604057032
ACH-000237,-0.12344656697675248
ACH-000238,-0.6273860772090489
ACH-000242,-0.29180014072228594
ACH-000243,-0.25475548182006497
ACH-000244,-0.2083348430903474
ACH-000246,-0.140964597918511
ACH-000248,-0.14426017837958172
ACH-000250,-0.19385383928565075
ACH-000251,-0.3229831602798342
ACH-000252,-0.12254073344963083
ACH-000253,-0.14712404468475418
ACH-000255,-0.09002561794852544
ACH-000256,-0.38712252088182203
ACH-000257,-0.4069611094378277
ACH-000258,-0.2019427408549612
ACH-000259,-0.2863626249847601
ACH-000260,-0.1226844805903066
ACH-000261,-0.2854696972673332
ACH-000262,-0.07312717939934857
ACH-000263,-0.3728276853144643
ACH-000264,-0.3695358895865127
ACH-000265,-0.1841634236474116
ACH-000266,-0.1157023288621616
ACH-000272,-0.1965694311850668
ACH-000274,-0.31459218564704833
ACH-000277,-0.16640630509173976
