,SERINC3 (10955)
ACH-000004,0.06143246209288027
ACH-000005,-0.3187557919622893
ACH-000007,-0.13741445936519764
ACH-000009,-0.3148437744212566
ACH-000011,-0.1465165760919571
ACH-000012,-0.15352000993867035
ACH-000013,-0.05889684806033935
ACH-000014,-0.3640879831751913
ACH-000015,-0.11685909142544075
ACH-000017,-0.19755019226243328
ACH-000018,-0.011211020637969858
ACH-000019,-0.14477648857740408
ACH-000021,-0.16874266490715947
ACH-000022,-0.21041476081149893
ACH-000025,-0.09152223557005644
ACH-000028,-0.06722887376153762
ACH-000030,-0.2068324863806752
ACH-000035,-0.092406931123467
ACH-000036,-0.13326702854303255
ACH-000037,-0.08506766029839072
ACH-000039,-0.060462255643986086
ACH-000040,-0.1772529379941044
ACH-000041,-0.15030423966992054
ACH-000042,-0.2910756045278477
ACH-000045,-0.1864258300249976
ACH-000047,-0.14780017942162085
ACH-000052,-0.31406155610721026
ACH-000053,-0.05310523879500048
ACH-000054,-0.12672283843068488
ACH-000055,-0.04368617382233639
ACH-000060,-0.17132526089629627
ACH-000067,-0.18625813037144592
ACH-000070,-0.09465382326553387
ACH-000075,-0.3817454261626495
ACH-000078,-0.04394666863601071
ACH-000082,-0.1550549061733958
ACH-000085,-0.11682503170076484
ACH-000086,-0.06377361839762362
ACH-000087,0.04922725287703562
ACH-000092,-0.08681839856342717
ACH-000095,-0.12554641956630094
ACH-000097,-0.3771923719060665
ACH-000098,-0.12162787939892893
ACH-000099,-0.15185550598057712
ACH-000108,-0.17972832576692666
ACH-000113,-0.15408981995584667
ACH-000116,-0.11800378004609485
ACH-000118,-0.1429030015650749
ACH-000120,-0.08823658603551712
ACH-000123,-0.10207392699501527
ACH-000127,-0.19527925187050876
ACH-000128,-0.1058793753712268
ACH-000132,-0.09232621992899427
ACH-000133,-0.26093221596291205
ACH-000137,-0.024807566568826538
ACH-000138,-0.11273919139711365
ACH-000142,0.015206782710928625
ACH-000143,-0.2210167831029451
ACH-000146,-0.1380174606588343
ACH-000148,-0.19449105933097566
ACH-000150,-0.0669239886600173
ACH-000152,0.03781627506905988
ACH-000153,-0.07190019100546716
ACH-000159,-0.15000596819890707
ACH-000160,-0.22685494623309266
ACH-000163,-0.2158770532775319
ACH-000167,-0.1882155246607128
ACH-000168,-0.1826239977574523
ACH-000169,-0.18565800841813188
ACH-000178,-0.13766000034858644
ACH-000183,-0.19557295945830064
ACH-000188,-0.06641621975482404
ACH-000189,-0.10721872685536504
ACH-000190,-0.13833073032366475
ACH-000198,-0.13014972115480325
ACH-000203,-0.20475030139261965
ACH-000204,-0.18520775865660707
ACH-000206,-0.07429157141068897
ACH-000207,-0.1518868340427409
ACH-000208,-0.019973495466801997
ACH-000210,-0.2153347848671293
ACH-000211,-0.16160584766274302
ACH-000215,-0.1808160379547673
ACH-000221,-0.25222305797393585
ACH-000222,-0.3555280378592045
ACH-000223,-0.08598347753292387
ACH-000226,-0.07781278919091889
ACH-000227,-0.05355160095943515
ACH-000228,-0.18897469302413408
ACH-000231,-0.2146856740595432
ACH-000232,-0.1292937007474488
ACH-000233,-0.10334104797228487
ACH-000234,-0.18872041238332532
ACH-000235,-0.20681047386265328
ACH-000237,-0.07305411195093887
ACH-000238,-0.13423449575634847
ACH-000242,-0.09426293474214267
ACH-000243,-0.17155889909078145
ACH-000244,0.0667342263215365
ACH-000246,-0.10164743319565316
ACH-000248,-0.15529997749257407
