,CDC5L (988)
ACH-000004,-1.3459056149108257
ACH-000005,-1.4406912371530831
ACH-000007,-1.4454795082049599
ACH-000009,-1.2787957175860696
ACH-000011,-1.3582354353083093
ACH-000012,-1.174099969080192
ACH-000013,-1.3840503012482266
ACH-000014,-1.1691607014530678
ACH-000015,-1.1359885601444957
ACH-000017,-1.4302568043514052
ACH-000018,-1.205832416628583
ACH-000019,-1.3062560443919031
ACH-000021,-1.0778571735671116
ACH-000022,-1.3054120066706445
ACH-000025,-0.9226299712048353
ACH-000028,-1.0733594668095698
ACH-000030,-1.2317084869107044
ACH-000035,-1.3297864311393242
ACH-000036,-1.1215726987742325
ACH-000037,-1.4361517948988836
ACH-000039,-1.5785518692102867
ACH-000040,-0.9123076959608964
ACH-000041,-1.3157294725591806
ACH-000042,-1.356338704126223
ACH-000045,-1.334639623971842
ACH-000047,-1.160814540845608
ACH-000052,-1.2036808798273275
ACH-000053,-1.3468893834054059
ACH-000054,-0.9995502060210348
ACH-000055,-1.0454076075670036
ACH-000060,-1.2599141299493215
ACH-000067,-1.3547821174305057
ACH-000070,-1.2130150520277898
ACH-000075,-1.057656918681814
ACH-000078,-1.2756022227538375
ACH-000082,-1.3329017134182428
ACH-000085,-1.4813564729591924
ACH-000086,-1.0121094206394965
ACH-000087,-1.1609331283027522
ACH-000092,-1.037088345067806
ACH-000095,-1.2456174152935058
ACH-000097,-1.2124533382544755
ACH-000098,-1.0460590741442322
ACH-000099,-1.0630143690294562
ACH-000108,-1.3433444044282286
ACH-000113,-1.2290159934385685
ACH-000116,-1.332602426378758
ACH-000118,-1.2456974155973028
ACH-000120,-1.140876475583413
ACH-000123,-1.2212359260779126
ACH-000127,-1.2956343586521426
ACH-000128,-1.4037700895380734
ACH-000132,-0.8357639854748674
ACH-000133,-1.1797601261623096
ACH-000137,-1.0726060329536962
ACH-000138,-1.1229578856736966
ACH-000142,-1.3954467774895725
ACH-000143,-1.2794078019657258
ACH-000146,-1.1820484056880916
ACH-000148,-1.328391263232812
ACH-000150,-1.0245299806423074
ACH-000152,-1.0330791505952337
ACH-000153,-1.1646349477075042
ACH-000159,-1.1813991998362543
ACH-000160,-0.8631092464664367
ACH-000163,-0.9936590112068228
ACH-000167,-0.9183857790926904
ACH-000168,-1.1990062344512344
ACH-000169,-1.3158043551394512
ACH-000178,-1.1628264822712815
ACH-000183,-1.2554921055917567
ACH-000188,-1.2706344143909725
ACH-000189,-1.0937833138602204
ACH-000190,-0.8018325299017915
ACH-000198,-1.112831253009434
ACH-000203,-1.3003343346414462
ACH-000204,-0.9451327864799872
ACH-000206,-1.128785899705081
ACH-000207,-1.2884911675274642
ACH-000208,-0.737833525472575
ACH-000210,-0.8334548222899273
ACH-000211,-1.127972253470802
ACH-000215,-1.0912209914436863
ACH-000221,-1.4635881858022055
ACH-000222,-0.9273505633280597
ACH-000223,-1.2830946174570022
ACH-000226,-1.1050986889339198
ACH-000227,-1.5934683936499494
ACH-000228,-1.136305703414357
ACH-000231,-1.130928805646222
ACH-000232,-1.3220973808875287
ACH-000233,-1.31095795735269
ACH-000234,-1.0308253997074468
ACH-000235,-1.1550395034730412
ACH-000237,-1.201434768733881
ACH-000238,-1.3514301811091498
ACH-000242,-1.1881912539045405
ACH-000243,-1.2857966185452565
ACH-000244,-1.0630177666143006
ACH-000246,-1.1856213583415005
ACH-000248,-1.2808305043187405
ACH-000250,-1.2273857348258357
ACH-000251,-0.8350556526054296
ACH-000252,-1.0979217809512218
ACH-000253,-1.2149714547596089
ACH-000255,-1.1586249638769746
ACH-000256,-1.4079356443560351
ACH-000257,-0.9117162031219266
ACH-000258,-0.8044336944996221
ACH-000259,-0.9856071458456656
ACH-000260,-1.3642126605500502
ACH-000261,-1.1070892302768849
ACH-000262,-1.0800498384829231
ACH-000263,-1.5977582960716807
ACH-000264,-1.2646510741602597
ACH-000265,-1.142504916380013
ACH-000266,-1.0770275160800358
ACH-000272,-0.9894788607222891
ACH-000274,-0.925873152422018
ACH-000277,-1.2118219050895864
ACH-000278,-1.144966404558406
ACH-000279,-1.193532271321731
ACH-000280,-1.1790245343625292
ACH-000281,-1.1812609616382723
ACH-000288,-1.2599249471449363
ACH-000291,-1.3009765589861173
ACH-000293,-1.3187057898150498
ACH-000294,-1.3545932998982344
ACH-000295,-1.063986340524054
ACH-000296,-1.3640150308158638
ACH-000302,-1.5156068329043373
ACH-000304,-1.3089383882356094
ACH-000307,-1.2514603289092847
ACH-000308,-1.1351791183581663
ACH-000310,-1.307866612444602
ACH-000311,-1.2396124792745002
ACH-000312,-1.4283735809700349
ACH-000315,-1.1932802947107817
ACH-000316,-1.2158827159759722
ACH-000317,-1.4487414750312626
ACH-000318,-1.2896706458388776
ACH-000319,-1.2763820533359098
ACH-000320,-1.0473760888434818
ACH-000322,-1.0212905334544518
ACH-000323,-1.0548109183331027
