,TXNL4B (54957)
ACH-000004,-0.6913900053285603
ACH-000005,-0.6105434881487167
ACH-000007,-0.6638163869022641
ACH-000009,-0.5503741064318362
ACH-000011,-0.4489858709872233
ACH-000012,-0.6373653830466799
ACH-000013,-0.7536871492362609
ACH-000014,-0.6101322898666045
ACH-000015,-0.6034331842628625
ACH-000017,-0.5279734328037781
ACH-000018,-0.5653423500871175
ACH-000019,-0.6065043740983788
ACH-000021,-0.59466610923872
ACH-000022,-0.5373238777425763
ACH-000025,-0.8325759071546399
ACH-000028,-0.4194780864282289
ACH-000030,-0.6964004106990949
ACH-000035,-0.6142151567846417
ACH-000036,-0.5289738328567267
ACH-000037,-0.21540721563588924
ACH-000039,-0.6244709515452259
ACH-000040,-0.5506396937792393
ACH-000041,-0.8626299073338844
ACH-000042,-0.6442316700118492
ACH-000045,-0.5584573707830783
ACH-000047,-0.7662943221273453
ACH-000052,-0.8947538331973801
ACH-000053,-0.62998172534521
ACH-000054,-0.7029718878839537
ACH-000055,-0.6097657682403591
ACH-000060,-0.7806150162564098
ACH-000067,-0.6577664150619342
ACH-000070,-0.6064475836003929
ACH-000075,-0.6074308412974282
ACH-000078,-0.4574838956995413
ACH-000082,-0.7225225286658111
ACH-000085,-0.5509539846119257
ACH-000086,-0.6577585635501793
ACH-000087,-0.4269297141007228
ACH-000092,-0.5141696503973947
ACH-000095,-0.6100473260967416
ACH-000097,-0.6044926593043889
ACH-000098,-0.6881501764189247
ACH-000099,-0.5251220519330219
ACH-000108,-0.5285299871391885
ACH-000113,-0.5013732847171625
ACH-000116,-0.6282450650374081
ACH-000118,-0.4607841265184796
ACH-000120,-0.5885256442518858
ACH-000123,-0.7028146772884019
ACH-000127,-0.548584847270951
ACH-000128,-0.6181244161284262
ACH-000132,-0.5801950756431549
ACH-000133,-0.8406732303248332
ACH-000137,-0.6645365380867708
ACH-000138,-0.7150509305406672
ACH-000142,-0.5885728645858316
ACH-000143,-0.6386054242958733
ACH-000146,-0.6291836242022428
ACH-000148,-0.5761524394449979
ACH-000150,-0.4510088903397765
ACH-000152,-0.6141113031655271
ACH-000153,-0.6908148772102406
ACH-000159,-0.3540689794066978
ACH-000160,-0.6159654750813838
ACH-000163,-0.6714667987377434
ACH-000167,-0.9787748514380941
ACH-000168,-0.6685945422925882
ACH-000169,-0.6856539292923564
ACH-000178,-0.4639798450076494
ACH-000183,-0.6555167072869078
ACH-000188,-0.7095904135748131
ACH-000189,-0.9534629151333316
ACH-000190,-0.8360276261762702
ACH-000198,-0.5573646947658287
ACH-000203,0.05556814631732488
ACH-000204,-0.5206095770375211
ACH-000206,-0.7396865106434259
ACH-000207,-0.6459951427645474
ACH-000208,-0.5530151984967517
ACH-000210,-0.6092097360921475
ACH-000211,-0.7097220886743423
ACH-000215,-0.7199282688441953
ACH-000221,-0.7108764551576868
ACH-000222,-0.5873661739736014
ACH-000223,-0.2505361210009236
ACH-000226,-0.7048005423612895
ACH-000227,-0.4204509064155128
ACH-000228,-0.6708982059437644
ACH-000231,-0.7881920532393758
ACH-000232,-0.6308898697971923
ACH-000233,-0.44208444450495293
ACH-000234,-0.511492596346574
ACH-000235,-0.6043757156308743
ACH-000237,-0.5719732318629108
ACH-000238,-0.6031340638641383
ACH-000242,-0.5041261514619579
ACH-000243,-0.6571194152366885
ACH-000244,-0.4477015910930763
ACH-000246,-0.5934807978730874
ACH-000248,-0.6867166427782612
ACH-000250,-0.6919241466807372
ACH-000251,-0.67749264865236
ACH-000252,-0.716732207412825
ACH-000253,-0.6608433697269854
ACH-000255,-0.6951186123134584
ACH-000256,-0.42814308838616777
ACH-000257,-0.4939863815724873
ACH-000258,-0.5247758073123664
ACH-000259,-0.5982737627788393
ACH-000260,-0.6589912837232001
ACH-000261,-0.7508686432177595
ACH-000262,-0.6292129175134624
ACH-000263,-0.5797134552470459
ACH-000264,-0.7674693475270494
ACH-000265,-0.4656254775469922
ACH-000266,-0.674628189265242
ACH-000272,-0.4560960400406981
ACH-000274,-0.6388041787687643
ACH-000277,-0.7576209692904362
ACH-000278,-0.7624272329308992
ACH-000279,-0.6836249484810867
ACH-000280,-0.6544500182180475
ACH-000281,-0.6081334490148057
ACH-000288,-0.6368019428380556
ACH-000291,-0.656119347084608
ACH-000293,-0.6267242604281785
ACH-000294,-0.7029911840812412
ACH-000295,-0.9055925125275492
ACH-000296,-0.6501681464100928
ACH-000302,-0.6253662961606734
ACH-000304,-0.6980549695904718
ACH-000307,-0.5636752818700675
ACH-000308,-0.7704853612101048
ACH-000310,-0.5747241722279535
ACH-000311,-0.6480522857925897
ACH-000312,-0.5663457346891438
ACH-000315,-0.5449748357695055
ACH-000316,-0.6610673183685843
ACH-000317,-0.6146447440903494
ACH-000318,-0.7542175199000081
ACH-000319,-0.7052040347735903
ACH-000320,-0.4656475600204684
ACH-000322,-0.42542286206973495
ACH-000323,-0.7948760809785694
ACH-000324,-0.531754218334152
ACH-000329,-0.4659012005912693
ACH-000330,-0.7557847358448073
ACH-000331,-0.7449314055429851
ACH-000332,-0.660993471131923
ACH-000334,-0.9583408326116776
ACH-000335,-0.4904471318696829
ACH-000336,-0.5775221105702951
ACH-000337,-1.0297036489125622
ACH-000338,-0.6381128515159444
ACH-000339,-0.6168880216415392
ACH-000341,-0.6120978437435105
ACH-000348,-0.5773767044449674
ACH-000350,-0.24129949647065024
ACH-000352,-0.6484924636375582
ACH-000356,-0.6742750593878418
ACH-000361,-0.5537019110835021
ACH-000362,-0.6751324740280795
ACH-000363,-0.6665732066172743
ACH-000364,-0.7943230799172337
ACH-000365,-0.5132600808753092
ACH-000366,-0.5622366192772489
ACH-000368,-0.5972364577464017
ACH-000374,-0.7918548046604185
ACH-000375,-0.49147301146028294
ACH-000376,-0.6110007614736191
ACH-000381,-0.6562420444749287
ACH-000383,-0.5453663250917913
ACH-000387,-0.438449227691245
ACH-000389,-0.7495881783666031
ACH-000390,-0.9692003186302972
ACH-000393,-0.7005183155183231
ACH-000395,-0.6809160017145616
ACH-000396,-1.0755670563091666
ACH-000397,-0.6510252319148118
ACH-000401,-0.41971389142876
ACH-000402,-0.1571862472561614
ACH-000403,-0.4172697566649909
ACH-000404,-0.2323029099919799
ACH-000406,-0.6364824491148892
ACH-000407,-0.5304129395918713
ACH-000408,-0.6412163473249399
ACH-000410,-0.755595277693153
ACH-000411,-0.5524427419591823
ACH-000414,-0.6305790648381717
ACH-000415,-0.6228303198808627
ACH-000416,-0.7253871671157879
ACH-000420,-0.483705474168623
ACH-000421,-0.5914474100181459
ACH-000424,-0.7185047878981564
ACH-000425,-0.6293041454388836
ACH-000426,-0.8570018892176813
ACH-000427,-0.5312211375590596
ACH-000433,-0.6468364911672724
ACH-000435,-0.6271573431559062
ACH-000436,-0.6472167251352094
ACH-000444,-0.6916378660361017
ACH-000445,-0.6106067049416499
ACH-000448,-0.676789022570887
ACH-000450,-0.6103274232650806
ACH-000452,-0.7051504033097971
ACH-000454,-0.7447043193855021
ACH-000458,-0.5613406829295422
ACH-000459,-0.528396786834949
ACH-000460,-0.5882737676767685
ACH-000461,-0.4409599971896202
ACH-000463,-0.6692000027569387
ACH-000464,-0.509178589467851
ACH-000466,-0.5710497749765482
ACH-000467,-0.5716816581670804
ACH-000468,-0.6134180858007922
ACH-000469,-0.5439082312190291
ACH-000470,-0.47716399487809397
ACH-000471,-0.7242903365646001
ACH-000472,-0.7131067296383344
ACH-000473,-0.8430725187326223
ACH-000475,-0.6271353366362439
ACH-000476,-0.578995929475452
ACH-000477,-0.5260962441003966
ACH-000479,-0.4670602364190934
ACH-000480,-0.5181472198794419
ACH-000481,-0.6773303931830555
ACH-000483,-0.4674055066534061
ACH-000484,-0.7325436212081199
ACH-000485,-0.74360350748875
ACH-000486,-0.6393685127538026
ACH-000487,-0.8211081958206781
ACH-000488,-0.6044894188575725
ACH-000490,-0.5966209006909393
ACH-000491,-0.7381141889657744
ACH-000495,-0.6283510662060098
ACH-000496,-0.6269047585389771
ACH-000499,-0.8252868100985664
ACH-000500,-0.18842840143433628
ACH-000502,-0.6874327879223762
ACH-000503,-0.6601704634340841
ACH-000505,-0.5186632873660427
