,TUBA1C (84790)
ACH-000004,-0.4143575653530288
ACH-000005,-0.525360106582005
ACH-000007,-0.5873177416055492
ACH-000009,-0.527365399739825
ACH-000011,-1.0198543885168905
ACH-000012,-0.6788147816817072
ACH-000013,-0.4971030816187413
ACH-000014,-0.6092623621811099
ACH-000015,-0.7202969923926069
ACH-000017,-0.6678434244915175
ACH-000018,-0.5687035397374846
ACH-000019,-0.7359975586237417
ACH-000021,-0.4391128469016327
ACH-000022,-0.4897595645614736
ACH-000025,-0.27391403966985395
ACH-000028,-0.9834473757059408
ACH-000030,-0.914114781283264
ACH-000035,-0.3882708128423793
ACH-000036,-0.8701317752900307
ACH-000037,-0.794167978356696
ACH-000039,-0.5654175372838104
ACH-000040,-0.9171414098799178
ACH-000041,-0.5978225586158741
ACH-000042,-0.6848572908345544
ACH-000045,-0.4951943008435685
ACH-000047,-0.787738722613682
ACH-000052,-0.5531328918178638
ACH-000053,-0.3732025414988513
ACH-000054,-0.7074826551847883
ACH-000055,-0.5026889296698164
ACH-000060,-0.7556576221183109
ACH-000067,-0.8018834278611191
ACH-000070,-0.5182303833757141
ACH-000075,-0.6733500801911328
ACH-000078,-0.5357179750538419
ACH-000082,-0.5631897250206747
ACH-000085,-0.9498001821413228
ACH-000086,-0.8503385463228613
ACH-000087,-0.6377047242136732
ACH-000092,-0.5473164536808447
ACH-000095,-0.7644936778767256
ACH-000097,-0.5728514483491778
ACH-000098,-0.5977279671622951
ACH-000099,-0.4420993483626856
ACH-000108,-0.4934856215832371
ACH-000113,-0.4038765454654826
ACH-000116,-0.5288966170863719
ACH-000118,-0.9284256156332272
ACH-000120,-0.4464833869108944
ACH-000123,-0.4790550473391447
ACH-000127,-0.5855577985604888
ACH-000128,-0.9504835609988532
ACH-000132,-0.5701544498386529
ACH-000133,-0.7129366282172532
ACH-000137,-0.6394600993606994
ACH-000138,-0.4602232706710134
ACH-000142,-0.465151432023849
ACH-000143,-0.3631980031534944
ACH-000146,-0.3604851239652516
ACH-000148,-0.7710010645993944
ACH-000150,-1.1987163558767566
ACH-000152,-0.6344997908579271
ACH-000153,-0.2848031317691302
ACH-000159,-0.5757219939922908
ACH-000160,-0.8561646782664687
ACH-000163,-0.4900460867622139
ACH-000167,0.2522902116907705
ACH-000168,-0.455758902510383
ACH-000169,-0.4957866764598131
ACH-000178,-0.7784529794370997
ACH-000183,-0.28540044095712025
ACH-000188,-0.6920556241634845
ACH-000189,-0.8099315779392211
ACH-000190,-0.8319548851278071
ACH-000198,-0.4618285240351787
ACH-000203,-1.0166698971769583
ACH-000204,-0.7110328927303189
ACH-000206,-0.6820240551686163
ACH-000207,-0.6929701701303768
ACH-000208,-0.6572930343173187
ACH-000210,-0.6657909181157265
ACH-000211,-0.8093521771228711
ACH-000215,-0.4960978246529471
ACH-000221,-0.6851328566001579
ACH-000222,-0.4597918830321049
ACH-000223,-0.675666929627783
ACH-000226,-0.5176921110167396
ACH-000227,-0.3502197981923593
ACH-000228,-0.5792286073831818
ACH-000231,-0.5619762574780226
ACH-000232,-0.8489585272803419
ACH-000233,-0.6202996163460245
ACH-000234,-0.4938155611153917
ACH-000235,-0.4883243435611065
ACH-000237,-0.5791801109733097
ACH-000238,-1.0796465771815382
ACH-000242,-0.7920296206077202
ACH-000243,-0.736135421361928
ACH-000244,-0.5925049219011234
ACH-000246,-0.4876530260055947
ACH-000248,-0.6953236152491127
ACH-000250,-0.9866357986147608
ACH-000251,-0.691871953564818
ACH-000252,-0.5479844978994848
ACH-000253,-0.4253659510959128
ACH-000255,-0.8450611898801317
ACH-000256,-0.5517816016468178
ACH-000257,-0.4215707865928568
ACH-000258,-0.4011102788091699
ACH-000259,-0.43609780101251705
ACH-000260,-0.6015142994412923
ACH-000261,-0.8499627064338814
ACH-000262,-0.8130552534621974
ACH-000263,-0.7772838308624658
ACH-000264,-0.8741724380658348
ACH-000265,-0.7379351098478937
ACH-000266,-0.6814269190329444
ACH-000272,-0.3523621163770955
ACH-000274,-0.4590573472842652
ACH-000277,-0.6198725642309915
ACH-000278,-0.4966386001873369
ACH-000279,-0.6863459979068668
ACH-000280,-0.8565634507640077
ACH-000281,-1.0358385831344108
ACH-000288,-1.1361736136012217
ACH-000291,-0.8237820699447579
ACH-000293,-0.5006265837942551
ACH-000294,-0.3145619486786829
ACH-000295,-0.4407268513780108
ACH-000296,-0.5877432403488442
ACH-000302,-0.8402096409460115
ACH-000304,-0.4079531059248147
ACH-000307,-0.4919211576890231
ACH-000308,-0.5576527447376086
ACH-000310,-0.6244522162552979
ACH-000311,-0.6055419125420536
ACH-000312,-0.3288664002062081
ACH-000315,-0.4089145472240792
ACH-000316,-0.8179054951707733
ACH-000317,-0.4950736995881994
ACH-000318,-0.5358806840285326
ACH-000319,-0.5175647390494065
ACH-000320,-0.8220193708855117
ACH-000322,-1.10761494974833
ACH-000323,-0.5819556716956192
ACH-000324,-0.8428717446736841
ACH-000329,-0.5985726257530244
ACH-000330,-0.5638175105523862
ACH-000331,-0.8213928837832878
ACH-000332,-0.43580769937076813
ACH-000334,-0.48979408409548
ACH-000335,-0.616267405815867
ACH-000336,-0.5075643153028341
ACH-000337,-0.5466417503238095
ACH-000338,-0.9285161075982228
ACH-000339,-0.6873692821359999
ACH-000341,-0.3021972260434643
ACH-000348,-0.7967855936088841
ACH-000350,-0.33819716648503584
ACH-000352,-0.7209202721975949
ACH-000356,-0.6363186747170266
ACH-000361,-0.7895889325715201
ACH-000362,-0.5386927134071652
ACH-000363,-0.3102926674387982
ACH-000364,-0.6889023948004058
ACH-000365,-0.4034743141522891
ACH-000366,-0.2179705737599484
ACH-000368,-0.5741430923011511
ACH-000374,-1.0261246970578053
ACH-000375,-0.5992165451628949
ACH-000376,-0.4170601495482277
ACH-000381,-0.4224384479518212
ACH-000383,-0.6271971317184989
ACH-000387,-0.5668333849067371
ACH-000389,-0.880667680646355
ACH-000390,-0.6879195931079015
ACH-000393,-1.0716558418453983
ACH-000395,-0.7110960080889436
ACH-000396,-1.2382700994920492
ACH-000397,-0.4536448717615436
ACH-000401,-0.7188980713974518
ACH-000402,-0.5298307571076691
ACH-000403,-0.6172193846286027
ACH-000404,-0.5899504003343903
ACH-000406,-0.4690629241420342
ACH-000407,-0.8916894088068487
ACH-000408,-0.7473104279086838
ACH-000410,-0.6451579590417454
ACH-000411,-0.741888436009081
ACH-000414,-0.6842640810010046
ACH-000415,-0.6236020564927779
ACH-000416,-0.6777908208527973
ACH-000420,-0.6934724593933095
ACH-000421,-0.3994252630853808
ACH-000424,-0.8469953695956028
ACH-000425,-0.5180298388319665
ACH-000426,-0.33813294587394976
ACH-000427,-0.5650514487607847
ACH-000433,-1.0348965721855428
ACH-000435,-0.4711179463555186
ACH-000436,-0.4026833093956417
ACH-000444,-0.9021549943362764
ACH-000445,-0.3768060452399911
ACH-000448,-0.9072339352397274
ACH-000450,-0.5279186518283618
ACH-000452,-0.7893894257154624
ACH-000454,-0.7330912971679531
ACH-000458,-0.6465040331367998
ACH-000459,-0.25542998075561063
ACH-000460,-1.1068333114676847
ACH-000461,-1.1167698052570456
ACH-000463,-0.7270778304046375
ACH-000464,-0.9592113101927447
ACH-000466,-0.8174333877760267
ACH-000467,-0.6422151146044128
ACH-000468,-0.5982943665686121
ACH-000469,-0.555993923711742
ACH-000470,-0.5079149277778049
ACH-000471,-0.7851951999799749
ACH-000472,-0.8611008005944423
ACH-000473,-0.5631998605209968
ACH-000475,-0.9385965487379382
ACH-000476,-0.921048568015819
ACH-000477,-0.5764940487630528
ACH-000479,-0.7910515174996877
ACH-000480,-0.6553975413682904
ACH-000481,-0.9007073690424652
ACH-000483,-0.39994369355585024
ACH-000484,-0.7481043846635674
ACH-000485,-0.4531638831831021
ACH-000486,-0.8014944664387579
ACH-000487,-0.4434832182277404
ACH-000488,-0.513813218985464
ACH-000490,-1.0549623478314447
ACH-000491,-0.4880897053775916
ACH-000495,-0.6182790943405724
ACH-000496,-0.6497726511496273
ACH-000499,-0.6607806266135317
ACH-000500,-0.30562045424183265
ACH-000502,-0.6851083008897241
ACH-000503,-0.5456396648731391
ACH-000505,-0.7752635806161158
ACH-000507,-0.4628849346226902
ACH-000510,-0.3953922549207843
ACH-000511,-0.6533559547877978
ACH-000512,-0.5585276477685955
ACH-000516,-0.5395723143089928
ACH-000517,-0.7705523461868025
ACH-000518,-1.0941956062053335
ACH-000520,-1.079194079616551
ACH-000521,-0.6780080159732635
ACH-000522,-0.5859730043129923
ACH-000524,-0.6128432469462358
ACH-000527,-0.6535988613382476
ACH-000528,-0.4159495438641108
ACH-000537,-0.911608593470218
ACH-000541,-0.4446981954834754
ACH-000542,-0.7289519698719683
ACH-000544,-0.7654700917479839
ACH-000545,-0.6046987264591589
ACH-000547,-0.5664659369646247
ACH-000548,-0.7990320848058595
ACH-000549,-0.95199199809615
ACH-000550,-1.0996835257578632
ACH-000552,-0.5686979028500412
ACH-000556,-0.6263603700362981
ACH-000557,-0.2181240629697709
ACH-000569,-0.6837199704560953
ACH-000570,-0.7647281452850597
ACH-000571,-0.5483949389241044
ACH-000573,-0.6741577517494064
ACH-000576,-0.448051002733381
ACH-000579,-0.7717896172816925
ACH-000580,-0.2801703647089913
ACH-000584,-0.5568002245657225
ACH-000585,-0.6779660662292827
ACH-000588,-0.32563039106158714
ACH-000589,-0.7320424931690671
ACH-000591,-0.8587136814984891
ACH-000593,-0.6240367525970429
ACH-000600,-0.6854037752209287
ACH-000601,-1.1617921755885847
ACH-000605,-0.5320589390451379
ACH-000606,-1.0129927545257338
ACH-000608,-0.38816533146155097
ACH-000614,-0.5064075706645156
ACH-000616,-0.7280919748446868
ACH-000618,-0.6514410573804589
ACH-000619,-0.9583025246539082
ACH-000620,-0.5720612586439957
ACH-000621,-1.031654137514299
ACH-000622,-0.5592589634894245
ACH-000623,-0.6272402664904777
ACH-000624,-0.9775043268867122
ACH-000627,-0.7523870228869809
ACH-000630,-1.177801598042889
ACH-000631,-0.804763005236631
ACH-000632,-0.5655285007266068
ACH-000633,-0.3164629084521333
ACH-000637,-0.6288247195549566
ACH-000638,-0.6686977388379626
ACH-000646,-0.4656083233899297
