,MT1X (4501)
ACH-000004,-0.2984754005878835
ACH-000005,-0.14465603197723728
ACH-000007,-0.17231498437128895
ACH-000009,-0.08055402702894837
ACH-000011,-0.17657533887366295
ACH-000012,-0.19948967192796047
ACH-000013,-0.2353136960438943
ACH-000014,-0.055725046428067165
ACH-000015,-0.10653667577138293
ACH-000017,-0.21351770952995966
ACH-000018,0.0007319755523253753
ACH-000019,-0.2591087911766134
ACH-000021,-0.17016561255927304
ACH-000022,-0.017684953842677494
ACH-000025,-0.16807950722551407
ACH-000028,-0.03984343374374809
ACH-000030,-0.16148725433138225
ACH-000035,-0.18111744471841396
ACH-000036,-0.15481932493821896
ACH-000037,-0.1813832977837493
ACH-000039,-0.2670846057015186
ACH-000040,-0.11532219172306628
ACH-000041,-0.2480174625674331
ACH-000042,-0.1996161135820751
ACH-000045,-0.13475039743889874
ACH-000047,-0.2456485819431889
ACH-000052,-0.08458589076538553
ACH-000053,-0.18968669835764976
ACH-000054,-0.21305392589588848
ACH-000055,-0.08069524099746529
ACH-000060,-0.30218122097144456
ACH-000067,-0.2829666305036103
ACH-000070,-0.09802843426262993
ACH-000075,-0.2207297831478558
ACH-000078,-0.14426440576502678
ACH-000082,-0.3424738685730101
ACH-000085,-0.08447692816211683
ACH-000086,-0.11782625285195973
ACH-000087,-0.2075942314294308
ACH-000092,-0.2878620517171553
ACH-000095,-0.3180626433788209
ACH-000097,-0.186514895952282
ACH-000098,-0.27234348207112963
ACH-000099,-0.14161466544607354
ACH-000108,-0.15063969065255994
ACH-000113,-0.1308962452123986
ACH-000116,-0.1866239846335459
ACH-000118,-0.12155369305961293
ACH-000120,-0.17828040227870634
ACH-000123,-0.06434487744013936
ACH-000127,-0.17249925991385326
ACH-000128,-0.2443076250321737
ACH-000132,-0.2608136868202856
ACH-000133,-0.2369763795055584
ACH-000137,-0.22236612217820284
ACH-000138,-0.1270646582560258
ACH-000142,-0.13287169790963851
ACH-000143,-0.22247025739957832
ACH-000146,-0.2349909413849475
ACH-000148,-0.20811305351931808
ACH-000150,-0.34569295499771224
ACH-000152,-0.2623813681717527
ACH-000153,-0.13705094046274227
ACH-000159,-0.1964801435856721
ACH-000160,-0.07191655419895276
ACH-000163,-0.16233774420377473
ACH-000167,-0.2186930531648123
ACH-000168,-0.14947129398645898
ACH-000169,-0.2838284748673532
ACH-000178,-0.1941309438839126
ACH-000183,0.011196551711894612
ACH-000188,-0.2436900944563511
ACH-000189,-0.27289413200043505
ACH-000190,-0.24298078925881975
ACH-000198,-0.11478178916930001
ACH-000203,0.7286772799941782
ACH-000204,-0.5569393153021244
ACH-000206,-0.17685683989529086
ACH-000207,-0.0451235316320316
ACH-000208,-0.3748684296392758
ACH-000210,-0.12881290012486984
ACH-000211,-0.22709527497280094
ACH-000215,-0.2401354245136809
ACH-000221,-0.00178363510230076
ACH-000222,-0.15269564853244358
ACH-000223,-0.2616604346330303
ACH-000226,-0.2899569296714882
ACH-000227,-0.21200995074398124
ACH-000228,-0.1866517724748114
ACH-000231,-0.20074905374459093
ACH-000232,-0.1639615863120199
ACH-000233,-0.2109540845176768
ACH-000234,-0.08279791551746311
ACH-000235,-0.25617236847195923
ACH-000237,-0.31521434594727804
ACH-000238,-0.15290920397249272
ACH-000242,-0.2658459122778226
ACH-000243,-0.1765459907990496
ACH-000244,-0.2185190580580585
ACH-000246,-0.07109304285811674
ACH-000248,-0.12369823916627486
ACH-000250,-0.21984934843482687
ACH-000251,-0.16950141292990506
ACH-000252,-0.202495730992706
ACH-000253,-0.13646593829288495
ACH-000255,-0.15359875205757248
ACH-000256,-0.2813415642395196
ACH-000257,-0.137910972794781
ACH-000258,-0.326389005105414
ACH-000259,-0.10279135879022112
ACH-000260,-0.2042755210525765
ACH-000261,-0.18747846554442546
ACH-000262,-0.12930971650492806
ACH-000263,0.08556160895180548
ACH-000264,-0.1547531656946589
ACH-000265,-0.12955277885013886
ACH-000266,-0.3107710590115839
ACH-000272,-0.1666546772477522
ACH-000274,-0.19107491488264014
ACH-000277,-0.2206800805654533
ACH-000278,-0.18799400467440025
ACH-000279,-0.17587344175574515
ACH-000280,-0.038615708212931935
ACH-000281,-0.18945452419726408
ACH-000288,-0.22707487358615555
ACH-000291,-0.1935915380586551
ACH-000293,-0.1969047670485697
ACH-000294,-0.08142301393083033
ACH-000295,-0.23015400221313104
ACH-000296,-0.08084529987020228
ACH-000302,-0.16559477340269713
ACH-000304,-0.13310431287159294
ACH-000307,-0.13703945399604903
ACH-000308,-0.2336242166223436
ACH-000310,-0.2143980465702169
ACH-000311,-0.17270490545199885
ACH-000312,-0.2602586295872336
ACH-000315,-0.1779555608458582
ACH-000316,-0.3139197795377805
ACH-000317,-0.0755690801590742
ACH-000318,-0.1305328305311004
ACH-000319,-0.12732718141954907
ACH-000320,-0.21548470064706787
ACH-000322,-0.32055884025042336
ACH-000323,-0.1044019492915267
ACH-000324,-0.11231687507906846
ACH-000329,-0.2651550311030499
ACH-000330,-0.16396406118392232
ACH-000331,-0.3584544657647777
ACH-000332,-0.2437761801089219
ACH-000334,-0.39810565305395146
ACH-000335,-0.17971050070700698
ACH-000336,0.016355497776534486
ACH-000337,-0.2905110520848905
ACH-000338,-0.25663492346225114
