,MEF2B (100271849)
ACH-000004,-0.11394588269596335
ACH-000005,-0.1896497940023701
ACH-000007,0.017050207778210737
ACH-000009,-0.08664411929179151
ACH-000011,-0.02048697487842633
ACH-000012,-0.14499774006031574
ACH-000013,-0.1316055945550692
ACH-000014,-0.08169110744538535
ACH-000015,-0.30030429229305594
ACH-000017,-0.1252862805320315
ACH-000018,-0.19450362520396144
ACH-000019,-0.2523298965070937
ACH-000021,-0.21091210531576324
ACH-000022,-0.2272773587608311
ACH-000025,-0.19667695666467294
ACH-000028,-0.3561844668381515
ACH-000030,-0.19388935610264246
ACH-000035,-0.16691448363126532
ACH-000036,-0.18235580477824676
ACH-000037,-0.07592261474044405
ACH-000039,-0.16415608485252084
ACH-000040,-0.15430819202518806
ACH-000041,-0.017388489983260272
ACH-000042,-0.2264415408026489
ACH-000045,-0.12648541571951435
ACH-000047,-0.09713461114636124
ACH-000052,-0.14710621131705165
ACH-000053,-0.24777330014352675
ACH-000054,-0.15096746921239712
ACH-000055,-0.019968327892730203
ACH-000060,0.026522205039722826
ACH-000067,-0.08934242186611242
ACH-000070,-0.08511248748805135
ACH-000075,-0.13476359799203025
ACH-000078,-0.0736840024998746
ACH-000082,-0.1281089040442469
ACH-000085,-0.10484789388904417
ACH-000086,-0.2642740501942861
ACH-000087,-0.015056214060683325
ACH-000092,-0.13252374746199053
ACH-000095,-0.15310877852646035
ACH-000097,-0.22727612456470286
ACH-000098,-0.2691317669688166
ACH-000099,-0.10152912566517357
ACH-000108,-0.17914133739828786
ACH-000113,-0.05792174496654018
ACH-000116,-0.2083595522948352
ACH-000118,-0.16856753095132246
ACH-000120,-0.028204507575494975
ACH-000123,-0.2078009412211494
ACH-000127,-0.1616167270783295
ACH-000128,-0.08492920917688393
ACH-000132,-0.10787149138254816
ACH-000133,0.00027607404541994907
ACH-000137,-0.2423385753050276
ACH-000138,-0.2579623103985341
ACH-000142,-0.15035204612499425
ACH-000143,-0.03949692754739309
ACH-000146,-0.11821288617072465
ACH-000148,-0.06498168899674184
ACH-000150,-0.2365562832816253
ACH-000152,-0.12270337518729628
ACH-000153,-0.07262052872239384
ACH-000159,-0.16645356264520186
ACH-000160,-0.19330899173435967
ACH-000163,-0.21935627079746295
ACH-000167,-0.010869185649339471
ACH-000168,-0.1762697904151204
ACH-000169,-0.08738121093954143
ACH-000178,-0.08009894706456151
ACH-000183,-0.13612721792576546
ACH-000188,-0.278200245116225
ACH-000189,-0.2602499048000923
ACH-000190,-0.02466965405841693
ACH-000198,-0.1250131110353316
ACH-000203,-0.02930435826305775
ACH-000204,-0.10901782235308166
ACH-000206,0.1801706786860682
ACH-000207,-0.09303877455964116
ACH-000208,-0.07119478338891501
ACH-000210,-0.12737033174193108
ACH-000211,-0.15309307211682696
ACH-000215,-0.14444660517159474
ACH-000221,-0.33071831879161745
ACH-000222,-0.18351043664834765
ACH-000223,-0.026523838823748497
ACH-000226,-0.10825044040769484
ACH-000227,-0.14810862297549068
ACH-000228,-0.21869427219741971
ACH-000231,-0.03711804742282041
ACH-000232,-0.17461427468137886
ACH-000233,-0.16090696461472645
ACH-000234,-0.2429629367095376
ACH-000235,-0.21770487732761135
ACH-000237,-0.24232942908951535
ACH-000238,-0.06376896560685763
ACH-000242,-0.04786547463767066
ACH-000243,-0.1742839645686426
ACH-000244,-0.15418696223833686
ACH-000246,-0.11218598659884313
ACH-000248,-0.03299872544213304
ACH-000250,-0.16879459750570275
ACH-000251,-0.07436182625933646
ACH-000252,-0.1724616086075885
ACH-000253,-0.2171938846355211
ACH-000255,-0.15575416797662284
ACH-000256,-0.17008201138981102
ACH-000257,-0.04548726039145065
ACH-000258,0.002770532844426653
ACH-000259,-0.1565808198165307
ACH-000260,-0.18230146642098355
ACH-000261,-0.16797263630551715
ACH-000262,-0.14329733404495884
ACH-000263,-0.0721149380006628
ACH-000264,-0.1065045240301197
ACH-000265,-0.1859423976054029
ACH-000266,-0.1828432699485056
ACH-000272,-0.0035643548646543976
ACH-000274,-0.09399087891198617
ACH-000277,-0.06403599023710985
ACH-000278,-0.10238830420259956
ACH-000279,-0.059926771379858815
ACH-000280,-0.2253168892066033
ACH-000281,-0.15257626273118916
ACH-000288,-0.053963200288418285
ACH-000291,-0.14281801929263374
ACH-000293,-0.1697515760272093
ACH-000294,-0.16900590298034485
ACH-000295,-0.27182519613974004
ACH-000296,-0.021115579823291337
ACH-000302,-0.2640666251157165
ACH-000304,-0.2972503064726956
ACH-000307,-0.1966487939423432
ACH-000308,-0.04207338503726446
ACH-000310,-0.13075551255991927
ACH-000311,-0.04417490820314261
ACH-000312,-0.17638269530007492
ACH-000315,-1.0405565722797785
ACH-000316,-0.030422236551551823
ACH-000317,-0.032689024898104116
ACH-000318,-0.2788805736460876
ACH-000319,-0.14109405704292188
ACH-000320,-0.13708880536722992
ACH-000322,-0.06450859636807267
ACH-000323,-0.20855521853386869
ACH-000324,-0.09665033861453977
ACH-000329,-0.031062567034276636
ACH-000330,-0.07641487507275217
ACH-000331,-0.12746016980195896
ACH-000332,-0.12852907746873185
ACH-000334,-1.0017799274559185
ACH-000335,-0.022938594492460284
ACH-000336,0.07279801148958248
ACH-000337,-0.15274186310575533
ACH-000338,-0.06182419313481007
ACH-000339,-0.11064613675018016
ACH-000341,-0.1779698564926991
ACH-000348,-0.1638830288824009
ACH-000350,-0.038144056239285816
ACH-000352,-0.23655344260558786
ACH-000356,-0.2749940722316456
ACH-000361,-0.1107505854449194
ACH-000362,-0.09103500748390413
ACH-000363,-0.12626654086991934
ACH-000364,-0.1398974036037534
ACH-000365,-0.7171746369713441
ACH-000366,-0.17329601382379015
ACH-000368,-0.1836468272711209
ACH-000374,-0.18555237519668047
ACH-000375,-0.17509275870052182
ACH-000376,0.01865329146215122
ACH-000381,-0.07123111351489766
ACH-000383,-0.2132310943130676
ACH-000387,-0.07867873779832472
ACH-000389,-0.22210031960888305
ACH-000390,-0.1602096539186244
ACH-000393,-0.24860248103143065
ACH-000395,-0.18127803017194427
ACH-000396,-0.22243711881531045
ACH-000397,-0.10641432649877397
ACH-000401,-0.04310148032800467
ACH-000402,-0.7809192399727618
ACH-000403,-0.10836923666140004
ACH-000404,-0.10750794115814477
ACH-000406,-0.21909622332694792
ACH-000407,-0.05086927584016116
ACH-000408,-0.34632243950495106
ACH-000410,-0.1803571233246156
ACH-000411,-0.14849337782466632
ACH-000414,0.008639980160806901
ACH-000415,-0.22881822213173034
ACH-000416,-0.1733861921564754
ACH-000420,-0.2793410437958588
ACH-000421,-0.1503767282227672
ACH-000424,-0.2058449417292244
ACH-000425,-0.017345138913487053
ACH-000426,-0.18997495011505086
ACH-000427,-0.2395511384534505
ACH-000433,-0.23488583721547485
ACH-000435,-0.3853658023795748
ACH-000436,-0.11504068042314475
ACH-000444,-0.1055703862525258
ACH-000445,-0.31500939694926616
ACH-000448,-0.22084391964351602
ACH-000450,-0.09678878811400808
ACH-000452,-0.2326045515546412
ACH-000454,-0.4018783443870937
ACH-000458,-0.21686733931139845
ACH-000459,-0.2027574506597468
ACH-000460,-0.12614396209636994
ACH-000461,-0.18019139151516653
ACH-000463,-0.07624221284216846
ACH-000464,-0.12972216137494
ACH-000466,-0.010611786729531109
ACH-000467,-0.046917414688994415
ACH-000468,-0.23368492692614976
ACH-000469,-0.16762708478131352
ACH-000470,-0.14041342313799104
ACH-000471,-0.20814090939387594
ACH-000472,-0.11046631050685267
ACH-000473,-0.26994586539095083
ACH-000475,-0.1520097664922101
ACH-000476,-0.09225257519724152
ACH-000477,-0.15569382058886666
ACH-000479,0.04471723620778652
ACH-000480,-0.16219724363098406
ACH-000481,-0.1525746603933933
ACH-000483,-0.07966818375466615
ACH-000484,-0.00436634874213178
ACH-000485,-0.20280340861418888
ACH-000486,-0.1964350876294607
ACH-000487,-0.06643334571693038
ACH-000488,-0.1145252281788501
ACH-000490,-0.07372508078336733
ACH-000491,-0.0814368743540005
ACH-000495,-0.11971548937746902
ACH-000496,-0.11527484063578873
ACH-000499,-0.1854985190789112
ACH-000500,-0.0019045245028248183
ACH-000502,-0.2433956816477156
ACH-000503,-0.029482440446478318
ACH-000505,-0.17766013402404274
ACH-000507,0.017366402167821194
ACH-000510,-0.09327802660992604
ACH-000511,-0.12061805080716535
ACH-000512,-0.8388767642253422
ACH-000516,-0.02409518756462689
ACH-000517,-0.17072483280905834
ACH-000518,-0.1304028724357482
ACH-000520,-0.2407770724720173
ACH-000521,-0.00409432938550559
ACH-000522,-0.25034587494496474
ACH-000524,-0.1770657482536386
ACH-000527,-0.27225813286772593
ACH-000528,-0.17113984218837638
ACH-000537,-0.20299902309121573
ACH-000541,-0.06486020926057376
ACH-000542,0.027852997616222532
ACH-000544,-0.20401260483622205
ACH-000545,-0.2776955943036655
ACH-000547,-0.1338595740630432
ACH-000548,-0.14292537560082727
ACH-000549,-0.1575462547558587
ACH-000550,-0.02936526105097896
ACH-000552,-0.2963472382527934
ACH-000556,-0.18293846990333654
ACH-000557,-0.08274361632853879
ACH-000569,-0.20508595588680634
ACH-000570,-0.08447882112986954
ACH-000571,-0.1350880021207786
ACH-000573,-0.022622470403464576
ACH-000576,-0.283353415986495
ACH-000579,-0.021394379044030687
ACH-000580,-0.0645212528976694
ACH-000584,-0.05388632383555077
ACH-000585,-0.2580227746573221
ACH-000588,-0.23851643528202984
ACH-000589,-0.18946915874520998
ACH-000591,-0.27079899284824105
ACH-000593,-0.2435537524768595
ACH-000600,-0.16138666895099738
ACH-000601,-0.1247523449848451
ACH-000605,-0.22204376409434132
ACH-000606,-0.27575601821425666
ACH-000608,-0.18703405070467888
ACH-000614,-0.07997636216296251
ACH-000616,0.054249701228543036
ACH-000618,-0.24566591623969486
ACH-000619,-0.21021668160275614
ACH-000620,-0.1277904793571229
ACH-000621,-0.1803682470203481
ACH-000622,-0.1038310966891008
ACH-000623,-0.17269315140865227
ACH-000624,-0.13586362661148796
ACH-000627,-0.1857149134379492
ACH-000630,-0.2125790079763268
ACH-000631,0.2741998383250192
ACH-000632,-0.1708441243250629
ACH-000633,-0.2314683282951131
ACH-000637,-0.15548530431519975
ACH-000638,-0.19294140457322087
ACH-000646,-0.04817638894472903
ACH-000647,-0.04454559464521151
ACH-000648,-0.18645538706577772
ACH-000649,-0.03586474863705735
ACH-000651,-0.12828660007902107
ACH-000652,-0.22857652001434026
ACH-000653,-0.04285574446902984
ACH-000657,-0.15700552403023654
ACH-000658,0.13698277412237547
ACH-000661,-0.08171445868419128
ACH-000662,-0.19169897448181494
ACH-000663,-0.194457910758608
ACH-000665,-0.270172705273281
ACH-000671,-0.05427777221117711
ACH-000672,-0.35293003581257393
ACH-000673,-0.11976558663016952
ACH-000676,-0.10134956299953927
ACH-000677,-0.2729583090334645
ACH-000681,-0.1599568299536802
ACH-000683,-0.2737577814802296
ACH-000684,-0.11552681289874606
ACH-000688,-0.2370835589278216
ACH-000693,-0.20379885935262226
ACH-000694,-0.12351212872718813
ACH-000695,0.016926249443373412
ACH-000696,-0.11148863394762908
ACH-000697,-0.023033975885796355
ACH-000699,-0.1045161839816675
ACH-000701,-0.2146765106233047
ACH-000706,-0.08540570028463397
ACH-000711,-0.2404297353051519
ACH-000713,-0.2328786446131266
ACH-000714,-0.1205000158357558
ACH-000718,0.08264151371208872
ACH-000720,-0.09370999004364212
ACH-000721,-0.2337522769168177
