,SMC6 (79677)
ACH-000004,-0.5108682988622233
ACH-000005,-0.734809745561067
ACH-000007,-0.6471813292053009
ACH-000009,-0.3733144690982935
ACH-000011,-0.2196889333528966
ACH-000012,-0.4371920327159925
ACH-000013,-0.5435990066102239
ACH-000014,-0.5616784998172104
ACH-000015,-0.34025575927809404
ACH-000017,-0.3304381907882529
ACH-000018,-0.6175097749119058
ACH-000019,-0.3820311412599647
ACH-000021,-0.6507750407585187
ACH-000022,-0.3405343358496701
ACH-000025,-0.6183708833752084
ACH-000028,-0.32348044163488204
ACH-000030,-0.5407381176152479
ACH-000035,-0.4548420789366616
ACH-000036,-0.6124657715053258
ACH-000037,-0.43675385723542615
ACH-000039,-0.4333161041364151
ACH-000040,-0.5055509277872617
ACH-000041,-0.6022644206438433
ACH-000042,-0.5793931615075929
ACH-000045,-0.3398608875420281
ACH-000047,-0.4560548288351482
ACH-000052,-0.6555286973557952
ACH-000053,-0.3307169799585086
ACH-000054,-0.6637979704163879
ACH-000055,-0.2530074992336122
ACH-000060,-0.4958955631212647
ACH-000067,-0.7417604413372952
ACH-000070,-0.6032412601486903
ACH-000075,-0.5679582958938892
ACH-000078,-0.541949511988082
ACH-000082,-0.3552311128802276
ACH-000085,-0.6167360475655046
ACH-000086,-0.6803965352008311
ACH-000087,-0.6200213591592107
ACH-000092,-0.5919998114558694
ACH-000095,-0.5485434136017832
ACH-000097,-0.35225424887070395
ACH-000098,-0.6137999269422623
ACH-000099,0.032821176839021256
ACH-000108,-0.3044918695147616
ACH-000113,-0.3657553086156263
ACH-000116,-0.4858520603881261
ACH-000118,-0.529314525072954
ACH-000120,-0.3713247405383071
ACH-000123,-0.3801595519489376
ACH-000127,-0.5886189070149174
ACH-000128,-0.7672169233503309
ACH-000132,-0.583193574209865
ACH-000133,-0.602715990658727
ACH-000137,-0.6719870931611762
ACH-000138,-0.5062555949564981
ACH-000142,-0.3365575710399536
ACH-000143,-0.5025679618579423
ACH-000146,-0.488328234680348
ACH-000148,-0.4964568162348459
ACH-000150,-0.5837751249230081
ACH-000152,-0.9016600298020592
ACH-000153,-0.4269327293431305
ACH-000159,-0.3826235352815904
ACH-000160,-0.5973058496420064
ACH-000163,-0.5086952928971893
ACH-000167,-0.6330865174728005
ACH-000168,-0.6169353219164179
ACH-000169,-0.5152898725570161
ACH-000178,-0.4899691554725234
ACH-000183,-0.4910833212070296
ACH-000188,-0.4496110684266583
ACH-000189,-0.5733227862181176
ACH-000190,-0.47415965377517105
ACH-000198,-0.4968610714951141
ACH-000203,0.027333507509771315
ACH-000204,-0.2604274673558761
ACH-000206,-0.4733138226174247
ACH-000207,-0.6612836150584747
ACH-000208,-0.6482530905587919
ACH-000210,-0.908017264444514
ACH-000211,-0.472292820043983
ACH-000215,-0.7221453997521743
ACH-000221,-0.31767350166153624
ACH-000222,-0.2654406968264659
ACH-000223,-0.34000102075221084
ACH-000226,-0.5653217648670681
ACH-000227,-0.4447537341983599
ACH-000228,-0.5835811358974711
ACH-000231,-0.8646870970690078
ACH-000232,-0.5981757631350011
ACH-000233,-0.34821854253860424
ACH-000234,-0.5111266271191605
ACH-000235,-0.599344904348047
ACH-000237,-0.6602414853725953
ACH-000238,-0.4294272313444774
ACH-000242,-0.3367913611708265
ACH-000243,-0.7010217671861825
ACH-000244,-0.4424430648294187
ACH-000246,-0.4151464568439884
ACH-000248,-0.6127467196752502
ACH-000250,-0.5931403083003854
ACH-000251,-0.8264994295761072
ACH-000252,-0.17737043367576616
ACH-000253,-0.6004551488730226
ACH-000255,-0.5063524695427379
ACH-000256,-0.6152910164304025
ACH-000257,-0.4489800953430737
ACH-000258,-0.6876413736490072
ACH-000259,-0.4302120003165582
ACH-000260,-0.4861540150640388
ACH-000261,-0.6758496839986189
ACH-000262,-0.5224031018393156
ACH-000263,0.020194690069816248
ACH-000264,-0.09636271147317826
ACH-000265,-0.5005632389100857
ACH-000266,-0.7996202000130582
ACH-000272,-0.4880805030817538
ACH-000274,-0.3047292482945957
ACH-000277,-0.3634034086970959
ACH-000278,-0.7035555364870151
ACH-000279,-0.7989262552686469
ACH-000280,-0.6044943379103028
ACH-000281,-0.5732246725005088
ACH-000288,-0.6424753300106562
ACH-000291,-0.513337415322732
ACH-000293,-0.5065831468169726
ACH-000294,-0.4850512341181733
ACH-000295,-0.6865128992393719
ACH-000296,-0.5710338668500864
ACH-000302,-0.4210431826573563
ACH-000304,-0.5213156082098789
ACH-000307,-0.5417782867146634
ACH-000308,-0.7996388966767826
ACH-000310,-0.4535508878825155
ACH-000311,-0.4660024959221632
ACH-000312,-0.4562442149955546
ACH-000315,-0.4454238165543016
ACH-000316,-0.4145817431688233
ACH-000317,-0.5740706717080091
ACH-000318,-0.4885360830092135
ACH-000319,-0.3610071780081904
ACH-000320,-0.335170253588007
ACH-000322,-0.5018372329618307
ACH-000323,-0.4192128679404529
ACH-000324,-0.514513693356631
ACH-000329,-0.3712153484710972
