,NDEL1 (81565)
ACH-000004,-0.35113932644672924
ACH-000005,-0.1781364289498068
ACH-000007,-0.12620150449997652
ACH-000009,-0.09110842196138726
ACH-000011,-0.1882391769545872
ACH-000012,-0.20971211506199566
ACH-000013,-0.3022943081731947
ACH-000014,0.0014785922321030305
ACH-000015,-0.22541243931655605
ACH-000017,-0.07648921494751595
ACH-000018,-0.2378756862525277
ACH-000019,-0.01592174853679736
ACH-000021,-0.13104297347047744
ACH-000022,-0.03939658912251704
ACH-000025,-0.3253947748338332
ACH-000028,-0.08603689429883972
ACH-000030,-0.06870111185990166
ACH-000035,-0.2549743370992381
ACH-000036,-0.23941660400186576
ACH-000037,-0.2034781275352072
ACH-000039,-0.0256588042983531
ACH-000040,-0.21605650525356807
ACH-000041,-0.225501633712202
ACH-000042,-0.2508196458592248
ACH-000045,-0.2489186489701193
ACH-000047,-0.12930376886909636
ACH-000052,-0.2648606403092407
ACH-000053,-0.09947356532575824
ACH-000054,-0.08699675082140003
ACH-000055,-0.16603092398435382
ACH-000060,-0.16448869182550102
ACH-000067,-0.25666679195369635
ACH-000070,-0.3017672992391727
ACH-000075,-0.17205416604994106
ACH-000078,-0.3128407695176328
ACH-000082,-0.3684778198837005
ACH-000085,-0.290466035440487
ACH-000086,-0.19497937125825576
ACH-000087,-0.3120781362466737
ACH-000092,-0.056090747269944966
ACH-000095,-0.13549619835362278
ACH-000097,-0.03003497376751304
ACH-000098,-0.10965912404120293
ACH-000099,-0.16780922482163815
ACH-000108,-0.05584825382894881
ACH-000113,-0.21770625366110533
ACH-000116,-0.11205248224082327
ACH-000118,-0.07307031306567942
ACH-000120,-0.17201784142830287
ACH-000123,-0.23650403089911035
ACH-000127,-0.16040197491437716
ACH-000128,-0.1193393637465171
ACH-000132,-0.1686180073109267
ACH-000133,-0.3083815865567112
ACH-000137,-0.16721099725996494
ACH-000138,-0.2668524225178689
ACH-000142,-0.19916297795127696
ACH-000143,-0.1524173008716182
ACH-000146,-0.2075609230711976
ACH-000148,-0.16692730222207258
ACH-000150,-0.36037839373489416
ACH-000152,-0.19554271475632629
ACH-000153,-0.2865160174488969
ACH-000159,-0.14785935398139416
ACH-000160,-0.028636177224534275
ACH-000163,-0.1616092128018177
ACH-000167,-0.3333350792847962
ACH-000168,-0.2687021396289993
ACH-000169,-0.08040684060740665
ACH-000178,-0.23221676470636865
ACH-000183,-0.18921794481679494
ACH-000188,-0.3496642958793507
ACH-000189,-0.087352432725378
ACH-000190,0.03989331975583788
ACH-000198,-0.13688819519544465
ACH-000203,-0.08099225653374828
ACH-000204,-0.18728049398958385
ACH-000206,-0.0483021662850681
ACH-000207,-0.32290711686912144
ACH-000208,-0.017493924487117913
ACH-000210,-0.27935692286881736
ACH-000211,-0.07392538087695506
ACH-000215,-0.2005766575421802
ACH-000221,-0.15621921553398446
ACH-000222,-0.1445587170197296
ACH-000223,-0.16562486414830993
ACH-000226,-0.16284790236364136
ACH-000227,-0.1157783443532632
ACH-000228,-0.1428761144989613
ACH-000231,-0.0452738017966686
ACH-000232,-0.048136449566791736
ACH-000233,-0.17756512409471306
ACH-000234,-0.13098662273324824
ACH-000235,-0.1011623698074682
ACH-000237,-0.19540794689405944
ACH-000238,-0.11355686374571727
ACH-000242,-0.2542094814350151
ACH-000243,-0.16265360215451674
ACH-000244,-0.17660788258346086
ACH-000246,-0.2484488950918738
ACH-000248,-0.07756700065774311
ACH-000250,-0.1758296451816679
ACH-000251,-0.1794567626346534
ACH-000252,-0.282955881598933
ACH-000253,-0.2012744182616004
ACH-000255,-0.158840151690087
ACH-000256,-0.1450690827066561
ACH-000257,-0.2195814699643755
ACH-000258,-0.16946898248298112
ACH-000259,0.011787948362506384
ACH-000260,-0.015974583161474876
ACH-000261,-0.0509837920964725
ACH-000262,-0.1462097294422812
ACH-000263,-0.31408646363635584
