,RANGRF (29098)
ACH-000004,-0.2567708368382823
ACH-000005,0.15515582391147184
ACH-000007,0.00018519784446246676
ACH-000009,-0.1833418071689412
ACH-000011,0.07340343970706678
ACH-000012,-0.038465719489616065
ACH-000013,-0.10817109294450246
ACH-000014,0.01727649207280791
ACH-000015,-0.18157745214084228
ACH-000017,0.006193471024202377
ACH-000018,-0.17615190394886804
ACH-000019,-0.12546768454225793
ACH-000021,-0.04831639702748245
ACH-000022,-0.0409402978477008
ACH-000025,-0.20193701451030546
ACH-000028,-0.09251898113490964
ACH-000030,-0.06828100049498094
ACH-000035,-0.16957622189588895
ACH-000036,-0.1126120203582582
ACH-000037,-0.3289508223166285
ACH-000039,-0.06119647245773671
ACH-000040,-0.25793822112677545
ACH-000041,-0.22904129898049036
ACH-000042,-0.14787810514609356
ACH-000045,-0.16540851542950594
ACH-000047,-0.16115486786396066
ACH-000052,-0.16668364218386034
ACH-000053,-0.06669350922790672
ACH-000054,-0.06959378074931484
ACH-000055,-0.2814753500842965
ACH-000060,-0.09144982673848603
ACH-000067,-0.3239395317260599
ACH-000070,0.08113181499583262
ACH-000075,-0.13699403084384412
ACH-000078,-0.08032117105946966
ACH-000082,-0.16851460734918752
ACH-000085,-0.07608865889970641
ACH-000086,-0.04664751032254583
ACH-000087,-0.24307003659691095
ACH-000092,0.001154850672017284
ACH-000095,-0.10559811119288852
ACH-000097,-0.09019646888154778
ACH-000098,-0.1112266111542544
ACH-000099,-0.1014787085844136
ACH-000108,-0.16790642033199246
ACH-000113,-0.16488812356170687
ACH-000116,-0.10923705251942256
ACH-000118,0.062461327904824636
ACH-000120,-0.07423491543444327
ACH-000123,-0.10373455908824557
ACH-000127,-0.07288861665608014
ACH-000128,-0.12435335313292414
ACH-000132,-0.16784449655379616
ACH-000133,-0.09685864485986094
ACH-000137,-0.12150372935537528
ACH-000138,-0.1132946711811358
ACH-000142,0.035008298837380554
ACH-000143,-0.08551200678994088
ACH-000146,-0.038095981766523665
ACH-000148,-0.09962219097731924
ACH-000150,-0.1779438072968497
ACH-000152,-0.2696731713702971
ACH-000153,-0.029571677178075174
