,PHRF1 (57661)
ACH-000004,-0.1454181324856586
ACH-000005,-0.15314648010052706
ACH-000007,-0.06878616636061824
ACH-000009,-0.07458048368380456
ACH-000011,-0.10124588878897577
ACH-000012,-0.10425693952811672
ACH-000013,-0.12189042853284165
ACH-000014,-0.16243939417935727
ACH-000015,0.1121240409742826
ACH-000017,-0.14212628656366824
ACH-000018,-0.2040264958246394
ACH-000019,-0.17365620112484872
ACH-000021,-0.07748526009327869
ACH-000022,-0.13034835618877302
ACH-000025,-0.07432865623171175
ACH-000028,-0.029653461214552763
ACH-000030,-0.12673289722367986
ACH-000035,-0.111385171590134
ACH-000036,-0.27638813660731776
ACH-000037,-0.12559776795098548
ACH-000039,-0.02628612638433509
ACH-000040,-0.042191735294665834
ACH-000041,-0.21275849414304165
ACH-000042,-0.10096557971099568
ACH-000045,-0.22922815833075116
ACH-000047,-0.33207890401748136
ACH-000052,0.023775368834493438
ACH-000053,-0.011067210538579331
ACH-000054,0.01087296629600114
ACH-000055,-0.20856791968720886
ACH-000060,-0.018856758056966263
ACH-000067,-0.2276605789187064
ACH-000070,0.027255231784733186
ACH-000075,-0.10155600571794478
ACH-000078,-0.15954596575179056
ACH-000082,-0.004230903392536076
ACH-000085,-0.1668610696083892
ACH-000086,-0.05931447141170373
ACH-000087,0.13172489925059944
ACH-000092,0.003502292995382926
ACH-000095,-0.15405316301792807
ACH-000097,-0.11579164021838295
ACH-000098,-0.09416950202892893
ACH-000099,-0.13201496217479392
ACH-000108,-0.15874050773802562
ACH-000113,-0.07461413033351295
ACH-000116,-0.03555381492089787
ACH-000118,-0.04054269150519838
ACH-000120,-0.27190938971820683
ACH-000123,-0.0054210280249988455
ACH-000127,-0.09025243628335804
ACH-000128,-0.14799838615246466
ACH-000132,-0.09079682485950874
ACH-000133,0.08431830698824681
ACH-000137,0.007236867554973166
ACH-000138,-0.20721024190892406
ACH-000142,-0.052016444796851184
ACH-000143,-0.2598964072680894
ACH-000146,-0.0522325183234465
ACH-000148,-0.1060666797789018
ACH-000150,-0.10441072134471928
ACH-000152,-0.10692277968456793
ACH-000153,-0.11992724222576
ACH-000159,-0.07257108141242577
ACH-000160,0.17179374505037218
ACH-000163,-0.2183425276705453
ACH-000167,0.5591560941949357
ACH-000168,-0.07474101993472564
ACH-000169,-0.0978447100614044
ACH-000178,-0.09641110922337516
ACH-000183,0.08599245343252092
ACH-000188,-0.17719128804077725
ACH-000189,-0.03075583926106833
ACH-000190,0.21585155081998875
ACH-000198,-0.042185705221609214
ACH-000203,-0.2552560301054156
ACH-000204,0.04554754270149415
ACH-000206,-0.09117934289494267
ACH-000207,-0.06988572329544025
ACH-000208,0.3875059324271211
ACH-000210,-0.2370807559249683
ACH-000211,-0.1331754573084541
ACH-000215,-0.01110962794569092
ACH-000221,0.01417163942849029
ACH-000222,-0.05492188844039559
ACH-000223,-0.02796003266723574
ACH-000226,-0.11697031613369448
ACH-000227,-0.16147580059579553
ACH-000228,-0.023558845346868085
ACH-000231,-0.07276453859401769
ACH-000232,-0.15752581981169636
ACH-000233,-0.0350393215233857
ACH-000234,-0.11787859220348593
ACH-000235,-0.09870727636353778
ACH-000237,-0.028135302936920487
ACH-000238,-0.13896833353119215
ACH-000242,-0.2290722942091294
ACH-000243,-0.018772158335779096
ACH-000244,-0.16699322731227803
ACH-000246,-0.09795171307432377
ACH-000248,-0.024561227704259003
ACH-000250,-0.11608186489951232
ACH-000251,0.03660627085059556
ACH-000252,-0.003875617336985768
ACH-000253,-0.038408924366436746
ACH-000255,-0.019082117252758792
ACH-000256,-0.16362621852628026
ACH-000257,-0.2577360577517971
ACH-000258,-0.1923007697519753
ACH-000259,-0.036856274006321466
ACH-000260,-0.1106323627627076
ACH-000261,-0.16422926985607558
ACH-000262,0.06794430892860315
ACH-000263,-0.3093772701702774
ACH-000264,-0.06033673524145961
ACH-000265,0.01416713914357202
ACH-000266,-0.061230636418684176
ACH-000272,-0.1501665430328798
ACH-000274,-0.14479497915788733
ACH-000277,-0.13418464434695562
ACH-000278,-0.05838725298201375
ACH-000279,-0.04505799995078473
ACH-000280,-0.1964960706452561
ACH-000281,-0.1935177159359412
ACH-000288,-0.0629128125473644
ACH-000291,-0.016597336914416037
ACH-000293,-0.11968793535013242
ACH-000294,-0.06542648298558919
ACH-000295,0.005292024269314511
ACH-000296,0.025363328044698926
ACH-000302,-0.0787057451858821
ACH-000304,0.049650481806884285
ACH-000307,-0.08252493120964638
ACH-000308,-0.014157098434021818
ACH-000310,-0.16837783132875908
ACH-000311,-0.07736414754527221
ACH-000312,-0.14472513932576905
ACH-000315,-0.022565715624682632
ACH-000316,-0.14983046418131085
ACH-000317,-0.15028917467962308
ACH-000318,0.061535709027786135
ACH-000319,-0.17006103216041005
ACH-000320,-0.048998558537954304
ACH-000322,-0.22100506731371944
ACH-000323,-0.10773683726097362
ACH-000324,-0.14400169154931225
ACH-000329,-0.06197958839807322
ACH-000330,-0.15003530712521926
ACH-000331,-0.17393875536935774
ACH-000332,-0.18001053489780194
ACH-000334,-0.17853510931287472
ACH-000335,-0.09216081929085558
ACH-000336,-0.2492167523023564
ACH-000337,-0.2286721611251028
ACH-000338,0.1848457136291841
ACH-000339,-0.09972392008397267
ACH-000341,-0.1154297156936588
ACH-000348,-0.1160491787072528
ACH-000350,-0.12067162388471155
ACH-000352,0.03034456317327905
ACH-000356,-0.1342854820696486
ACH-000361,-0.12998553048987244
ACH-000362,-0.09873385716295256
ACH-000363,-0.1538657137464697
ACH-000364,-0.140468411826991
ACH-000365,-0.07982945387017923
ACH-000366,-0.170965150877794
ACH-000368,-0.13461024546254607
ACH-000374,-0.22833838888897126
ACH-000375,-0.019229661904716314
ACH-000376,-0.15851078991095746
ACH-000381,-0.1549072463635355
ACH-000383,-0.167157329244398
ACH-000387,-0.17312499234434134
ACH-000389,-0.14697748079199618
ACH-000390,-0.04672187187426724
ACH-000393,-0.28756451861025684
ACH-000395,-0.2475361451399156
ACH-000396,-0.22778458488338416
ACH-000397,-0.10993362695145864
ACH-000401,-0.01052813049483266
ACH-000402,-0.17931388371712906
ACH-000403,-0.06635785682935685
ACH-000404,-0.2864393225055393
ACH-000406,-0.07501567253841394
ACH-000407,0.004226227958419619
ACH-000408,-0.004146062488143475
ACH-000410,0.07212776070992939
ACH-000411,-0.14864339990239214
ACH-000414,-0.13693009734020015
ACH-000415,-0.02856032991925635
ACH-000416,-0.02860247649866605
ACH-000420,-0.06658395807181201
ACH-000421,-0.011129180997108109
ACH-000424,0.029155431829076445
ACH-000425,0.0029046564732902328
ACH-000426,0.026194962006961836
ACH-000427,-0.14410568752705707
ACH-000433,0.0020210454918158077
ACH-000435,-0.20334227990060366
ACH-000436,-0.09803844430286296
