,XRN1 (54464)
ACH-000004,-0.5387685935084209
ACH-000005,-0.4431550137100522
ACH-000007,-0.44971237366009215
ACH-000009,-0.4785826749127434
ACH-000011,-0.18994670888836868
ACH-000012,-0.31009816985656585
ACH-000013,-0.27158685635085483
ACH-000014,-0.8475341159764839
ACH-000015,-0.4569182916378415
ACH-000017,-0.42301064252739534
ACH-000018,-0.6299117690607494
ACH-000019,-0.048560855473039836
ACH-000021,-0.6219090416749921
ACH-000022,-0.3774876429666637
ACH-000025,-0.2883713381794449
ACH-000028,-0.2578861791133601
ACH-000030,-0.04508401435734992
ACH-000035,-0.9823826570441974
ACH-000036,-0.4995207099015042
ACH-000037,-0.1657530693050887
ACH-000039,-0.7428432107318003
ACH-000040,-0.09861770952522336
ACH-000041,-0.5245238573407773
ACH-000042,-0.6015740783172698
ACH-000045,-0.10248033749451388
ACH-000047,0.051207014130069714
ACH-000052,-0.4307481710187031
ACH-000053,-0.7293184988482374
ACH-000054,-0.12758037078211582
ACH-000055,-0.7359084467911601
ACH-000060,-0.6140700999244539
ACH-000067,-0.4768680795566446
ACH-000070,-0.6902518938153599
ACH-000075,-0.4120591119287465
ACH-000078,-0.3830164125638991
ACH-000082,-0.5101669245620811
ACH-000085,-0.4740980995802344
ACH-000086,-0.28111823650345724
ACH-000087,-0.4205125118225186
ACH-000092,-0.7946197360400633
ACH-000095,-0.6664382975390113
ACH-000097,-0.2740391874801817
ACH-000098,-0.07487291143317315
ACH-000099,-0.6594785049228573
ACH-000108,-0.04072590141682661
ACH-000113,-0.025338877625978317
ACH-000116,-0.42351299191412267
ACH-000118,-0.7470420980092546
ACH-000120,-0.5585177827567932
ACH-000123,-0.39117188631037053
ACH-000127,-0.965401109255038
ACH-000128,-0.8082808722883907
ACH-000132,-0.09721201243837843
ACH-000133,-0.5920607407548081
ACH-000137,-0.628248634134045
ACH-000138,-0.7602493772950022
ACH-000142,-0.4871409003849119
ACH-000143,-0.7742958955153537
ACH-000146,-0.3409783796888886
ACH-000148,-0.486923148838888
ACH-000150,-0.31569742765138875
ACH-000152,-0.3246903712849704
ACH-000153,-1.2067316079511043
ACH-000159,-0.17949019027684868
ACH-000160,-0.386417644643351
ACH-000163,-0.357776239372846
ACH-000167,0.12654607118101116
ACH-000168,-0.09010211149217466
ACH-000169,-0.6187246846388801
ACH-000178,-0.6292510167719404
ACH-000183,-0.6615189982250231
ACH-000188,-0.5018617463786993
ACH-000189,-0.5371255878830231
ACH-000190,-0.9172603782733176
ACH-000198,-0.5046508048389772
ACH-000203,-1.0197736824871495
ACH-000204,-0.6082072130948567
ACH-000206,-0.5266976162128212
ACH-000207,-0.8637325363982262
ACH-000208,-0.3008582091745838
ACH-000210,-0.2652151624922352
ACH-000211,-0.4547477085559651
ACH-000215,-0.23802816708694366
ACH-000221,-0.6142840308625567
ACH-000222,-0.7361958319177072
ACH-000223,-0.8802956541902932
ACH-000226,-0.315777080333364
ACH-000227,-0.5322944440750538
ACH-000228,-0.4117181849572679
ACH-000231,-0.9045606625500006
ACH-000232,-0.5073313138020118
