,CEP85L (387119)
ACH-000004,-0.3382813249504549
ACH-000005,-0.31644609129685186
ACH-000007,-0.2389605560852919
ACH-000009,-0.09882330099824682
ACH-000011,-0.17907023455731874
ACH-000012,-0.06645626986185464
ACH-000013,-0.19163012090175904
ACH-000014,-0.24546763389453494
ACH-000015,-0.2332063338740827
ACH-000017,-0.04230333389116677
ACH-000018,-0.4048106647401482
ACH-000019,-0.24451774497956574
ACH-000021,-0.29871409138320953
ACH-000022,-0.2316730132819264
ACH-000025,-0.2437388607736883
ACH-000028,-0.2028893433950206
ACH-000030,-0.2833100479310201
ACH-000035,-0.14297677959545246
ACH-000036,-0.2945872773042206
ACH-000037,-0.03459018706663833
ACH-000039,-0.5288596132899139
ACH-000040,-0.02426984353719535
ACH-000041,-0.1987436146162581
ACH-000042,-0.12243634304622852
ACH-000045,-0.0988216195248488
ACH-000047,-0.12690702459359246
ACH-000052,-0.18907398194552894
ACH-000053,-0.07123758292648621
ACH-000054,-0.27248045666213
ACH-000055,-0.3691560375185418
ACH-000060,-0.35910695575944096
ACH-000067,-0.36303533036321256
ACH-000070,-0.2574952741687782
ACH-000075,-0.046698569197863034
ACH-000078,0.006086768793048876
ACH-000082,-0.2660951114449996
ACH-000085,-0.3337602099515787
ACH-000086,-0.19050658921339644
ACH-000087,-0.2897868597531024
ACH-000092,-0.1993447027975428
ACH-000095,-0.2428277818382792
ACH-000097,-0.11705794857865642
ACH-000098,-0.3375389802885954
ACH-000099,-0.2758286694021552
ACH-000108,-0.05967844867425759
ACH-000113,-0.19457464061751545
ACH-000116,-0.1515762736535805
ACH-000118,-0.12979819963480374
ACH-000120,-0.18028980608620848
ACH-000123,-0.14098439402294144
ACH-000127,-0.11980615625565245
ACH-000128,-0.1981586029057985
ACH-000132,-0.3731858347059325
ACH-000133,-0.03303066660870271
ACH-000137,-0.21987967203402606
ACH-000138,-0.13415233164176255
ACH-000142,-0.07791896708461374
ACH-000143,-0.241265355114663
ACH-000146,-0.1882752083202016
ACH-000148,-0.215425300773542
ACH-000150,-0.07001813977366265
ACH-000152,-0.2851584434215181
ACH-000153,-0.051906434037378865
ACH-000159,-0.2123737558100918
ACH-000160,-0.2673269160990853
ACH-000163,-0.2410332033079329
ACH-000167,-0.6319108203550033
ACH-000168,-0.14366168662263995
ACH-000169,-0.12957454927272866
ACH-000178,-0.09389994348338557
ACH-000183,0.0375753403423734
ACH-000188,-0.09284636280377644
ACH-000189,-0.3201038831467791
ACH-000190,-0.2567167924871189
ACH-000198,-0.12104486524262972
ACH-000203,-0.10146038418578347
ACH-000204,-0.4392346685685265
ACH-000206,-0.4074069624368865
ACH-000207,-0.11153337235842876
ACH-000208,-0.11796192277755566
ACH-000210,-0.022989767389703392
ACH-000211,-0.2403047861282553
ACH-000215,-0.15166339200160042
ACH-000221,-0.19548927104648864
ACH-000222,-0.015280158602794153
ACH-000223,-0.2518056410147865
ACH-000226,-0.15739740705394287
ACH-000227,-0.5063016030626912
ACH-000228,-0.3212351133794216
ACH-000231,-0.2664316534909772
ACH-000232,-0.14112580957043128
ACH-000233,-0.2108467846737428
ACH-000234,-0.10560265606076832
ACH-000235,-0.1557729225749007
ACH-000237,-0.0009457922231408348
ACH-000238,-0.13703852158054922
ACH-000242,-0.03464630006337862
ACH-000243,-0.10754340391088846
ACH-000244,-0.448285096576806
ACH-000246,-0.0864243298155388
ACH-000248,-0.1229047377312164
ACH-000250,-0.0953137037422536
ACH-000251,-0.3612249067850323
ACH-000252,-0.05125785328111844
ACH-000253,-0.2402702708697437
ACH-000255,-0.17683278818339138
ACH-000256,-0.04295437442242795
ACH-000257,-0.09783373811441463
ACH-000258,-0.05635338446366118
ACH-000259,-0.2342504098974295
ACH-000260,-0.2045230569469601
ACH-000261,-0.3737976036187208
ACH-000262,-0.11985447265938674
ACH-000263,-0.0754959724997781
ACH-000264,-0.13458223384340226
ACH-000265,-0.1086600714833708
ACH-000266,-0.07259926989478584
ACH-000272,-0.21868527411444294
ACH-000274,-0.21167296775591096
ACH-000277,-0.1349526531529871
ACH-000278,-0.1919625841568897
ACH-000279,-0.18773238294302266
ACH-000280,-0.054868850421210716
ACH-000281,-0.022381971347757292
ACH-000288,-0.3500893465275169
ACH-000291,-0.10179958940905673
ACH-000293,-0.2291311437485501
ACH-000294,0.07008017597771156
ACH-000295,-0.4525844866285898
ACH-000296,-0.10621142769932523
ACH-000302,-0.11924347966918168
ACH-000304,0.034054370754727926
ACH-000307,-0.10257676031425783
ACH-000308,-0.10004341362951667
ACH-000310,-0.19003500699792766
ACH-000311,-0.11211044822881376
ACH-000312,0.0373898831212164
ACH-000315,0.05382383111068483
ACH-000316,0.039933816845149385
ACH-000317,-0.04464387348006805
ACH-000318,-0.14869611797175075
ACH-000319,-0.12346157600430205
ACH-000320,-0.09447781317181393
ACH-000322,-0.33810913523666164
ACH-000323,-0.15904219429980151
ACH-000324,-0.27788750160838105
ACH-000329,-0.2931577673375585
ACH-000330,-0.2527580711211168
ACH-000331,-0.22598031738027685
ACH-000332,-0.10589258608890788
ACH-000334,0.1176086995246078
ACH-000335,-0.35117449635052417
ACH-000336,-0.2735614263267425
ACH-000337,-0.10741890367829153
ACH-000338,-0.4889699636351082
ACH-000339,-0.2360495083507279
ACH-000341,-0.1444837654281796
ACH-000348,-0.1654218135662308
ACH-000350,0.04007450854317497
ACH-000352,-0.1614308938717175
ACH-000356,-0.07284706220692627
ACH-000361,-0.1956614340129983
ACH-000362,-0.14726142130658365
ACH-000363,0.055104307833208924
ACH-000364,-0.08635387506633642
ACH-000365,-0.15438108505841258
ACH-000366,-0.3642348724803689
ACH-000368,-0.3866274897451946
ACH-000374,-0.10214571909567333
ACH-000375,-0.038013854619026136
ACH-000376,-0.190339732971804
ACH-000381,-0.031078513737951282
ACH-000383,-0.21432584644301966
ACH-000387,-0.2756423393268638
ACH-000389,-0.10805383033808047
ACH-000390,-0.061970435623902274
ACH-000393,-0.2267146901709163
ACH-000395,-0.1276292727794316
ACH-000396,-0.01350215789482948
ACH-000397,-0.10719394414592456
ACH-000401,-0.15209643261513792
ACH-000402,0.3382934237814229
ACH-000403,-0.18698275401792175
ACH-000404,-0.6468386455053532
ACH-000406,-0.20791723545994825
ACH-000407,-0.1471295930921348
ACH-000408,-0.04044627964243632
ACH-000410,-0.16319424259868182
ACH-000411,-0.2914204472460277
ACH-000414,-0.2649283440668201
ACH-000415,-0.325063969731186
ACH-000416,-0.24004999063398355
ACH-000420,-0.1652500724409126
ACH-000421,-0.1841088753622672
ACH-000424,-0.08107401375116631
ACH-000425,-0.291115698654001
ACH-000426,-0.21883458847584725
ACH-000427,-0.2954972048714989
ACH-000433,-0.09989008077411916
ACH-000435,-0.1491942526090729
ACH-000436,-0.011649859761872744
ACH-000444,-0.1653659423909336
ACH-000445,-0.2795125436137936
ACH-000448,-0.1632523973408382
