,ST20 (400410)
ACH-000004,-0.16824519343842326
ACH-000005,-0.17485403823818935
ACH-000007,-0.0035939831447176314
ACH-000009,-0.2978524554042604
ACH-000011,-0.06984004173237424
ACH-000012,-0.24850733568716446
ACH-000013,-0.39551011366636063
ACH-000014,-0.4953685452755903
ACH-000015,-0.4660532618655514
ACH-000017,-0.2968892335507457
ACH-000018,-0.1616943797990507
ACH-000019,-0.4327106730760869
ACH-000021,-0.33152056042839984
ACH-000022,-0.2241601089893786
ACH-000025,-0.2600944202878441
ACH-000028,-0.21735117159211664
ACH-000030,-0.3888456898774766
ACH-000035,-0.18663551572493106
ACH-000036,-0.22123208944742845
ACH-000037,-0.10528869895167046
ACH-000039,-0.343311288668378
ACH-000040,-0.19806745957030367
ACH-000041,-0.2224865168116494
ACH-000042,-0.2212369174806177
ACH-000045,-0.10214353675852574
ACH-000047,-0.4002193613272857
ACH-000052,-0.23294962236538805
ACH-000053,-0.2460589564598003
ACH-000054,-0.2164730173454452
ACH-000055,-0.1947912798936039
ACH-000060,-0.17699351021048218
ACH-000067,-0.16624193323313405
ACH-000070,-0.34527568201465875
ACH-000075,-0.4853219596794044
ACH-000078,-0.2656276187338681
ACH-000082,-0.2459357537294233
ACH-000085,-0.5117504123028686
ACH-000086,-0.16152873346484986
ACH-000087,-0.1295456821977225
ACH-000092,-0.4985722368044055
ACH-000095,-0.34122282779094715
ACH-000097,-0.27743321641937785
ACH-000098,-0.1485768844503402
ACH-000099,-0.2948217845654329
ACH-000108,-0.3032929243934165
ACH-000113,-0.23368206492431226
ACH-000116,-0.3272485803383131
ACH-000118,-0.2832990678087595
ACH-000120,-0.1150367113281026
ACH-000123,-0.3077607716594196
ACH-000127,-0.2768338436547957
ACH-000128,-0.3168083202884874
ACH-000132,-0.2963219001230341
ACH-000133,-0.1363351592958632
ACH-000137,-0.3395295606381412
ACH-000138,-0.32276941441820417
ACH-000142,-0.3679682842676865
ACH-000143,-0.4844613864941919
ACH-000146,-0.3173349804323806
ACH-000148,-0.2769830169331116
ACH-000150,-0.15961889694516646
ACH-000152,-0.16869958525169396
ACH-000153,-0.014719201803179462
ACH-000159,-0.3040498512469764
ACH-000160,-0.5944416145107957
ACH-000163,-0.27093590908355664
ACH-000167,-0.5682088598808228
ACH-000168,-0.34573382051036017
ACH-000169,-0.3236176684569801
ACH-000178,-0.3864232365834548
ACH-000183,-0.4171801976197949
ACH-000188,-0.27117659914017955
ACH-000189,-0.4093417477034687
ACH-000190,-0.16285298125347494
ACH-000198,-0.3320253535807437
ACH-000203,-0.4572767390234817
ACH-000204,-0.3723145260254353
ACH-000206,-0.5473236938978517
ACH-000207,-0.18629254397227976
ACH-000208,-0.39892755197337215
ACH-000210,-0.236847026340894
ACH-000211,-0.2223946907476694
ACH-000215,-0.28554986795415743
ACH-000221,-0.15668440543936246
ACH-000222,-0.3244577932849927
ACH-000223,-0.3890122322250284
ACH-000226,-0.35814941523278004
ACH-000227,-0.2997832436553927
ACH-000228,-0.5331343229809772
ACH-000231,-0.28768719156993394
ACH-000232,-0.23562591078738834
ACH-000233,-0.3311295961403419
ACH-000234,-0.21664444313286416
ACH-000235,-0.3185716115781929
ACH-000237,-0.211137510371756
ACH-000238,-0.5154316361039775
ACH-000242,-0.2575802590003091
ACH-000243,-0.2932943560363933
ACH-000244,-0.3137779815183341
ACH-000246,-0.1936503180123256
ACH-000248,0.010599729104664609
ACH-000250,-0.3014338525267741
ACH-000251,-0.3601302016762453
ACH-000252,-0.3014084693360022
ACH-000253,-0.1378104511159965
ACH-000255,-0.2554272025072561
ACH-000256,-0.5239912034770466
ACH-000257,-0.3673270992472683
ACH-000258,-0.14418268713106586
ACH-000259,-0.3988474114333278
ACH-000260,-0.34639631839410423
ACH-000261,-0.2370477662896544
ACH-000262,-0.039724501231845816
ACH-000263,-0.4133702176630287
ACH-000264,-0.3774703190386562
ACH-000265,-0.2907364679467441
ACH-000266,-0.31311778874464885
ACH-000272,-0.20067993674025805
ACH-000274,-0.3303843368688408
ACH-000277,-0.1731436665091432
ACH-000278,-0.3054736054544997
ACH-000279,-0.19362268116196416
ACH-000280,-0.32870696244648145
ACH-000281,-0.3286387163390002
ACH-000288,-0.300461378167046
ACH-000291,-0.2344453957960828
ACH-000293,-0.6160309620155976
ACH-000294,0.3703528920233275
ACH-000295,-0.1435838650703715
