,IL36B (27177)
ACH-000004,-0.18214641426723
ACH-000005,0.04618659215708015
ACH-000007,-0.3502315619616245
ACH-000009,-0.12703919514231235
ACH-000011,-0.0563941211967566
ACH-000012,-0.18422293847971166
ACH-000013,-0.22184140563079072
ACH-000014,0.06367846045691014
ACH-000015,-0.038112925436761036
ACH-000017,-0.10364013041834316
ACH-000018,-0.12468438574139007
ACH-000019,-0.13472222204206255
ACH-000021,0.0059327909172795425
ACH-000022,0.08485113188815342
ACH-000025,-0.15225523937828253
ACH-000028,-0.22264474625192465
ACH-000030,-0.1018696331336518
ACH-000035,-0.18743684631652036
ACH-000036,-0.09758603742132994
ACH-000037,-0.28109650635828204
ACH-000039,0.09304738372898844
ACH-000040,-0.05910070586734888
ACH-000041,0.08886634988592908
ACH-000042,-0.11164513883897846
ACH-000045,0.0273098196188834
ACH-000047,-0.14591636032183747
ACH-000052,0.01477019185644137
ACH-000053,-0.142242833289564
ACH-000054,-0.16189135613241468
ACH-000055,-0.11823904352609647
ACH-000060,-0.06415436485174211
ACH-000067,-0.2832785480241093
ACH-000070,-0.05364938014885035
ACH-000075,-0.2466864479839972
ACH-000078,-0.009236152064097329
ACH-000082,-0.12150089744869855
ACH-000085,-0.1509241017681986
ACH-000086,-0.0936127810152544
ACH-000087,-0.005731158856252907
ACH-000092,-0.17909170835700536
ACH-000095,-0.07542989081029035
ACH-000097,-0.12341208769077686
ACH-000098,-0.16563547508958273
ACH-000099,-0.03019703136770695
ACH-000108,-0.04919559549138964
ACH-000113,-0.14880037981027966
ACH-000116,-0.18740383123029095
ACH-000118,-0.1311656545312201
ACH-000120,0.0625050380725768
ACH-000123,-0.18448700850921965
ACH-000127,-0.14180308289301222
ACH-000128,-0.05344919780914738
ACH-000132,-0.18432346667955804
ACH-000133,-0.2802602475598842
ACH-000137,-0.007153356555698572
ACH-000138,0.003613265684218001
ACH-000142,-0.27969080048564465
ACH-000143,-0.05258316698352072
ACH-000146,-0.11726655021201507
ACH-000148,-0.1268738102468702
ACH-000150,-0.05678252086992675
ACH-000152,-0.14606389901647554
ACH-000153,0.02118542584935992
ACH-000159,-0.13871444397437852
ACH-000160,-0.1098487162464838
ACH-000163,-0.02239301635788288
ACH-000167,-0.19177662817434796
ACH-000168,-0.1418811665767
ACH-000169,-0.027820125045195557
ACH-000178,-0.09952540662440484
ACH-000183,0.05211382648271377
ACH-000188,-0.1179923460313722
ACH-000189,-0.2579703601853469
ACH-000190,-0.12455933108447162
ACH-000198,-0.14704623159203706
ACH-000203,0.07653499227445702
ACH-000204,-0.003780157048293647
ACH-000206,-0.21730499738857306
ACH-000207,-0.033290932994094344
ACH-000208,-0.3038737624523565
