,HIF1AN (55662)
ACH-000004,-0.1924161961046932
ACH-000005,-0.20665357645263452
ACH-000007,-0.2087262944441112
ACH-000009,-0.07692551059304184
ACH-000011,-0.11844131308806105
ACH-000012,-0.2747882642988954
ACH-000013,-0.2997629543765802
ACH-000014,-0.4196372294336291
ACH-000015,-0.19287513983118856
ACH-000017,-0.14176430020145647
ACH-000018,-0.24824609925931945
ACH-000019,0.014025205840610823
ACH-000021,-0.10070800616792756
ACH-000022,-0.1288297095118766
ACH-000025,-0.4527543459665152
ACH-000028,-0.11060435785171634
ACH-000030,-0.2633255408723272
ACH-000035,-0.2391539326752112
ACH-000036,-0.3302841878584333
ACH-000037,-0.3667291697598273
ACH-000039,-0.2353972599272194
ACH-000040,-0.2815401353837022
ACH-000041,-0.47191164693872706
ACH-000042,-0.1847155259053273
ACH-000045,-0.04916699133305342
ACH-000047,-0.052779178577258494
ACH-000052,0.05549666418232895
ACH-000053,-0.3668283539623977
ACH-000054,-0.12674306255473067
ACH-000055,-0.17104884252114516
ACH-000060,-0.22000571191303508
ACH-000067,-0.11442272402185492
ACH-000070,-0.30329514979054584
ACH-000075,-0.3455566357514491
ACH-000078,-0.2645886549919261
ACH-000082,-0.2720332291142902
ACH-000085,-0.22269833697214486
ACH-000086,-0.3691381784899898
ACH-000087,-0.00034382120234881084
ACH-000092,-0.10355848957800512
ACH-000095,-0.563708289416241
ACH-000097,-0.2369115493365169
ACH-000098,-0.2945103066776624
ACH-000099,-0.2434453214822481
ACH-000108,-0.3022094087648914
ACH-000113,-0.31230983203758617
ACH-000116,-0.18270711810963128
ACH-000118,-0.09587290420349194
ACH-000120,-0.17641321584650016
ACH-000123,-0.1415722017714515
ACH-000127,-0.28998397334676884
ACH-000128,-0.17234615799802766
ACH-000132,-0.16762739911691932
ACH-000133,-0.08150366362310346
ACH-000137,-0.08878014451790807
ACH-000138,-0.21751697851827467
ACH-000142,-0.09690982599029453
ACH-000143,-0.14249907355068162
ACH-000146,-0.17888585535565812
ACH-000148,-0.1817759474799861
ACH-000150,-0.12804018663360786
ACH-000152,-0.1335527065968598
ACH-000153,-0.09536590582195598
ACH-000159,-0.3475892213937184
ACH-000160,0.1163828244806588
ACH-000163,-0.2696049027580915
ACH-000167,-0.01957036002200071
ACH-000168,-0.3916006155149069
ACH-000169,-0.1936253341296424
ACH-000178,-0.05905722577861201
ACH-000183,-0.4732365431599999
ACH-000188,-0.10930119420631132
ACH-000189,-0.5739420076203147
ACH-000190,-0.10289866876965764
ACH-000198,-0.5797728087672752
ACH-000203,0.15625974588317826
ACH-000204,-0.4385027285906247
ACH-000206,-0.29223314806772205
ACH-000207,-0.3029098268767469
ACH-000208,-0.016130430426220338
ACH-000210,-0.6413997106582623
ACH-000211,-0.17516648377863306
ACH-000215,-0.09942000667678492
ACH-000221,-0.10232101313368082
ACH-000222,-0.13577996357177124
ACH-000223,-0.18864432029966666
ACH-000226,-0.31698696283515165
ACH-000227,-0.13056399389918533
