,SUN3 (256979)
ACH-000004,-0.0962506600216196
ACH-000005,0.027096634968150003
ACH-000007,-0.0663265369362078
ACH-000009,-0.015955786547073227
ACH-000011,-0.07569177766598009
ACH-000012,-0.0996393970908236
ACH-000013,-0.10997563788199884
ACH-000014,-0.043334340515995384
ACH-000015,0.027544699573353496
ACH-000017,-0.08064346193104342
ACH-000018,0.06823121427439399
ACH-000019,0.12431173485474158
ACH-000021,-0.11723543510683855
ACH-000022,-0.0909126517754633
ACH-000025,0.12411295945989442
ACH-000028,-0.044646344903481655
ACH-000030,-0.010357098936077058
ACH-000035,-0.19258069512103246
ACH-000036,-0.054234049645457034
ACH-000037,-0.04910207635997786
ACH-000039,-0.04705988238228073
ACH-000040,-0.046540706449850255
ACH-000041,-0.06316105709552756
ACH-000042,-0.043770067703328086
ACH-000045,0.06070071701757573
ACH-000047,-0.0772740367203247
ACH-000052,0.042422364325102005
ACH-000053,-0.1092275535479404
ACH-000054,0.01766993449946399
ACH-000055,-0.24946182752785015
ACH-000060,-0.2429507303304051
ACH-000067,-0.006838190698336427
ACH-000070,0.025964675250163948
ACH-000075,-0.017429609071273174
ACH-000078,0.0518887041209041
ACH-000082,-0.10730332246822337
ACH-000085,0.15590672874176945
ACH-000086,-0.1245160736444626
ACH-000087,-0.005217733638944274
ACH-000092,-0.17113832585908642
ACH-000095,-0.13881652113241846
ACH-000097,-0.07604499437268196
ACH-000098,-0.0962923542006972
ACH-000099,0.0002365540147979961
ACH-000108,-0.06477962164298104
ACH-000113,-0.112789458506713
ACH-000116,-0.1015619878805842
ACH-000118,-0.17816414252608756
ACH-000120,-0.040492152643168584
ACH-000123,0.09126214080627484
ACH-000127,0.06312246635160917
ACH-000128,-0.283556093548972
ACH-000132,0.07100173331961944
ACH-000133,-0.05518631961662381
ACH-000137,0.01184090719663953
ACH-000138,-0.03316534080518635
ACH-000142,-0.1922470366420169
ACH-000143,-0.1097107771135089
ACH-000146,-0.08476973712408255
ACH-000148,0.0552868680696172
ACH-000150,0.037679304448346766
ACH-000152,-0.10102976990270147
ACH-000153,-0.22319993187820744
ACH-000159,-0.15346551146165344
ACH-000160,-0.15401027172103618
ACH-000163,0.060602991917884874
ACH-000167,0.21345835495579865
ACH-000168,0.18694777517157185
ACH-000169,0.019443645679708625
ACH-000178,-0.03121389191105768
ACH-000183,-0.043137139331674894
ACH-000188,-0.10829121768645424
ACH-000189,0.11934195510100247
ACH-000190,-0.2565724218009047
ACH-000198,-0.1045004187954316
ACH-000203,-0.02838288943253932
ACH-000204,-0.11300653890755732
ACH-000206,-0.06967556548853003
ACH-000207,-0.17087192001172885
ACH-000208,-0.3940841406502502
ACH-000210,-0.14764408111307625
ACH-000211,0.012396877917380764
ACH-000215,-0.12650640917388042
ACH-000221,-0.26023955183347985
ACH-000222,-0.04308275547832846
ACH-000223,-0.008626727618357406
ACH-000226,-0.16955846908608616
ACH-000227,-0.1207167846530312
ACH-000228,-0.2837127990429372
ACH-000231,-0.0678494329513224
ACH-000232,-0.001664090102772439
ACH-000233,-0.0034371090531632857
ACH-000234,-0.10876822107395427
ACH-000235,-0.04923420933572335
ACH-000237,-0.10899635640625263
ACH-000238,-0.18006354163363952
ACH-000242,-0.2841887242242184
ACH-000243,-0.095177199360887
ACH-000244,-0.04116431067587438
ACH-000246,-0.044246131746222335
ACH-000248,-0.047056208219520265
ACH-000250,-0.0636473038289721
ACH-000251,-0.05864990838005514
ACH-000252,-0.2525119623082617
ACH-000253,-0.013585182244466408
ACH-000255,-0.10176369918057944
ACH-000256,0.042350656874363166
ACH-000257,-0.15917960231154432
ACH-000258,0.034933505547686636
ACH-000259,-0.05436710923039916
ACH-000260,-0.14542054702992818
ACH-000261,-0.11939388331912032
ACH-000262,-0.15981976486682264
ACH-000263,-0.43366635407859744
ACH-000264,0.033397411128406
ACH-000265,-0.013350456803199932
ACH-000266,-0.0476668083790448
ACH-000272,-0.06995137014425737
ACH-000274,-0.0206556180852902
ACH-000277,-0.1430980740150606
ACH-000278,-0.09946228272563194
ACH-000279,-0.09338797177159007
ACH-000280,-0.06365090421421331
ACH-000281,0.036592661025858564
ACH-000288,-0.13316544187983426
ACH-000291,-0.02790925393487115
ACH-000293,-0.2224508598019858
ACH-000294,-0.14124619017819534
ACH-000295,0.3254622768242638
ACH-000296,-0.05881951118894362
ACH-000302,-0.06235766840351607
ACH-000304,-0.013200823372996207
ACH-000307,-0.05217067256382436
ACH-000308,-0.030425230375926725
ACH-000310,-0.014013824213983308
ACH-000311,-0.03508971702586256
ACH-000312,-0.11836731452843335
ACH-000315,-0.13265939356717318
ACH-000316,-0.02163645317683474
ACH-000317,0.013264641686972629
ACH-000318,-0.2571525138136433
ACH-000319,0.02821840220920195
ACH-000320,-0.330208560757519
ACH-000322,-0.0804415712992545
ACH-000323,-0.25927219235228866
ACH-000324,-0.09775826068848624
ACH-000329,-0.04910846246097419
ACH-000330,-0.2255888114830692
ACH-000331,-0.08306243942476249
ACH-000332,-0.12381463268976856
ACH-000334,-0.09411097109680376
ACH-000335,0.016749863275305036
ACH-000336,0.1667857583320726
ACH-000337,-0.1726287683841583
ACH-000338,-0.5844221987921068
ACH-000339,-0.0627912596522445
ACH-000341,-0.20084007872163076
ACH-000348,-0.055609456610133536
ACH-000350,-0.13180469769318776
ACH-000352,-0.023301915744033477
ACH-000356,-0.10785471229405304
ACH-000361,-0.11818438352540635
ACH-000362,-0.10597717173964667
ACH-000363,-0.07511990772405619
ACH-000364,-0.0249507525007556
ACH-000365,0.0019776012509914336
ACH-000366,-0.056041137749808144
ACH-000368,0.11114650922021604
ACH-000374,-0.07133071401755946
ACH-000375,-0.14194940901526548
ACH-000376,-0.01926317802451317
ACH-000381,-0.05536812829680477
ACH-000383,-0.05513445235965797
ACH-000387,-0.16344845475988634
ACH-000389,-0.06165402389724711
ACH-000390,-0.16091510902478487
ACH-000393,-0.05363774285679173
ACH-000395,-0.19713991292660785
ACH-000396,-0.1479434976796552
ACH-000397,-0.08625395902415209
ACH-000401,0.006558621285693325
ACH-000402,-0.2412511891806204
ACH-000403,-0.0391328429772449
ACH-000404,0.28688227135077204
ACH-000406,-0.03171395104107345
ACH-000407,0.05227220798121859
ACH-000408,-0.07481087616921478
ACH-000410,-0.026223804620278957
ACH-000411,-0.06342384450249748
ACH-000414,-0.19937077710332998
ACH-000415,-0.09475214352645517
ACH-000416,-0.07532010969875054
ACH-000420,-0.08304363683681669
ACH-000421,-0.044240797349189065
ACH-000424,-0.06120883636561592
ACH-000425,-0.012733519374636348
ACH-000426,0.03533584197960415
ACH-000427,0.04071311069388324
ACH-000433,0.06547288478629712
ACH-000435,-0.21252904845983925
ACH-000436,-0.06586687163371276
ACH-000444,-0.02464608978980745
ACH-000445,-0.009159373860313284
ACH-000448,-0.02220811195034812
ACH-000450,-0.1277693929748889
ACH-000452,-0.08084270881942171
ACH-000454,-0.12504067803522145
ACH-000458,-0.09849491548451624
ACH-000459,-0.10227505848259068
ACH-000460,-0.08794369969365105
ACH-000461,0.00791281839983509
ACH-000463,-0.10719227809522992
ACH-000464,-0.16522103590097742
ACH-000466,-0.02196553060499141
ACH-000467,-0.06974455364708887
ACH-000468,-0.10078622922221347
ACH-000469,-0.042548956386195706
ACH-000470,-0.2596644101026754
ACH-000471,-0.07637763496587806
ACH-000472,-0.028506720343237764
ACH-000473,-0.11856853217492892
ACH-000475,-0.10289095299938436
ACH-000476,-0.12553678309446736
