,PC (5091)
ACH-000004,-0.6343824833911914
ACH-000005,-0.29643185653165505
ACH-000007,-0.4677631416724897
ACH-000009,-0.581519615142166
ACH-000011,-0.4462930683112008
ACH-000012,-0.44823241204636105
ACH-000013,-0.6790569323688114
ACH-000014,-0.1252185628961985
ACH-000015,-0.3873200898557108
ACH-000017,-0.524672337890314
ACH-000018,-0.4031270689292436
ACH-000019,-0.5350338338560242
ACH-000021,-0.5466747585732208
ACH-000022,-0.5965728839107697
ACH-000025,-0.4630950396110846
ACH-000028,-0.5737033566208679
ACH-000030,-0.6046877156478094
ACH-000035,-0.4603380488601461
ACH-000036,-0.43399623080883537
ACH-000037,-0.5150649209090815
ACH-000039,-0.7361043520119325
ACH-000040,-0.4321489130695858
ACH-000041,-0.4963541398316898
ACH-000042,-0.5304085248330124
ACH-000045,-0.5546770467438074
ACH-000047,-0.410792886878626
ACH-000052,-0.631967212307093
ACH-000053,-0.4396167028003567
ACH-000054,-0.3265343405253457
ACH-000055,-0.4475061972605495
ACH-000060,-0.3076501199094589
ACH-000067,-0.3185433364114312
ACH-000070,-0.5609516073650078
ACH-000075,-0.4710694496402724
ACH-000078,-0.5243616871059791
ACH-000082,-0.6572402094223405
ACH-000085,-0.9427225755052551
ACH-000086,-0.5689917215876209
ACH-000087,-0.4022785389672134
ACH-000092,-0.3839248843964812
ACH-000095,-0.5712415254414481
ACH-000097,-0.7433857728794798
ACH-000098,-0.35589364593528805
ACH-000099,-0.5566637635676248
ACH-000108,-0.23783415479723935
ACH-000113,-0.4566483278000921
ACH-000116,-0.616793392819711
ACH-000118,-0.5421114336275632
ACH-000120,-0.3770622681027498
ACH-000123,-0.5025732292163966
ACH-000127,-0.4638757097166211
ACH-000128,-0.3426687799148796
ACH-000132,-0.6102487364131064
ACH-000133,-0.48781769425747795
ACH-000137,-0.4965929197661041
ACH-000138,-0.5442624346770047
ACH-000142,-0.27734933708965914
ACH-000143,-0.4031747444049245
ACH-000146,-0.3504825641225344
ACH-000148,-0.5367943659180829
ACH-000150,-0.4177263006497367
ACH-000152,-0.3755764558966448
ACH-000153,-0.4281759748722824
ACH-000159,-0.2090997398019082
ACH-000160,-0.6249297294194651
ACH-000163,-0.2865186583103453
ACH-000167,-0.9936362195758268
ACH-000168,-0.42036779708773
ACH-000169,-0.5733692990880155
ACH-000178,-0.4719743043765644
ACH-000183,-0.5537000596064625
ACH-000188,-0.6955875820860264
ACH-000189,-0.4804831935786408
ACH-000190,-0.4103584415597893
ACH-000198,-0.5633718306096838
ACH-000203,-0.4070192623297644
ACH-000204,-0.43458245360344105
ACH-000206,-0.19880153695916528
ACH-000207,-0.7384991612949147
ACH-000208,-0.3396917519991366
ACH-000210,-0.557581556704058
ACH-000211,-0.5886714672107903
ACH-000215,-0.4509995177290818
ACH-000221,-0.6107222661379116
ACH-000222,-0.4985343783062582
ACH-000223,-0.5880852220595183
ACH-000226,-0.2309160788686072
ACH-000227,-0.6631373997995704
ACH-000228,-0.7047423283793781
ACH-000231,-0.5301102850193291
ACH-000232,-0.4883893334755027
ACH-000233,-0.5927003439915431
ACH-000234,-0.4668153038650794
ACH-000235,-0.4131690918628203
ACH-000237,-0.4411032366458648
ACH-000238,-0.5202659744850451
ACH-000242,-0.6411430077293501
ACH-000243,-0.35037629943133936
ACH-000244,-0.42288448961859176
ACH-000246,-0.5640355287793113
ACH-000248,-0.3913735543715685
ACH-000250,-0.5583436475794529
ACH-000251,-0.6008124141847163
ACH-000252,-0.7662714938441634
ACH-000253,-0.6135719694554254
ACH-000255,-0.6392446798106336
ACH-000256,-0.6763906485939117
ACH-000257,-0.2665414090018329
ACH-000258,-0.5613310422804607
ACH-000259,-0.4617718331976806
ACH-000260,-0.4991908266176816
ACH-000261,-0.7346714210093086
ACH-000262,-0.5799474449358896
ACH-000263,-0.4559913327398474
ACH-000264,-0.7291700730632287
ACH-000265,-0.5292380675606633
ACH-000266,-0.5093985775334781
ACH-000272,-0.3089946463805953
ACH-000274,-0.2886911663323457
ACH-000277,-0.8004420763137893
ACH-000278,-0.4744549354365961
