,QRICH1 (54870)
ACH-000004,-0.4490447753677153
ACH-000005,-0.44775683726135856
ACH-000007,-0.6411487948273433
ACH-000009,-0.3961296497888777
ACH-000011,-0.3948498039464166
ACH-000012,-0.21958261180929306
ACH-000013,-0.25469413625564424
ACH-000014,-0.5368975252070615
ACH-000015,-0.1786183155222111
ACH-000017,-0.3725675337653233
ACH-000018,-0.14132211069758116
ACH-000019,-0.5349949997993
ACH-000021,-0.34356495372706536
ACH-000022,-0.332222283707631
ACH-000025,-0.4928416061148497
ACH-000028,-0.4813129827102362
ACH-000030,-0.38768287313587396
ACH-000035,-0.20031928508972
ACH-000036,-0.6531247157748882
ACH-000037,-0.14955979191922822
ACH-000039,-0.19336568828440645
ACH-000040,-0.5231961082460428
ACH-000041,0.09016132741150436
ACH-000042,-0.5291462578984069
ACH-000045,-0.20264635879746828
ACH-000047,-0.3243295133004744
ACH-000052,-0.11861026113294162
ACH-000053,-0.11164387890227068
ACH-000054,-0.4373689199885892
ACH-000055,-0.6569497714402041
ACH-000060,-0.3843245100136161
ACH-000067,-0.4245049713809875
ACH-000070,-0.07970231942642092
ACH-000075,-0.53872951315913
ACH-000078,-0.5022853106679458
ACH-000082,-0.3266835864651305
ACH-000085,-0.523134136203419
ACH-000086,-0.4368217533965306
ACH-000087,0.06985347451346716
ACH-000092,-0.1950610885721897
ACH-000095,-0.14473204575538612
ACH-000097,-0.7563918932950935
ACH-000098,-0.15387606608806426
ACH-000099,-0.14253832488361218
ACH-000108,-0.5007441389478389
ACH-000113,-0.1412516082715613
ACH-000116,-0.257008329222833
ACH-000118,-0.20037533172397248
ACH-000120,-0.4390503257447224
ACH-000123,-0.5478214120189457
ACH-000127,-0.1551993294314219
ACH-000128,-0.2583217530785269
ACH-000132,-0.28138175041196745
ACH-000133,-0.551946558205031
ACH-000137,-0.3306475132429336
ACH-000138,-0.3015493564541833
ACH-000142,-0.12499575734510235
ACH-000143,-0.2541756518229353
ACH-000146,-0.12741620489364314
ACH-000148,-0.3463540569353517
ACH-000150,-0.2802314108102048
ACH-000152,-0.3960321412276371
ACH-000153,-0.047527097310948924
ACH-000159,-0.4142444548238957
ACH-000160,-0.20771327265733106
ACH-000163,-0.2262368793268046
ACH-000167,-0.11906744784378133
ACH-000168,-0.06373467148937882
ACH-000169,-0.3536280493475022
ACH-000178,-0.40906120941991536
ACH-000183,-0.2530280795335116
ACH-000188,-0.291835717840744
ACH-000189,-0.15843500355639173
ACH-000190,-0.3631876079023757
ACH-000198,-0.6233230826688771
ACH-000203,-0.4880019189076002
ACH-000204,-0.2831377146233152
ACH-000206,-0.14814006409665278
ACH-000207,-0.5678387289279155
ACH-000208,-0.3145060046735953
ACH-000210,-0.37942458522125694
ACH-000211,-0.4373679794852151
ACH-000215,-0.36714380519697704
ACH-000221,-0.284700849595257
ACH-000222,-0.21830379673222733
ACH-000223,-0.1555504586088157
ACH-000226,-0.2615387821985839
ACH-000227,-0.3548046316098052
ACH-000228,-0.4392634132416754
ACH-000231,-0.2535689688899833
ACH-000232,-0.25394487033195456
ACH-000233,-0.10427458498753454
ACH-000234,-0.10959127586120587
ACH-000235,-0.29299541007395885
ACH-000237,-0.3204056961447173
ACH-000238,-0.3389025883126685
ACH-000242,0.11550911004444216
ACH-000243,-0.5174569752617524
ACH-000244,-0.5836935589184044
ACH-000246,-0.28223696940315085
ACH-000248,-0.4561526394933674
ACH-000250,-0.3617228045937924
ACH-000251,0.04723834939131576
ACH-000252,-0.35133287990357914
ACH-000253,-0.2901036002478701
ACH-000255,-0.4739250090324489
ACH-000256,-0.3776781185213774
ACH-000257,-0.2019648584682236
ACH-000258,-0.2750308467450389
ACH-000259,-0.3096412026820509
ACH-000260,-0.46099067837605795
ACH-000261,-0.2624342506340589
ACH-000262,-0.5812180088338255
ACH-000263,-0.3291890259983921
ACH-000264,-0.3288508873745257
ACH-000265,-0.3136111013417114
ACH-000266,-0.3043845331300387
ACH-000272,-0.24908051739021236
ACH-000274,-0.4046154159362984
ACH-000277,-0.6278716809881172
ACH-000278,-0.3687883600730718
ACH-000279,-0.1176548426191502
ACH-000280,-0.5270386945385477
ACH-000281,-0.3817768796362884
ACH-000288,-0.09826511541214934
ACH-000291,-0.35186093867703244
ACH-000293,-0.3113062159743153
ACH-000294,-0.2335813264050315
ACH-000295,-0.4700370736583882
ACH-000296,-0.2502243134121849
ACH-000302,-0.1484344568667567
ACH-000304,-0.4133602983063552
ACH-000307,-0.2843467278323399
ACH-000308,-0.24398783789706344
ACH-000310,-0.2196933882495536
ACH-000311,-0.5180424437953725
ACH-000312,-0.13609219910464548
ACH-000315,0.03208497314256941
