,DHDH (27294)
ACH-000004,-0.1201514537801652
ACH-000005,0.11811522791582744
ACH-000007,0.10707948292872957
ACH-000009,-0.09938881661860334
ACH-000011,0.07997873824038376
ACH-000012,-0.09642589125661137
ACH-000013,-0.17717416566345978
ACH-000014,-0.13842294813000094
ACH-000015,-0.19779492110944505
ACH-000017,0.0175019659520985
ACH-000018,-0.11829280604770555
ACH-000019,-0.13820144938005222
ACH-000021,-0.11860811514309208
ACH-000022,-0.11909608160807278
ACH-000025,0.07380674821421404
ACH-000028,-0.061456107070343075
ACH-000030,-0.08062605512269995
ACH-000035,-0.09053697847047296
ACH-000036,-0.13873356850041765
ACH-000037,-0.07631583896675909
ACH-000039,0.0014411476848886333
ACH-000040,0.0808495235025604
ACH-000041,0.03686643964707631
ACH-000042,-0.09764544657669867
ACH-000045,-0.1720161125635978
ACH-000047,-0.16329494880291787
ACH-000052,-0.3353975713980641
ACH-000053,-0.14494878555668705
ACH-000054,-0.07984727798007568
ACH-000055,-0.15740519707175976
ACH-000060,0.11008079658525943
ACH-000067,-0.1844519876486816
ACH-000070,-0.10276967518458743
ACH-000075,-0.07167960425005923
ACH-000078,0.06019663166079803
ACH-000082,0.05491241691279387
ACH-000085,0.0003846761692745658
ACH-000086,-0.1149869766513565
ACH-000087,0.04962862253186586
ACH-000092,-0.059862219966396436
ACH-000095,0.004029365368796422
ACH-000097,-0.15882460085194014
ACH-000098,-0.07304226808620494
ACH-000099,-0.11147436467510548
ACH-000108,-0.2907934244964484
ACH-000113,0.05722947857685162
ACH-000116,-0.07337711857508017
ACH-000118,-0.12685029512807247
ACH-000120,0.04532937116541999
ACH-000123,-0.055846593071664716
ACH-000127,-0.00654183666690201
ACH-000128,0.03299647515724243
ACH-000132,0.002303130595044688
ACH-000133,-0.10123161444133083
ACH-000137,-0.2604331800175417
ACH-000138,-0.1319047013044507
ACH-000142,-0.033240445959599914
ACH-000143,-0.14929437785498456
ACH-000146,-0.20956928229533545
ACH-000148,0.09642671647817516
ACH-000150,0.07450988560589071
ACH-000152,-0.013414829402374658
ACH-000153,0.1382032397256508
ACH-000159,-0.08724756412319097
ACH-000160,-0.10408892700570174
ACH-000163,-0.058179457636458876
ACH-000167,0.11665996814004766
ACH-000168,-0.1203003859108774
ACH-000169,-0.08279879311975713
ACH-000178,0.013594766021717377
ACH-000183,0.047908310311615784
ACH-000188,-0.013477754069556879
ACH-000189,0.17250738795371526
ACH-000190,0.02952909020694677
ACH-000198,-0.09350292889294178
ACH-000203,-0.5169129284539903
ACH-000204,-0.2695856635559676
ACH-000206,0.0396052364071386
