,SH3BGRL3 (83442)
ACH-000004,-0.28095883308535746
ACH-000005,-0.308660418193955
ACH-000007,-0.5718782137202577
ACH-000009,-0.17683395351549078
ACH-000011,-0.10828562218382652
ACH-000012,-0.1375932563886106
ACH-000013,-0.2326733896567421
ACH-000014,-0.19706009174760825
ACH-000015,-0.12420396180568148
ACH-000017,-0.2235756728805951
ACH-000018,-0.08529049488869292
ACH-000019,-0.3444392217407125
ACH-000021,-0.13248052711852815
ACH-000022,-0.17668937144855051
ACH-000025,-0.19660055879223734
ACH-000028,-0.1934408026980353
ACH-000030,-0.1410928570466826
ACH-000035,-0.3111722728808919
ACH-000036,-0.16555041653343724
ACH-000037,-0.18761132684279316
ACH-000039,0.03387451831489826
ACH-000040,-0.1847052119648468
ACH-000041,-0.021530125820295527
ACH-000042,-0.19586139398170369
ACH-000045,-0.05180061532361031
ACH-000047,-0.20006892596346568
ACH-000052,-0.05301034815208097
ACH-000053,-0.14794168996914386
ACH-000054,-0.21170973533503154
ACH-000055,-0.4657276467578524
ACH-000060,-0.3783099343773978
ACH-000067,-0.14648718386907902
ACH-000070,-0.08974429042678464
ACH-000075,-0.0338267877637119
ACH-000078,-0.12634825989927606
ACH-000082,-0.13719299661290224
ACH-000085,-0.4805998080582056
ACH-000086,-0.22688421637710135
ACH-000087,-0.2615268315357755
ACH-000092,-0.24151152683512786
ACH-000095,-0.1794344182478944
ACH-000097,-0.3325396603777304
ACH-000098,-0.2312217168425412
ACH-000099,-0.2692838524702301
ACH-000108,-0.08713372592489255
ACH-000113,-0.13948765160612686
ACH-000116,-0.0813799254872401
ACH-000118,-0.06234493356647236
ACH-000120,-0.2140325923344324
ACH-000123,-0.03638840062875324
ACH-000127,-0.1523293289526485
ACH-000128,-0.16242459465821152
ACH-000132,-0.08889979338927972
ACH-000133,-0.14495062736968825
ACH-000137,-0.29139682173438364
ACH-000138,-0.282810342160893
ACH-000142,-0.18002843825189002
ACH-000143,-0.03568664129696098
ACH-000146,-0.17940030954034394
ACH-000148,-0.22348668067488187
ACH-000150,-0.2749016788236079
ACH-000152,-0.2138008210776616
ACH-000153,-0.35787646384905303
ACH-000159,-0.27384404599499723
ACH-000160,-0.2908133327631273
ACH-000163,-0.07755586782591314
ACH-000167,0.3691227129465854
ACH-000168,-0.13420196710978907
ACH-000169,-0.1525961378002349
ACH-000178,-0.2065829574935835
ACH-000183,-0.20821406888769325
ACH-000188,-0.36826644770292666
ACH-000189,-0.16964095298773132
ACH-000190,-0.4582173504028939
ACH-000198,-0.09496024368371883
ACH-000203,-0.549809540695094
ACH-000204,-0.3111437375562153
ACH-000206,-0.039852790694518817
ACH-000207,-0.11046311194014363
